environment,configuration,N,D_SKL_A,D_SKL_A_ci_low,D_SKL_A_ci_high,D_JS_0,D_JS_0_ci_low,D_JS_0_ci_high,RMSE_PIP,RMSE_PIP_ci_low,RMSE_PIP_ci_high,AUROC,AUROC_ci_low,AUROC_ci_high,AUPRC,AUPRC_ci_low,AUPRC_ci_high,MCMC_AUROC,MCMC_AUROC_ci_low,MCMC_AUROC_ci_high,MCMC_AUPRC,MCMC_AUPRC_ci_low,MCMC_AUPRC_ci_high
Baseline,Baseline MLP 2/64,100,0.3705762621605971,0.32993768872317436,0.4118356452245637,0.001963618730848886,0.0018541335728586659,0.0020745605651185054,0.1100448314812402,0.10557635356624162,0.11432580684446363,0.9963222222222221,0.9938333333333332,0.9982890277777778,0.9885376528435427,0.982873776894963,0.9934749397052316,0.9976055555555554,0.9945555555555555,0.9995444444444443,0.9932182016813595,0.9880580677765218,0.9970987391993971
Baseline,ResCond,100,0.38199854602858224,0.33894173804266603,0.4266364795704906,0.0022996162089575266,0.0021695702256654516,0.0024243535510102966,0.10909619444958513,0.10465172240579827,0.11334529426436901,0.9961277777777776,0.99326625,0.9983444444444445,0.9885365953657436,0.9827961959143776,0.993449065621878,0.9976055555555554,0.9946941666666667,0.9995499999999998,0.9932182016813595,0.9881738478298018,0.9971253590159839
Baseline,Deep MLP 4/256,100,0.372063920650738,0.33360182907450325,0.4132670552829982,0.0021220968763480887,0.0020034171436661445,0.002241476170942158,0.10995807565672155,0.10557594510772444,0.11441438723722777,0.9952222222222222,0.9917333333333334,0.9980388888888889,0.9883479421828569,0.9824223054697343,0.993348150853723,0.9976055555555554,0.994561111111111,0.9995499999999999,0.9932182016813595,0.9880547514619882,0.9971554256379587
Baseline,Mean-field,100,28.514650470115342,28.186370876093473,28.720635082021605,0.5704052039780478,0.5324652050601552,0.6038389404087038,0.8134793251430753,0.7780962995931316,0.8462224687677533,0.8496833333333332,0.83908875,0.8597613888888889,0.4602957415663535,0.4336302131293804,0.4871093377391652,0.9976055555555554,0.9946054166666666,0.999561111111111,0.9932182016813595,0.9880864660193607,0.9971651209207459
Low SNR,Baseline MLP 2/64,100,0.718987926784662,0.6692839732043856,0.7714838483849606,0.012809129800543946,0.01051659475511398,0.015383254397128879,0.13263808984093597,0.1259639074315384,0.1394514178787004,0.8941499999999999,0.8808718055555554,0.9069558333333335,0.7435602325220637,0.7177361302120634,0.7691327888438939,0.914661111111111,0.9023108333333334,0.9264079166666668,0.7887563545223945,0.7640147534821764,0.8130009392122806
Low SNR,ResCond,100,0.6671451419140836,0.61125215368188,0.7263285204391069,0.011839229328394284,0.00979279912586405,0.014273296242595572,0.1279377380701958,0.12181651894900493,0.13506890324266732,0.8984000000000002,0.8853219444444446,0.9113338888888888,0.7514445360456163,0.7257316328053591,0.7753337903004814,0.914661111111111,0.9023998611111111,0.9266056944444444,0.7887563545223945,0.764600581001752,0.811769366003606
Low SNR,Deep MLP 4/256,100,0.6536181432263665,0.6116038636655448,0.6932577573887109,0.011789005630181669,0.009416383065912038,0.014479643997325027,0.1357782294423003,0.1298281364489778,0.1420383262835684,0.8926166666666667,0.8794051388888888,0.905339027777778,0.7443997033985547,0.7188066555674621,0.7680870681228479,0.914661111111111,0.9020268055555557,0.9264562500000001,0.7887563545223945,0.7651745348477555,0.8127632840116893
Low SNR,Mean-field,100,10.49886221228677,9.762034798715842,11.243003572040116,0.16203707397828576,0.15975890606334486,0.1645152225172567,0.4354251077654217,0.4320278178559924,0.43919919456080714,0.7462666666666667,0.7235930555555558,0.7675909722222222,0.3690205013090563,0.3381606755331378,0.3988396256466997,0.914661111111111,0.9020887499999999,0.9264613888888888,0.7887563545223945,0.7641926251580274,0.812595811480509
n>p,Baseline MLP 2/64,100,0.21931877703108338,0.19148334628311464,0.25084592521991494,6.932143018988003e-05,6.152258747460428e-05,7.66869386973486e-05,0.13448036853287676,0.1283361235232959,0.14122927088251316,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.988,0.9954999999999999,0.9856,0.9784,0.9919
n>p,ResCond,100,0.21137395159848676,0.18411558516024357,0.24167090347916403,8.275353940496523e-05,7.45208150700976e-05,9.09861073364658e-05,0.12781637800250353,0.12171067443734469,0.13388318596131196,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.988,0.9954999999999999,0.9856,0.9784,0.9919
n>p,Deep MLP 4/256,100,0.22184862371257705,0.19391061243280186,0.25219101217097645,7.97202781519987e-05,7.19212770783138e-05,8.708656867630265e-05,0.13418081682885455,0.12785439527823378,0.14042268170785488,1.0,1.0,1.0,1.0,1.0,1.0,0.992,0.988,0.9954999999999999,0.9856,0.9784,0.9919
n>p,Mean-field,100,29.291182357255572,29.29010460235908,29.292288857311572,0.5640794644326279,0.5455681355429574,0.581444744205435,0.8049059764575649,0.7981335775582113,0.8109415627256251,0.9764,0.9719220833333333,0.9803556944444446,0.8431859399223205,0.8226517468434776,0.8632714858985401,0.992,0.988,0.9954999999999999,0.9856,0.9784,0.9919
p>>n,Baseline MLP 2/64,100,1.3178718436557588,1.0547750618080909,1.6028101729759485,0.0001519158953467264,0.00012625266824786553,0.00018164761746914824,0.06531065496484323,0.06231536910101641,0.06839080557056945,0.929930612244898,0.913264387755102,0.9445073724489798,0.7945976464028073,0.7556651727844412,0.8303463505092026,0.9797265306122449,0.9740444387755103,0.9848939540816327,0.8940664511797586,0.8736505385385583,0.9134723096757784
p>>n,ResCond,100,1.5084958760545155,1.0679896858211146,2.108200088025915,0.00014265841643866953,0.00011866146708126031,0.00017118507539641618,0.06605783627368977,0.06295602493686768,0.06916363667662281,0.9337857142857143,0.918363137755102,0.9479054081632654,0.8024822648783695,0.7663313503639401,0.8368655708910046,0.9797265306122449,0.9739130867346938,0.9850602551020408,0.8940664511797586,0.8740147984247589,0.9129828938593149
p>>n,Deep MLP 4/256,100,1.364064126323962,0.9700049949344153,1.9693839221496856,0.00014766849097486265,0.0001226671789853901,0.00017659554415898863,0.06519586614017159,0.062266985785419185,0.06820452358674935,0.9370908163265306,0.9214974999999999,0.9514847959183673,0.8168925138888671,0.7802728820129674,0.8510672751443605,0.9797265306122449,0.973928469387755,0.9849780612244896,0.8940664511797586,0.8732888383354425,0.9131188300352597
p>>n,Mean-field,100,19.80761393914722,18.382193239977074,21.224140914995015,0.35252633503715214,0.3168301544936003,0.38769377775259684,0.6569284086381509,0.6180747125220912,0.6961125380914446,0.8262816326530611,0.8139823469387756,0.8383129081632653,0.22697203255214402,0.2065366743275821,0.24838137124084733,0.9797265306122449,0.9738571938775511,0.984992142857143,0.8940664511797586,0.87273166532713,0.9131337619366019
Weak signals,Baseline MLP 2/64,100,0.940317724490932,0.8694810477525444,1.015516988222997,0.00021886469989721935,0.00019233101449633215,0.00024586682529818474,0.06057286816603631,0.054503950421484315,0.06673262329574427,0.8365611111111112,0.8178697222222224,0.8537834722222222,0.6480558491630244,0.6178390458522593,0.6790567367556521,0.8546444444444445,0.83706625,0.871250972222222,0.6614520350338562,0.6300152552120484,0.6914088104263977
Weak signals,ResCond,100,0.9349139308012987,0.8648489048303415,1.0097675719174244,0.00027344785772847864,0.00024701649200359853,0.0003013061020571019,0.05930862701970882,0.05327805161338992,0.06539587899032723,0.8494555555555556,0.8315765277777777,0.8667390277777777,0.6573069736393178,0.6264415732376392,0.6867282221029212,0.8546444444444445,0.8365220833333333,0.8716511111111112,0.6614520350338562,0.6304458603001686,0.6929261540178421
Weak signals,Deep MLP 4/256,100,0.9134482349895555,0.8433031887242738,0.9863141580736873,0.00026246116465932173,0.00023384415673148741,0.0002913535128445431,0.05926655230211742,0.05327395067252386,0.06541763070101801,0.8461777777777779,0.8278656944444445,0.8642277777777777,0.6567921566501487,0.6274129831146409,0.6854587209375071,0.8546444444444445,0.8368881944444444,0.8721949999999999,0.6614520350338562,0.630595041111872,0.692442462334841
Weak signals,Mean-field,100,4.9855433335370085,4.3362964441855905,5.6824273214323835,0.15735123689901898,0.15068238223589542,0.16398957240646406,0.42351341225538586,0.41038244065931356,0.4380624044709041,0.8362944444444443,0.8183216666666666,0.8519393055555553,0.6021054213658632,0.5757419906785894,0.6283812853871152,0.8546444444444445,0.8369220833333334,0.8721226388888889,0.6614520350338562,0.6293198148718083,0.6922755629097309
