feature,coef,abs_coef
loss_ema,0.7939763393924691,0.7939763393924691
loss,0.6696252987777653,0.6696252987777653
grad_norm,0.35175827246458063,0.35175827246458063
softgate_mean_j_q75,-0.31915704640878434,0.31915704640878434
beta_abs_q75,0.3105491305473309,0.3105491305473309
beta_l2_draw_mean,-0.26354634823695816,0.26354634823695816
val_r2,0.2473020371151265,0.2473020371151265
expected_support_hard,0.24288634725844996,0.24288634725844996
pip_hard_q75,-0.23715081544112515,0.23715081544112515
softgate_q05,0.22529197151911076,0.22529197151911076
beta_soft_sd_j_q95,-0.20353057970019978,0.20353057970019978
log_grad_ema,0.19248576336296874,0.19248576336296874
pip_hard_mean,0.17559577077295785,0.17559577077295785
val_mse,0.16976128506932955,0.16976128506932955
val_rmse,0.13868539022187013,0.13868539022187013
softgate_mean_j_q05,0.12509973075751982,0.12509973075751982
softgate_q75,-0.12214817019844451,0.12214817019844451
loss_improve_rel,0.11551489196199191,0.11551489196199191
beta_abs_q95,0.0979935410398077,0.0979935410398077
softgate_sd_j_q90,0.09777558986902327,0.09777558986902327
support_size,0.0819636512046943,0.0819636512046943
val_heldout_loglik,-0.08110642949715653,0.08110642949715653
softgate_churn,-0.0749967771347135,0.0749967771347135
val_nll,0.06911819701097059,0.06911819701097059
log_grad,-0.06420949120209922,0.06420949120209922
beta_soft_sd_j_q90,-0.06395557197827989,0.06395557197827989
softgate_sd_j_median,0.06378548629589312,0.06378548629589312
softgate_q95,-0.05841240857535489,0.05841240857535489
gate_entropy_mean,-0.044293882928389976,0.044293882928389976
softgate_q50,-0.042687054624789895,0.042687054624789895
softgate_entropy,-0.03519897056623692,0.03519897056623692
softgate_mean_j_q50,-0.029460011976213958,0.029460011976213958
beta_abs_median,0.02909209603780737,0.02909209603780737
val_mae,-0.027899995865298354,0.027899995865298354
beta_abs_q90,0.027285418025255203,0.027285418025255203
beta_soft_sd_j_q75,-0.021090167848800256,0.021090167848800256
softgate_mean_j_q95,-0.019068165753747254,0.019068165753747254
beta_soft_sd_j_mean,-0.010531012442965166,0.010531012442965166
pred_improve_rel,0.009097185410469933,0.009097185410469933
beta_l2_draw_sd,-0.008674350611966955,0.008674350611966955
beta_soft_sd_mean,-0.008473463267758762,0.008473463267758762
pip_hard_q95,-0.007785679660945209,0.007785679660945209
churn,-0.007715847315558575,0.007715847315558575
pip_hard_q90,-0.004013133906967119,0.004013133906967119
dS,-0.0005365320402927159,0.0005365320402927159
beta_soft_sd_j_median,-6.63858223612969e-05,6.63858223612969e-05
grad_slope,0.0,0.0
expected_support_soft,-0.0,0.0
softgate_mean_j_q25,0.0,0.0
softgate_mean,-0.0,0.0
softgate_sd,-0.0,0.0
softgate_q25,0.0,0.0
beta_soft_abs_mean,-0.0,0.0
softgate_mean_j_sum,-0.0,0.0
gate_entropy_q90,0.0,0.0
gate_entropy_median,-0.0,0.0
beta_mean_abs_j_q90,0.0,0.0
beta_mean_abs_j_q95,-0.0,0.0
beta_mean_abs_j_median,0.0,0.0
beta_abs_mean,0.0,0.0
pip_hard_q50,-0.0,0.0
expected_support_softgate,-0.0,0.0
lr,0.0,0.0
tau,0.0,0.0
