setting,seed,n,p,n_active,sigma2,data_path,beta_path,out_dir,last_out_dir,active_idx,beta_value
simple,400,100,500,10,1.0,data/n100p500_input/simple/seed_400.csv,data/n100p500_input/simple/beta_true/seed_400_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_400,outputs_lastflow/n100p500_input/simple/seed_400,11;19;45;69;89;116;199;257;301;335,-0.05169514939188957
simple,401,100,500,10,1.0,data/n100p500_input/simple/seed_401.csv,data/n100p500_input/simple/beta_true/seed_401_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_401,outputs_lastflow/n100p500_input/simple/seed_401,16;57;141;174;211;225;281;314;430;438,0.7246015667915344
simple,402,100,500,10,1.0,data/n100p500_input/simple/seed_402.csv,data/n100p500_input/simple/beta_true/seed_402_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_402,outputs_lastflow/n100p500_input/simple/seed_402,92;146;168;202;206;240;250;291;407;414,0.4891292452812195
simple,403,100,500,10,1.0,data/n100p500_input/simple/seed_403.csv,data/n100p500_input/simple/beta_true/seed_403_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_403,outputs_lastflow/n100p500_input/simple/seed_403,131;179;201;311;315;332;335;375;379;439,0.3456040024757385
simple,404,100,500,10,1.0,data/n100p500_input/simple/seed_404.csv,data/n100p500_input/simple/beta_true/seed_404_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_404,outputs_lastflow/n100p500_input/simple/seed_404,2;39;43;59;123;243;266;329;344;440,-0.45027440786361694
simple,405,100,500,10,1.0,data/n100p500_input/simple/seed_405.csv,data/n100p500_input/simple/beta_true/seed_405_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_405,outputs_lastflow/n100p500_input/simple/seed_405,7;206;268;303;317;347;398;422;444;446,0.44969338178634644
simple,406,100,500,10,1.0,data/n100p500_input/simple/seed_406.csv,data/n100p500_input/simple/beta_true/seed_406_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_406,outputs_lastflow/n100p500_input/simple/seed_406,12;19;47;134;260;415;435;461;470;498,-0.009831393137574196
simple,407,100,500,10,1.0,data/n100p500_input/simple/seed_407.csv,data/n100p500_input/simple/beta_true/seed_407_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_407,outputs_lastflow/n100p500_input/simple/seed_407,3;106;119;185;208;215;240;257;347;493,-0.4991056025028229
simple,408,100,500,10,1.0,data/n100p500_input/simple/seed_408.csv,data/n100p500_input/simple/beta_true/seed_408_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_408,outputs_lastflow/n100p500_input/simple/seed_408,68;116;119;151;257;261;313;326;333;436,0.16154637932777405
simple,409,100,500,10,1.0,data/n100p500_input/simple/seed_409.csv,data/n100p500_input/simple/beta_true/seed_409_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_409,outputs_lastflow/n100p500_input/simple/seed_409,4;79;86;92;124;181;267;410;415;447,0.14214296638965607
simple,410,100,500,10,1.0,data/n100p500_input/simple/seed_410.csv,data/n100p500_input/simple/beta_true/seed_410_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_410,outputs_lastflow/n100p500_input/simple/seed_410,24;147;150;155;218;284;304;336;426;486,-0.2597217857837677
