y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
-1.0901645,-2.11234,-1.6689975,-1.8826218,-1.9313298,-1.7816199,-2.038483,-1.9514302,-1.6862184,-1.8037466,-2.151587,-0.07078327,0.5175722,0.27564174,0.32597217,0.30115986,0.1355244,0.1104491,0.38759977,0.4391705,0.42807508,-0.7184054,-0.7296447,-0.76610094,-0.63641787,-0.54319274,-0.82523507,-0.83889294,-0.95228547,-0.73006123,-0.7871283,-0.59199333,-0.91759944,-0.71840453,-0.9914821,-0.9806825,-1.0166938,-0.86928904,-0.95770353,-0.6852808,-0.80112666,0.4303899,0.20911655,0.35596424,0.40093604,0.37138256,0.2838128,0.31337997,0.445867,0.5295603,0.41436437,1.9873672,1.5141432,1.8944559,2.2152588,2.1392765,2.1139452,1.9416426,2.089881,1.9512959,2.183867,-0.401568,-0.5071074,-0.28625068,-0.39237878,-0.0046903268,-0.093050204,-0.41424924,-0.4671837,-0.28990233,-0.42665327,0.44374034,0.64077765,0.65547454,0.517672,0.83043873,0.7795518,0.61518914,0.49868682,0.7470906,0.8085805,-0.30234373,-0.312297,-0.47544575,-0.50858384,-0.35956064,-0.411373,-0.16792804,-0.38802883,-0.8234716,-0.2543009,-1.1738853,-1.1566206,-1.4733571,-1.1596681,-1.0756966,-1.2473452,-1.2405732,-1.1062937,-1.2543644,-1.1848898
-2.8204455,-0.06622829,0.17724088,0.090695724,-0.13380161,0.053356335,0.17584081,0.12107303,-0.066734314,0.3588333,0.25449795,0.9618593,1.0735569,1.0941098,1.0394058,1.0945472,1.1037054,1.1249259,0.97641695,0.85981065,1.182944,-1.1681198,-1.1201057,-1.2008597,-0.90905416,-0.840387,-0.98820835,-1.2152683,-1.1680313,-1.1119794,-1.1720186,0.23694488,0.09143855,0.25533643,0.13137904,0.2696766,0.24389417,-0.013676515,0.13765953,0.18208057,0.33049062,-0.43732986,-0.5387419,-0.31055227,-0.34726125,-0.242148,-0.18815687,-0.16651855,-0.26132742,-0.36414784,-0.675566,0.103320345,-0.18674947,-0.07113455,0.02432721,0.09568993,-0.15546511,-0.026324475,-0.06449612,0.19914663,-0.19044574,0.4449456,0.6568117,0.5242278,0.43307474,0.64384633,0.5606128,0.54767454,0.80919343,0.6499527,0.46805435,-1.8919423,-1.9292536,-1.6681712,-1.7273287,-1.6898074,-1.8559217,-1.8898197,-2.0869527,-1.9550345,-1.7504898,-1.1746953,-0.9746577,-0.79643935,-0.72806674,-1.0918498,-0.8499324,-0.9428443,-0.89710665,-0.9289775,-0.83801234,0.30710888,0.46591386,0.31391835,0.66581273,0.32683522,0.43550122,0.50424814,0.31795952,0.557946,0.54777646
0.8531032,0.269027,0.15417042,0.42026094,0.6227145,0.2869869,0.4171705,0.13190986,0.3037467,0.35789707,0.6538711,0.20053075,0.1492422,0.22384967,0.07466823,0.06633045,-0.06681856,0.055014662,-0.064217836,0.10951752,0.19373995,-0.37838235,-0.2496019,-0.36934263,-0.18235928,-0.3431074,-0.27976862,-0.13439807,-0.042529788,-0.5365433,-0.21997899,-1.0215185,-0.7289504,-0.72562903,-0.6050071,-0.7906857,-0.800443,-0.6457733,-0.66746324,-0.6301037,-0.77664965,0.495613,0.5601297,0.5637516,0.76317465,0.6117003,0.6285924,0.53403133,0.7192445,0.3607408,0.13655534,0.7696968,0.6789699,0.44590205,0.7784544,0.59768456,0.67736745,0.6071768,0.6944109,0.555571,0.6767978,-0.6778729,-0.33157316,-0.5817947,-0.3623991,-0.40221867,-0.44671935,-0.5868999,-0.2661303,-0.5683515,-0.75570995,-0.30711025,-0.32106516,-0.10401168,-0.38100722,-0.26498646,-0.29901972,-0.35990387,-0.32593226,-0.34545386,-0.12277125,-1.7674419,-1.6965573,-1.5650123,-1.8486991,-1.5339316,-1.4594235,-1.2386259,-1.4139419,-1.5810677,-1.5945884,0.91203946,0.40858632,0.69584167,0.86168534,0.48816386,0.7111378,0.52389425,0.7105845,0.6027419,0.6212941
1.0503899,0.82703894,1.0756501,0.9372549,0.9722634,0.95861155,0.9675468,1.119081,0.90667176,0.7561491,0.7353156,1.4908328,1.2116969,1.2292601,1.2060041,1.2025572,1.3883033,1.3116041,1.4371482,1.2255559,1.3711623,-0.52533054,-0.74002314,-0.8848461,-0.8012919,-0.72912335,-0.75610393,-0.78540283,-0.74200076,-0.77331704,-0.66892344,-0.20769852,-0.23881081,-0.13844655,-0.2921198,-0.1150364,-0.17321555,-0.09289834,-0.4515122,-0.22220649,0.08757544,-0.86984795,-0.9157742,-1.0557791,-0.57233745,-0.9692239,-0.74936575,-0.9475962,-0.7887954,-0.87734324,-0.6762392,-1.7276984,-1.458337,-1.4731921,-1.5210775,-1.3847151,-1.6236012,-1.7270703,-1.5203959,-1.7211528,-1.8441305,0.9471989,1.0315195,0.74204737,1.0562149,1.0334831,0.49759835,1.1233847,0.89709544,1.0523723,0.73866564,-0.41115445,-0.834137,-0.35295415,-0.7235582,-0.39971977,-0.38923976,-0.3753307,-0.9209045,-0.81883323,-0.4858959,0.66644746,0.74276596,1.162466,0.6543679,1.1225616,1.0088103,0.71098465,0.849041,0.9298378,0.87825596,-0.5705955,-0.6499253,-0.5768614,-0.49529114,-0.7023969,-0.26317242,-0.44863316,-0.6361842,-0.30957022,-0.69684035
2.2611144,-0.23792306,-0.17129575,0.010419661,0.11570821,-0.3902211,-0.034284893,-0.114709094,0.12952863,-0.2659717,-0.40849128,0.64367163,0.50824827,0.27389657,0.6997328,0.29031232,0.63021064,0.48678723,0.2783721,0.23264255,0.37063256,-0.05427429,0.1898775,0.083400905,0.07051282,-0.21451016,0.050873045,-0.327884,-0.14907065,-0.08505734,0.15515232,-0.80104154,-1.0256697,-1.2091225,-0.7880889,-1.0471901,-0.81344897,-1.2292082,-0.95383847,-1.0653883,-1.0966886,-0.8122221,-0.79422605,-0.8174044,-1.0887958,-1.1808968,-0.8258014,-0.8138643,-0.76911604,-0.86252165,-1.0415732,-0.34959528,-0.27741972,-0.40480238,-0.10306254,-0.27855012,-0.14841564,-0.3860394,-0.5320722,-0.16084683,-0.17084385,-0.36688575,-0.29577285,-0.70364565,-0.62940687,-0.19651636,-0.02924885,-0.28543285,-0.5486746,-0.21764272,-0.6235793,1.8843057,1.7037146,2.105211,1.6311721,1.8255856,1.5779113,1.7228534,1.6953173,1.7771791,1.6068985,0.50070995,0.33939892,0.5908579,0.40403384,0.15880099,0.39188123,0.27253,0.26578656,0.2910014,0.5724998,-1.1983565,-0.7846737,-0.9065318,-0.80570745,-0.9693692,-1.1318332,-0.8450694,-0.8420841,-1.2015985,-0.9699596
9.865937,0.5366067,0.63660985,0.7584187,0.79789245,0.48635566,0.8063593,0.8121609,0.8050174,0.67215145,0.68648845,0.71112037,0.7011418,0.6601667,0.5825466,0.53519595,0.5947054,0.33714005,0.58295447,0.850108,0.5444977,-0.6865425,-0.9796287,-0.9016395,-1.0204,-1.0812824,-1.0339029,-1.1097801,-1.2994787,-0.7676436,-1.0669698,0.0246069,0.3767212,0.16878119,0.18485661,0.25310162,0.21092325,0.3515668,0.37006292,0.09466569,0.1238514,-0.18977311,0.018126149,0.00515333,-0.38865253,-0.22767463,-0.026146227,-0.21011215,0.0006102957,-0.16761163,-0.10581784,-0.7007887,-0.6133675,-0.46205348,-0.27115402,-0.5316832,-0.4703425,-0.6868415,-0.6146583,-0.5593498,-0.5111127,0.77765155,0.7625009,0.5742317,0.5169481,0.7202298,0.6035748,0.48165682,0.47598344,0.58497983,0.67622757,2.186507,1.8790802,1.8992522,2.3635542,2.1025407,2.2248857,2.0866528,2.0783825,2.0700119,1.9382299,0.001533003,0.3134915,0.49087477,0.3377623,0.43497095,0.44563806,0.5083323,0.54771525,0.49529386,0.061273787,0.024247037,-0.26829562,-0.31772846,-0.073507465,-0.05749488,0.03180337,-0.22197174,0.03852776,-0.32049677,-0.22571471
2.2983503,0.66869086,0.34682733,0.8252788,0.89424765,0.7902547,0.55318886,0.5724601,0.7802554,0.8398707,0.72697824,0.17640395,0.0047730454,0.4043207,-0.08377407,0.30295944,0.34609094,0.114458345,0.33365613,0.29091436,0.18188989,-0.47087884,-0.7884618,-0.11530665,-0.44118074,-0.3491266,-0.45771262,-0.43518636,-0.55574244,-0.28724408,-0.2934231,-0.3144794,-0.5404328,-0.52166,-0.4333887,-0.21266049,-0.4375781,-0.42990863,-0.5839266,-0.4774095,-0.3107173,0.7122541,0.8475294,0.80649656,0.8012685,0.6152906,1.1538485,0.932044,0.57006776,0.6199493,0.8825098,0.12633729,0.25140893,0.14895716,0.28836164,0.20125839,0.34415978,-0.03588903,0.11588213,-0.12341937,0.1027564,-1.1959337,-1.2431412,-1.4665233,-1.0735306,-1.2440172,-1.3160001,-1.1074219,-1.4697734,-0.9736731,-1.1438832,-1.1579084,-1.4210407,-1.1886395,-1.3112044,-1.1920724,-1.3413897,-1.743708,-1.0704727,-1.2914653,-1.2092215,0.19501966,-0.3298317,-0.30724236,-0.094680995,0.074487425,-0.00827527,-0.118145086,-0.30826858,-0.013636493,-0.017863892,1.0423871,1.0694495,1.1797155,1.386443,1.3781221,1.113803,1.1501034,1.1529154,1.1013743,1.0610588
1.8128539,0.07646539,0.16231059,-0.21100861,-0.40953466,-0.053432427,0.12736791,0.06889944,-0.008851377,-0.32013577,-0.16710906,0.82633567,0.7587741,1.0125834,0.8206737,0.7092054,0.6583586,1.0402185,0.81842077,0.93330675,0.81946826,0.016510246,0.008871717,0.10115643,0.1857612,0.49885666,-0.035127252,-0.04456164,0.22938748,-0.044067428,0.04096162,-0.7129055,-0.68265104,-0.71790904,-0.5048666,-0.5236483,-0.5033878,-0.5367934,-0.62545526,-0.66331357,-0.7902169,-0.43394494,-0.2216707,-0.5055378,-0.5209891,-0.2837268,-0.12672476,-0.20023412,-0.049345564,-0.47213912,-0.40598384,1.2980832,1.1351602,1.3923142,1.1828845,1.5247849,1.1777205,1.2222716,1.1923691,1.5496051,1.4102815,3.1532984,3.0783167,3.2887719,2.8504436,3.259634,3.4028456,2.9636524,3.1927786,3.3365157,3.2389662,-0.84286,-0.8160921,-0.6697429,-0.7659798,-0.5008165,-1.0092431,-0.80132985,-0.67207193,-0.9012738,-0.79123634,-0.4801299,-0.3884642,-0.60557973,-0.66400063,-0.6151737,-0.40503228,-0.7396753,-0.43440318,-0.5286024,-0.6054815,-0.44535992,-0.7418872,-0.51163405,-0.4902522,-0.41700464,-0.3632583,-0.69642884,-0.6072604,-0.46613824,-0.4574086
-2.4279542,0.104015656,0.07961968,0.22391833,-0.07151445,0.09117511,-0.12010195,0.09739219,0.09218982,0.17834449,-0.1555453,1.4326998,1.023445,1.1112282,1.0639616,1.1682304,1.0627162,1.2469188,0.9436349,1.0781091,1.2468026,1.6235374,1.2077681,1.7472707,1.7074039,1.3283963,1.345494,1.7748393,1.5914816,1.8053807,1.592873,0.36548188,0.76245505,0.4042977,0.57243747,0.27073753,0.48269778,0.5376323,0.60947156,0.56752145,0.35394323,0.9123574,0.3480206,0.70997995,0.48811734,0.60243094,0.4364756,0.363934,0.37699017,0.6794387,0.65409714,-0.94823146,-0.9732275,-0.8999943,-0.83615315,-0.8623118,-0.8680375,-0.56359905,-0.9491889,-0.9174401,-0.93150663,0.25366578,0.24836314,0.15648928,0.058944542,0.19456273,0.12086068,0.18741924,0.4180987,-0.034277778,0.08479577,-2.1243277,-2.131874,-2.4293544,-2.2500517,-2.2274575,-2.3501549,-2.0296514,-2.1947277,-2.0439215,-2.0392108,-0.7907798,-0.53654253,-0.6453048,-0.7095957,-0.46288776,-0.77128005,-0.80329776,-0.76878875,-0.6498041,-0.57845676,1.4334153,0.86638033,1.1530027,1.407871,1.5092001,1.1152036,1.1949114,1.0471141,1.2352393,1.2330334
3.7780125,1.4427413,1.7057071,1.2887903,1.5029837,1.3461511,1.2598197,1.479123,1.1794827,1.4692996,1.1935043,-1.2488039,-1.4150455,-1.2188439,-1.0966226,-1.1724435,-1.0563272,-1.1139401,-1.2260023,-1.1732467,-0.9836195,-0.23501599,-0.4762724,-0.3943151,-0.5706553,-0.29858857,-0.4899261,-0.2977333,-0.2387413,-0.47041017,-0.135031,1.3513124,1.332616,1.3055851,1.1606003,1.0971236,1.1643955,1.0512402,1.3397912,1.2156218,1.6530982,0.25693995,0.098776124,0.376187,0.3306314,0.33071512,0.41422606,0.3683747,0.2671834,0.13787869,0.2798038,0.85811263,0.83397627,0.8680512,0.8349557,0.6894015,0.9680858,0.7314052,0.88660973,0.9389899,1.2165408,0.20779732,-0.04101201,-0.06374276,-0.031967536,0.03225334,-0.0025239682,-0.1910114,-0.0046764663,0.0439283,-0.048345968,0.0797316,0.3411932,0.46015966,0.37782916,0.35086444,0.51114655,0.42915228,0.24034777,0.36093894,0.45983195,1.6667378,1.4864714,1.6458987,1.5968333,1.7417322,1.4282925,1.8800565,1.8126402,1.2082081,1.6918259,0.37961575,0.40804926,0.33234018,0.40356478,0.36014977,0.23031639,0.50535876,0.5602429,0.53308827,0.5769011
