"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","simple",440,440,0,1,0,0,0,0,-0.00150024483847816
"mcmc","simple",440,440,1,2,-1.9663771,1,1,1,-1.95027409084842
"mcmc","simple",440,440,2,3,-0.8437481,1,1,1,-0.808234898603806
"mcmc","simple",440,440,3,4,0,0,0,0,-0.000372421130366087
"mcmc","simple",440,440,4,5,0,0,0,0,0.00164165961764764
"mcmc","simple",440,440,5,6,0,0,0,0,0.00338553408250942
"mcmc","simple",440,440,6,7,0,0,0,0,0.0146159588097765
"mcmc","simple",440,440,7,8,0,0,0,0,0.00328975670902165
"mcmc","simple",440,440,8,9,0,0,0,0,-0.000130540774221473
"mcmc","simple",440,440,9,10,0,0,0,0,-0.000848884062213079
"mcmc","simple",440,440,10,11,0,0,0,0,-0.000549177632215944
"mcmc","simple",440,440,11,12,0,0,0,0,-0.00037402208677365
"mcmc","simple",440,440,12,13,0,0,0,0,0.00241426172458613
"mcmc","simple",440,440,13,14,0,0,0,0,-8.76185269110951e-05
"mcmc","simple",440,440,14,15,0,0,0,0,-0.00473326146073558
"mcmc","simple",440,440,15,16,-1.5971397,1,1,1,-1.65785598930662
"mcmc","simple",440,440,16,17,0,0,0,0,5.94114620772242e-05
"mcmc","simple",440,440,17,18,0,0,0,0,-0.0172779257755403
"mcmc","simple",440,440,18,19,0,0,0,0,0.00321865255523122
"mcmc","simple",440,440,19,20,0,0,0,0,-0.00651628401677678
"mcmc","simple",440,440,20,21,0,0,0,0,0.000283360080898467
"mcmc","simple",440,440,21,22,0,0,0,0,-0.00376748661210426
"mcmc","simple",440,440,22,23,0,0,0,0,-0.00347081275784238
"mcmc","simple",440,440,23,24,0,0,0,0,0.000344967347104433
"mcmc","simple",440,440,24,25,0,0,0,0,-0.000592584872127823
"mcmc","simple",440,440,25,26,0,0,0,0,0.00535845377753047
"mcmc","simple",440,440,26,27,0,0,0,0,0.00259389909339545
"mcmc","simple",440,440,27,28,-0.7732679,1,1,1,-0.757669582615523
"mcmc","simple",440,440,28,29,0,0,0,0,-0.000791785476510773
"mcmc","simple",440,440,29,30,0,0,0,0,0.0210671008049937
"mcmc","simple",440,440,30,31,0,0,0,0,0.00117835526041256
"mcmc","simple",440,440,31,32,1.7480325,1,1,1,1.80271823736266
"mcmc","simple",440,440,32,33,0,0,0,0,-0.00163076855801009
"mcmc","simple",440,440,33,34,0,0,0,0,-0.00348421062660641
"mcmc","simple",440,440,34,35,0,0,0,0,-0.00111899900636898
"mcmc","simple",440,440,35,36,0,0,0,0,-0.062589735274445
"mcmc","simple",440,440,36,37,0,0,0,0,-0.00163073372832513
"mcmc","simple",440,440,37,38,0,0,0,0,0.000592702502918079
"mcmc","simple",440,440,38,39,0,0,0,0,-0.000265489190407673
"mcmc","simple",440,440,39,40,0,0,0,0,-0.00106622089068192
"mcmc","simple",440,440,40,41,0,0,0,0,0.00160616103950803
"mcmc","simple",440,440,41,42,0,0,0,0,0.000630953262012002
"mcmc","simple",440,440,42,43,0,0,0,0,0.000992244051570113
"mcmc","simple",440,440,43,44,0,0,0,0,-0.000422399560700336
"mcmc","simple",440,440,44,45,0,0,0,0,0.000283434179899545
"mcmc","simple",440,440,45,46,-1.4259009,1,1,1,-1.4457151888756
"mcmc","simple",440,440,46,47,0,0,0,0,0.00155200229562313
"mcmc","simple",440,440,47,48,0,0,0,0,-0.00139205713880187
"mcmc","simple",440,440,48,49,0,0,0,0,0.00248439933840613
"mcmc","simple",440,440,49,50,-1.4732718,1,1,1,-1.41373382858326
"mcmc","simple",440,440,50,51,0,0,0,0,0.0014976847850457
"mcmc","simple",440,440,51,52,0,0,0,0,-7.50058887012505e-05
"mcmc","simple",440,440,52,53,0,0,0,0,0.000108430838199751
"mcmc","simple",440,440,53,54,0,0,0,0,-0.00291762363229461
"mcmc","simple",440,440,54,55,0,0,0,0,0.00124212517329328
"mcmc","simple",440,440,55,56,0,0,0,0,4.81197657332013e-05
"mcmc","simple",440,440,56,57,0,0,0,0,0.00295659210512521
"mcmc","simple",440,440,57,58,0,0,0,0,-1.48807510194648e-05
"mcmc","simple",440,440,58,59,0,0,0,0,0.00020637424087407
"mcmc","simple",440,440,59,60,0,0,0,0,-0.103082298821778
"mcmc","simple",440,440,60,61,0,0,0,0,-0.00373115562581873
"mcmc","simple",440,440,61,62,0,0,0,0,0.000195549305379922
"mcmc","simple",440,440,62,63,-1.2649356,1,1,1,-1.28297616536378
"mcmc","simple",440,440,63,64,0,0,0,0,0.00108035676748959
"mcmc","simple",440,440,64,65,0,0,0,0,0.000344583597207775
"mcmc","simple",440,440,65,66,0,0,0,0,-0.00299374235145866
"mcmc","simple",440,440,66,67,0,0,0,0,-0.00200592850064264
"mcmc","simple",440,440,67,68,0,0,0,0,0.00238687861219234
"mcmc","simple",440,440,68,69,0,0,0,0,0.000440680463775981
"mcmc","simple",440,440,69,70,0,0,0,0,-0.00777358579285234
"mcmc","simple",440,440,70,71,0,0,0,0,0.00168366277354379
"mcmc","simple",440,440,71,72,0,0,0,0,0.00210311214184979
"mcmc","simple",440,440,72,73,0,0,0,0,0.00534317831232885
"mcmc","simple",440,440,73,74,-1.5972039,1,1,1,-1.52742297460297
"mcmc","simple",440,440,74,75,0,0,0,0,0.000610531284639419
"mcmc","simple",440,440,75,76,0,0,0,0,-0.000980654426620286
"mcmc","simple",440,440,76,77,0,0,0,0,-0.000174558359951318
"mcmc","simple",440,440,77,78,0,0,0,0,0.000720544806428051
"mcmc","simple",440,440,78,79,0,0,0,0,0.000387687367099231
"mcmc","simple",440,440,79,80,0,0,0,0,-0.000372874169144821
"mcmc","simple",440,440,80,81,0,0,0,0,-0.00778341152081705
"mcmc","simple",440,440,81,82,0,0,0,0,0.000915028011304265
"mcmc","simple",440,440,82,83,0,0,0,0,0.001322766441214
"mcmc","simple",440,440,83,84,0,0,0,0,0.00139975000635555
"mcmc","simple",440,440,84,85,0,0,0,0,0.0101916174467751
