"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","simple",479,479,0,1,0,0,0.000125,0,0.00044146457217292
"mcmc","simple",479,479,1,2,0,0,0.00475,0,-0.0185140285996912
"mcmc","simple",479,479,2,3,0,0,0.00025,0,-0.000273103131984224
"mcmc","simple",479,479,3,4,0,0,0.000375,0,-0.000889375357187394
"mcmc","simple",479,479,4,5,0,0,0,0,0.000968590767984351
"mcmc","simple",479,479,5,6,0,0,0,0,0.000537797507473836
"mcmc","simple",479,479,6,7,0,0,5e-04,0,0.00332229307890522
"mcmc","simple",479,479,7,8,0,0,0,0,-0.000123003885584493
"mcmc","simple",479,479,8,9,0,0,0.00025,0,-0.00107734116855808
"mcmc","simple",479,479,9,10,0,0,0.00075,0,0.00455434818175107
"mcmc","simple",479,479,10,11,0,0,5e-04,0,-0.00193477296221106
"mcmc","simple",479,479,11,12,0,0,0.000875,0,0.00662549079616536
"mcmc","simple",479,479,12,13,0,0,5e-04,0,0.00414151613451399
"mcmc","simple",479,479,13,14,0,0,0.031125,0,-0.0564559571191425
"mcmc","simple",479,479,14,15,0,0,0.025125,0,0.0476261207654733
"mcmc","simple",479,479,15,16,0,0,0.00025,0,-0.00262862541957298
"mcmc","simple",479,479,16,17,0,0,0,0,-0.000308406499821944
"mcmc","simple",479,479,17,18,0,0,0,0,0.00290169451653833
"mcmc","simple",479,479,18,19,-1.124361,1,0.99825,1,-1.29057317773621
"mcmc","simple",479,479,19,20,0,0,0.000875,0,0.00351137536112008
"mcmc","simple",479,479,20,21,0,0,0,0,-0.00117466724440739
"mcmc","simple",479,479,21,22,0,0,0.000125,0,-0.000868339020450434
"mcmc","simple",479,479,22,23,0,0,0,0,-0.00110141819090105
"mcmc","simple",479,479,23,24,0,0,0,0,-0.000323563648878197
"mcmc","simple",479,479,24,25,0,0,0,0,0.000491884988976227
"mcmc","simple",479,479,25,26,0,0,0,0,-0.00199888143118959
"mcmc","simple",479,479,26,27,0,0,0.000375,0,0.00080909944358152
"mcmc","simple",479,479,27,28,0,0,0.00025,0,0.0014682228006842
"mcmc","simple",479,479,28,29,0,0,0.00025,0,-0.000899240601481111
"mcmc","simple",479,479,29,30,0,0,0.00025,0,0.000931393096278085
"mcmc","simple",479,479,30,31,0,0,0.000125,0,0.000319114361498752
"mcmc","simple",479,479,31,32,0,0,0.00025,0,0.0031101322882915
"mcmc","simple",479,479,32,33,0,0,0.003,0,-0.0117601469324127
"mcmc","simple",479,479,33,34,0,0,0.00025,0,0.00124210743824278
"mcmc","simple",479,479,34,35,0,0,0.001875,0,-0.0065226136602003
"mcmc","simple",479,479,35,36,0,0,0.000375,0,0.00293339402435452
"mcmc","simple",479,479,36,37,0,0,0.000625,0,9.52721387416345e-05
"mcmc","simple",479,479,37,38,0,0,0.0035,0,-0.01153125020916
"mcmc","simple",479,479,38,39,0,0,0.000875,0,-0.00651584584895677
"mcmc","simple",479,479,39,40,0,0,0.000375,0,0.00319192216547594
"mcmc","simple",479,479,40,41,0,0,0.006625,0,-0.0175001271498163
"mcmc","simple",479,479,41,42,0,0,0.00125,0,-0.00446218581552189
"mcmc","simple",479,479,42,43,0,0,0.000125,0,0.000314027484241497
"mcmc","simple",479,479,43,44,0,0,0.00075,0,0.00412988463846634
"mcmc","simple",479,479,44,45,0,0,0,0,0.00115117353423337
