j0,j1,variable,beta_true,active
0,1,x1,0.0,0
1,2,x2,0.0,0
2,3,x3,0.0,0
3,4,x4,0.0,0
4,5,x5,0.0,0
5,6,x6,0.0,0
6,7,x7,0.0,0
7,8,x8,0.0,0
8,9,x9,0.0,0
9,10,x10,0.0,0
10,11,x11,0.0,0
11,12,x12,0.0,0
12,13,x13,0.0,0
13,14,x14,0.0,0
14,15,x15,0.0,0
15,16,x16,0.0,0
16,17,x17,0.0,0
17,18,x18,0.0,0
18,19,x19,0.0,0
19,20,x20,0.0,0
20,21,x21,0.0,0
21,22,x22,0.0,0
22,23,x23,0.0,0
23,24,x24,0.0,0
24,25,x25,0.0,0
25,26,x26,0.0,0
26,27,x27,0.0,0
27,28,x28,0.0,0
28,29,x29,0.0,0
29,30,x30,0.0,0
30,31,x31,0.0,0
31,32,x32,0.0,0
32,33,x33,0.0,0
33,34,x34,0.0,0
34,35,x35,0.0,0
35,36,x36,0.0,0
36,37,x37,0.0,0
37,38,x38,0.0,0
38,39,x39,0.0,0
39,40,x40,0.0,0
40,41,x41,0.0,0
41,42,x42,0.0,0
42,43,x43,0.0,0
43,44,x44,0.0,0
44,45,x45,0.0,0
45,46,x46,0.0,0
46,47,x47,0.0,0
47,48,x48,0.0,0
48,49,x49,0.0,0
49,50,x50,0.0,0
50,51,x51,0.0,0
51,52,x52,0.0,0
52,53,x53,0.0,0
53,54,x54,0.0,0
54,55,x55,0.0,0
55,56,x56,0.0,0
56,57,x57,0.0,0
57,58,x58,0.0,0
58,59,x59,0.0,0
59,60,x60,0.0,0
60,61,x61,0.0,0
61,62,x62,0.0,0
62,63,x63,0.0,0
63,64,x64,0.0,0
64,65,x65,0.0,0
65,66,x66,0.0,0
66,67,x67,0.0,0
67,68,x68,0.0,0
68,69,x69,0.0,0
69,70,x70,0.0,0
70,71,x71,0.0,0
71,72,x72,0.0,0
72,73,x73,0.0,0
73,74,x74,0.0,0
74,75,x75,0.0,0
75,76,x76,0.0,0
76,77,x77,0.0,0
77,78,x78,0.0,0
78,79,x79,0.0,0
79,80,x80,0.0,0
80,81,x81,0.0,0
81,82,x82,0.0,0
82,83,x83,0.5400989,1
83,84,x84,0.0,0
84,85,x85,0.0,0
85,86,x86,0.0,0
86,87,x87,0.0,0
87,88,x88,0.0,0
88,89,x89,0.0,0
89,90,x90,0.0,0
90,91,x91,0.0,0
91,92,x92,0.0,0
92,93,x93,0.0,0
93,94,x94,0.0,0
94,95,x95,0.0,0
95,96,x96,0.0,0
96,97,x97,0.0,0
97,98,x98,0.0,0
98,99,x99,0.0,0
99,100,x100,0.0,0
100,101,x101,0.0,0
101,102,x102,0.0,0
102,103,x103,0.0,0
103,104,x104,0.0,0
104,105,x105,0.0,0
105,106,x106,0.0,0
106,107,x107,0.0,0
107,108,x108,0.0,0
108,109,x109,0.0,0
109,110,x110,0.0,0
110,111,x111,0.0,0
111,112,x112,0.0,0
112,113,x113,0.87905174,1
113,114,x114,0.0,0
114,115,x115,0.0,0
115,116,x116,0.0,0
116,117,x117,0.0,0
117,118,x118,0.0,0
118,119,x119,0.0,0
119,120,x120,0.0,0
120,121,x121,0.0,0
121,122,x122,0.0,0
122,123,x123,0.0,0
123,124,x124,0.0,0
124,125,x125,0.0,0
125,126,x126,0.0,0
126,127,x127,0.0,0
127,128,x128,0.0,0
128,129,x129,0.0,0
129,130,x130,0.0,0
130,131,x131,0.0,0
131,132,x132,0.0,0
132,133,x133,0.0,0
133,134,x134,-1.0471326,1
134,135,x135,0.0,0
135,136,x136,0.0,0
136,137,x137,0.0,0
137,138,x138,0.0,0
138,139,x139,0.0,0
139,140,x140,0.0,0
140,141,x141,0.0,0
141,142,x142,0.0,0
142,143,x143,0.0,0
143,144,x144,0.0,0
144,145,x145,0.0,0
145,146,x146,0.0,0
146,147,x147,0.0,0
147,148,x148,0.0,0
148,149,x149,1.1052136,1
149,150,x150,0.0,0
150,151,x151,0.0,0
