"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","simple",444,444,0,1,0,0,0.00175,0,0.00415939926894478
"mcmc","simple",444,444,1,2,0,0,0.001125,0,0.00249609455580939
"mcmc","simple",444,444,2,3,0,0,0.001,0,-0.00219601520157206
"mcmc","simple",444,444,3,4,0,0,5e-04,0,-0.000488272936229988
"mcmc","simple",444,444,4,5,0,0,0.0075,0,0.0083108163540346
"mcmc","simple",444,444,5,6,0,0,0.000125,0,-0.0039519194704094
"mcmc","simple",444,444,6,7,-0.8356776,1,0.124625,0,-0.110128118254504
"mcmc","simple",444,444,7,8,0,0,5e-04,0,0.00122034357705134
"mcmc","simple",444,444,8,9,0,0,0.0355,0,-0.0492182426317292
"mcmc","simple",444,444,9,10,0,0,0,0,-0.000135264758179889
"mcmc","simple",444,444,10,11,0,0,0.00075,0,-0.00282575821049494
"mcmc","simple",444,444,11,12,0,0,0.000625,0,-0.00054831401032571
"mcmc","simple",444,444,12,13,0,0,0.000375,0,0.00155416545380325
"mcmc","simple",444,444,13,14,0,0,0.025,0,0.0300797857618092
"mcmc","simple",444,444,14,15,0,0,0.001125,0,-0.000810500710531528
"mcmc","simple",444,444,15,16,0,0,0.00025,0,0.000930003973079604
"mcmc","simple",444,444,16,17,0,0,0.001125,0,0.00299758952166857
"mcmc","simple",444,444,17,18,0,0,0.001875,0,0.00522209986639771
"mcmc","simple",444,444,18,19,0,0,0.00025,0,0.00268283770577342
"mcmc","simple",444,444,19,20,0,0,0.00075,0,0.0032900268215893
"mcmc","simple",444,444,20,21,0,0,0.000875,0,-0.00573644965154134
"mcmc","simple",444,444,21,22,0,0,0.000375,0,0.00231939162266125
"mcmc","simple",444,444,22,23,0,0,0.001625,0,-0.00577393992349501
"mcmc","simple",444,444,23,24,0,0,0.001625,0,0.00616756901599901
"mcmc","simple",444,444,24,25,0,0,0.000875,0,0.00454761707393037
"mcmc","simple",444,444,25,26,0,0,0.001125,0,-0.000189650560945235
"mcmc","simple",444,444,26,27,0,0,0.002125,0,-0.0081215482562177
"mcmc","simple",444,444,27,28,0,0,0.016875,0,-0.0205541954100624
"mcmc","simple",444,444,28,29,0,0,0.000125,0,-0.00260803594630649
"mcmc","simple",444,444,29,30,0,0,0,0,-0.00181257655285161
"mcmc","simple",444,444,30,31,0,0,0,0,-0.000905235734215795
"mcmc","simple",444,444,31,32,0,0,0.00025,0,0.00196328057567498
"mcmc","simple",444,444,32,33,0,0,0.003375,0,-0.00995365528204894
"mcmc","simple",444,444,33,34,0,0,0.003125,0,0.0102508342429406
"mcmc","simple",444,444,34,35,0,0,0.00025,0,0.000186055148148589
"mcmc","simple",444,444,35,36,0,0,5e-04,0,0.000235886119397171
"mcmc","simple",444,444,36,37,0,0,0,0,-0.00188836411480078
"mcmc","simple",444,444,37,38,0,0,0.001125,0,-0.00248865481943793
"mcmc","simple",444,444,38,39,0,0,0.001125,0,-0.0036675429683066
"mcmc","simple",444,444,39,40,0,0,0,0,0.00020869742561762
"mcmc","simple",444,444,40,41,0,0,0,0,0.00163041486895734
"mcmc","simple",444,444,41,42,0,0,0.001,0,-0.0045833678539402
"mcmc","simple",444,444,42,43,-1.1118248,1,0.77425,1,-0.711564919500438
"mcmc","simple",444,444,43,44,0,0,0,0,-6.54792913949011e-07
"mcmc","simple",444,444,44,45,0,0,0.000375,0,0.00146331038335505
