setting,sim_name,seed,n,p,n_active,n_active_target,sigma2,sigma,beta_low,beta_high,data_path,beta_path,out_dir,last_out_dir,active_idx,active_idx0,beta_value,signal_var,outcome_var,snr_actual
low_snr,simple,400,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_400.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_400_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_400,data/n160p100/n160p100_last_output/low_snr/seed_400,13;19;26;32;39;50;53;82;90;98,12;18;25;31;38;49;52;81;89;97,-0.055573951452970505,20.421695709228516,27.441394805908203,2.0421695709228516
low_snr,simple,401,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_401.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_401_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_401,data/n160p100/n160p100_last_output/low_snr/seed_401,5;11;26;30;34;41;44;45;62;69,4;10;25;29;33;40;43;44;61;68,-0.3858080506324768,11.140070915222168,22.966453552246094,1.1140070915222169
low_snr,simple,402,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_402.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_402_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_402,data/n160p100/n160p100_last_output/low_snr/seed_402,1;3;4;40;50;58;71;73;82;85,0;2;3;39;49;57;70;72;81;84,0.2019747495651245,14.828916549682617,25.450010299682617,1.4828916549682618
low_snr,simple,403,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_403.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_403_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_403,data/n160p100/n160p100_last_output/low_snr/seed_403,2;8;20;26;32;37;82;83;87;95,1;7;19;25;31;36;81;82;86;94,0.2431187629699707,17.669498443603516,25.380821228027344,1.7669498443603515
low_snr,simple,404,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_404.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_404_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_404,data/n160p100/n160p100_last_output/low_snr/seed_404,2;33;52;53;54;62;74;81;92;97,1;32;51;52;53;61;73;80;91;96,-0.06444309651851654,21.445446014404297,30.589187622070312,2.1445446014404297
low_snr,simple,405,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_405.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_405_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_405,data/n160p100/n160p100_last_output/low_snr/seed_405,13;36;50;51;66;68;71;83;92;99,12;35;49;50;65;67;70;82;91;98,-0.6176289916038513,16.331981658935547,31.935253143310547,1.6331981658935546
low_snr,simple,406,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_406.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_406_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_406,data/n160p100/n160p100_last_output/low_snr/seed_406,4;19;48;53;60;62;69;89;93;94,3;18;47;52;59;61;68;88;92;93,0.5403906106948853,12.327707290649414,21.395694732666016,1.2327707290649415
low_snr,simple,407,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_407.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_407_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_407,data/n160p100/n160p100_last_output/low_snr/seed_407,16;18;38;46;53;67;78;89;95;96,15;17;37;45;52;66;77;88;94;95,-0.07188200950622559,11.251901626586914,22.041269302368164,1.1251901626586913
low_snr,simple,408,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_408.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_408_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_408,data/n160p100/n160p100_last_output/low_snr/seed_408,4;5;18;42;56;57;59;65;66;99,3;4;17;41;55;56;58;64;65;98,-1.041197657585144,26.216333389282227,29.443096160888672,2.6216333389282225
low_snr,simple,409,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_409.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_409_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_409,data/n160p100/n160p100_last_output/low_snr/seed_409,23;35;54;57;66;76;83;88;92;95,22;34;53;56;65;75;82;87;91;94,-0.2250995635986328,23.176433563232422,37.371665954589844,2.3176433563232424
low_snr,simple,410,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_410.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_410_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_410,data/n160p100/n160p100_last_output/low_snr/seed_410,35;59;63;71;77;78;81;87;92;97,34;58;62;70;76;77;80;86;91;96,-0.4063265323638916,13.0155029296875,20.955652236938477,1.30155029296875
low_snr,simple,411,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_411.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_411_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_411,data/n160p100/n160p100_last_output/low_snr/seed_411,16;27;31;36;41;46;52;59;63;78,15;26;30;35;40;45;51;58;62;77,0.8143587112426758,24.780147552490234,34.148406982421875,2.4780147552490233
low_snr,simple,412,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_412.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_412_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_412,data/n160p100/n160p100_last_output/low_snr/seed_412,2;21;25;35;48;49;57;67;74;83,1;20;24;34;47;48;56;66;73;82,0.07721471786499023,18.81463050842285,29.220104217529297,1.8814630508422852
low_snr,simple,413,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_413.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_413_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_413,data/n160p100/n160p100_last_output/low_snr/seed_413,2;25;35;62;63;74;79;82;89;99,1;24;34;61;62;73;78;81;88;98,0.4616641104221344,9.89427375793457,17.318838119506836,0.9894273757934571
low_snr,simple,414,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_414.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_414_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_414,data/n160p100/n160p100_last_output/low_snr/seed_414,5;9;18;25;31;39;65;66;79;83,4;8;17;24;30;38;64;65;78;82,-0.4486538767814636,21.578529357910156,33.80583572387695,2.1578529357910154
low_snr,simple,415,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_415.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_415_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_415,data/n160p100/n160p100_last_output/low_snr/seed_415,6;9;10;17;18;26;33;35;39;81,5;8;9;16;17;25;32;34;38;80,0.5856276750564575,9.296879768371582,23.615453720092773,0.9296879768371582
low_snr,simple,416,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_416.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_416_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_416,data/n160p100/n160p100_last_output/low_snr/seed_416,5;22;38;60;68;72;73;80;82;95,4;21;37;59;67;71;72;79;81;94,0.5708974003791809,13.7944974899292,25.07094383239746,1.3794497489929198
low_snr,simple,417,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_417.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_417_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_417,data/n160p100/n160p100_last_output/low_snr/seed_417,25;31;34;36;42;69;75;80;91;99,24;30;33;35;41;68;74;79;90;98,-0.43104633688926697,12.274328231811523,22.17770767211914,1.2274328231811524
low_snr,simple,418,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_418.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_418_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_418,data/n160p100/n160p100_last_output/low_snr/seed_418,13;15;16;19;23;49;56;64;77;79,12;14;15;18;22;48;55;63;76;78,0.40690240263938904,14.582254409790039,26.72463607788086,1.4582254409790039
low_snr,simple,419,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_419.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_419_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_419,data/n160p100/n160p100_last_output/low_snr/seed_419,5;11;42;65;68;80;81;87;96;97,4;10;41;64;67;79;80;86;95;96,-0.12521187961101532,14.9514799118042,25.482608795166016,1.49514799118042
low_snr,simple,420,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_420.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_420_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_420,data/n160p100/n160p100_last_output/low_snr/seed_420,8;15;24;31;40;45;46;65;77;80,7;14;23;30;39;44;45;64;76;79,-0.39202558994293213,18.10564613342285,29.7144832611084,1.8105646133422852
low_snr,simple,421,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_421.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_421_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_421,data/n160p100/n160p100_last_output/low_snr/seed_421,5;20;43;49;57;71;84;90;97;98,4;19;42;48;56;70;83;89;96;97,-0.4319137930870056,13.300573348999023,23.65188217163086,1.3300573348999023
low_snr,simple,422,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_422.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_422_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_422,data/n160p100/n160p100_last_output/low_snr/seed_422,2;20;22;29;53;61;64;77;90;100,1;19;21;28;52;60;63;76;89;99,0.41754746437072754,20.641979217529297,27.629192352294922,2.0641979217529296
low_snr,simple,423,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_423.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_423_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_423,data/n160p100/n160p100_last_output/low_snr/seed_423,8;14;30;31;32;50;61;64;74;76,7;13;29;30;31;49;60;63;73;75,0.27395135164260864,21.236522674560547,32.78202438354492,2.1236522674560545
low_snr,simple,424,160,100,10,10,10.0,3.1622776601683795,0.3,2.0,data/n160p100/n160p100_input/low_snr/dataframe/seed_424.csv,data/n160p100/n160p100_input/low_snr/beta_true/seed_424_beta_true.csv,data/n160p100/n160p100_mcmc_output/low_snr/seed_424,data/n160p100/n160p100_last_output/low_snr/seed_424,7;24;26;32;41;44;48;71;83;97,6;23;25;31;40;43;47;70;82;96,0.4318251609802246,18.631059646606445,31.069107055664062,1.8631059646606445
