setting,sim_name,seed,n,p,n_active,n_active_target,sigma2,sigma,beta_low,beta_high,data_path,beta_path,out_dir,last_out_dir,active_idx,active_idx0,beta_value,signal_var,outcome_var,snr_actual
weak_signal,simple,400,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_400.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_400_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_400,data/n160p100/n160p100_last_output/weak_signal/seed_400,13;19;26;32;39;50;53;82;90;98,12;18;25;31;38;49;52;81;89;97,-0.01307622529566288,1.3169846534729004,2.0646064281463623,1.3169846534729004
weak_signal,simple,401,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_401.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_401_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_401,data/n160p100/n160p100_last_output/weak_signal/seed_401,5;11;26;30;34;41;44;45;62;69,4;10;25;29;33;40;43;44;61;68,-0.10254309326410294,0.7415391802787781,1.8820403814315796,0.7415391802787781
weak_signal,simple,402,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_402.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_402_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_402,data/n160p100/n160p100_last_output/weak_signal/seed_402,1;3;4;40;50;58;71;73;82;85,0;2;3;39;49;57;70;72;81;84,0.053405821323394775,0.98223477602005,2.035998821258545,0.98223477602005
weak_signal,simple,403,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_403.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_403_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_403,data/n160p100/n160p100_last_output/weak_signal/seed_403,2;8;20;26;32;37;82;83;87;95,1;7;19;25;31;36;81;82;86;94,0.06308676302433014,1.1575324535369873,1.965325951576233,1.1575324535369873
weak_signal,simple,404,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_404.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_404_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_404,data/n160p100/n160p100_last_output/weak_signal/seed_404,2;33;52;53;54;62;74;81;92;97,1;32;51;52;53;61;73;80;91;96,-0.01516308169811964,1.391318440437317,2.292112112045288,1.391318440437317
weak_signal,simple,405,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_405.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_405_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_405,data/n160p100/n160p100_last_output/weak_signal/seed_405,13;36;50;51;66;68;71;83;92;99,12;35;49;50;65;67;70;82;91;98,-0.15708915889263153,1.068212866783142,2.5460739135742188,1.068212866783142
weak_signal,simple,406,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_406.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_406_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_406,data/n160p100/n160p100_last_output/weak_signal/seed_406,4;19;48;53;60;62;69;89;93;94,3;18;47;52;59;61;68;88;92;93,0.13891544938087463,0.8217363357543945,1.7456048727035522,0.8217363357543945
weak_signal,simple,407,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_407.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_407_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_407,data/n160p100/n160p100_last_output/weak_signal/seed_407,16;18;38;46;53;67;78;89;95;96,15;17;37;45;52;66;77;88;94;95,-0.02279575727880001,0.7620896100997925,1.853112816810608,0.7620896100997925
weak_signal,simple,408,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_408.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_408_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_408,data/n160p100/n160p100_last_output/weak_signal/seed_408,4;5;18;42;56;57;59;65;66;99,3;4;17;41;55;56;58;64;65;98,-0.26851707696914673,1.700325608253479,2.1198010444641113,1.700325608253479
weak_signal,simple,409,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_409.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_409_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_409,data/n160p100/n160p100_last_output/weak_signal/seed_409,23;35;54;57;66;76;83;88;92;95,22;34;53;56;65;75;82;87;91;94,-0.05884695053100586,1.4929085969924927,2.832263469696045,1.4929085969924927
weak_signal,simple,410,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_410.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_410_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_410,data/n160p100/n160p100_last_output/weak_signal/seed_410,35;59;63;71;77;78;81;87;92;97,34;58;62;70;76;77;80;86;91;96,-0.10737095773220062,0.873156726360321,1.694056510925293,0.873156726360321
weak_signal,simple,411,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_411.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_411_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_411,data/n160p100/n160p100_last_output/weak_signal/seed_411,16;27;31;36;41;46;52;59;63;78,15;26;30;35;40;45;51;58;62;77,0.20926086604595184,1.5885193347930908,2.559556722640991,1.5885193347930908
weak_signal,simple,412,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_412.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_412_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_412,data/n160p100/n160p100_last_output/weak_signal/seed_412,2;21;25;35;48;49;57;67;74;83,1;20;24;34;47;48;56;66;73;82,0.018168173730373383,1.2525193691253662,2.275268077850342,1.2525193691253662
weak_signal,simple,413,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_413.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_413_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_413,data/n160p100/n160p100_last_output/weak_signal/seed_413,2;25;35;62;63;74;79;82;89;99,1;24;34;61;62;73;78;81;88;98,0.12039154767990112,0.6703395843505859,1.4769853353500366,0.6703395843505859
weak_signal,simple,414,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_414.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_414_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_414,data/n160p100/n160p100_last_output/weak_signal/seed_414,5;9;18;25;31;39;65;66;79;83,4;8;17;24;30;38;64;65;78;82,-0.11144797503948212,1.3861641883850098,2.5482325553894043,1.3861641883850098
weak_signal,simple,415,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_415.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_415_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_415,data/n160p100/n160p100_last_output/weak_signal/seed_415,6;9;10;17;18;26;33;35;39;81,5;8;9;16;17;25;32;34;38;80,0.1554417908191681,0.6479425430297852,2.048733711242676,0.6479425430297852
weak_signal,simple,416,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_416.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_416_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_416,data/n160p100/n160p100_last_output/weak_signal/seed_416,5;22;38;60;68;72;73;80;82;95,4;21;37;59;67;71;72;79;81;94,0.146093487739563,0.9304235577583313,2.0200769901275635,0.9304235577583313
weak_signal,simple,417,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_417.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_417_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_417,data/n160p100/n160p100_last_output/weak_signal/seed_417,25;31;34;36;42;69;75;80;91;99,24;30;33;35;41;68;74;79;90;98,-0.10730502754449844,0.8306279182434082,1.8416337966918945,0.8306279182434082
weak_signal,simple,418,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_418.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_418_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_418,data/n160p100/n160p100_last_output/weak_signal/seed_418,13;15;16;19;23;49;56;64;77;79,12;14;15;18;22;48;55;63;76;78,0.10162408649921417,0.957510769367218,2.1236331462860107,0.957510769367218
weak_signal,simple,419,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_419.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_419_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_419,data/n160p100/n160p100_last_output/weak_signal/seed_419,5;11;42;65;68;80;81;87;96;97,4;10;41;64;67;79;80;86;95;96,-0.03534398227930069,0.9837883114814758,2.042581081390381,0.9837883114814758
weak_signal,simple,420,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_420.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_420_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_420,data/n160p100/n160p100_last_output/weak_signal/seed_420,8;15;24;31;40;45;46;65;77;80,7;14;23;30;39;44;45;64;76;79,-0.09812366962432861,1.1761366128921509,2.2980053424835205,1.1761366128921509
weak_signal,simple,421,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_421.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_421_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_421,data/n160p100/n160p100_last_output/weak_signal/seed_421,5;20;43;49;57;71;84;90;97;98,4;19;42;48;56;70;83;89;96;97,-0.11339147388935089,0.878664493560791,1.8905208110809326,0.878664493560791
weak_signal,simple,422,160,100,10,10,1.0,1.0,0.1,0.5,data/n160p100/n160p100_input/weak_signal/dataframe/seed_422.csv,data/n160p100/n160p100_input/weak_signal/beta_true/seed_422_beta_true.csv,data/n160p100/n160p100_mcmc_output/weak_signal/seed_422,data/n160p100/n160p100_last_output/weak_signal/seed_422,2;20;22;29;53;61;64;77;90;100,1;19;21;28;52;60;63;76;89;99,0.11001117527484894,1.3503788709640503,2.0772223472595215,1.3503788709640503
