j,beta_mean,beta_sd,gate_mean,gate_sd,pip,pip_sd,selected,beta_true,truth,mcmc_beta_mean,mcmc_beta_sd,mcmc_pip,beta_mean_abs_error,beta_sd_abs_error,pip_abs_error
0,-0.04493544,0.081164174,0.0797359,0.06968836,0.0005,0.022357643,0,0.0,0,-0.01383055891196311,0.05306410113543232,0.0,0.03110487987001359,0.028100072646439475,0.0005000000237487257
1,0.0041549862,0.060297325,0.057479326,0.05386791,0.00025,0.015811345,0,0.0,0,-0.002049348849197296,0.02711679623086,0.0,0.006204335085441736,0.03318052902262664,0.0002500000118743628
2,0.0013921378,0.060309555,0.05683206,0.055722397,0.00125,0.035337538,0,0.0,0,-0.00010040273083895784,0.03038356487410262,0.0,0.0014925405721604858,0.029925990507433865,0.0012499999720603228
3,-0.07606284,0.09570588,0.100419305,0.08115465,0.002,0.044681717,0,0.0,0,-0.022055782354079383,0.06441471160174543,0.0,0.05400706084946523,0.03129117011307543,0.0020000000949949026
4,0.023198213,0.072322235,0.066953376,0.06343914,0.0005,0.022357695,0,0.0,0,0.0035925929396173157,0.033602796142350275,0.0,0.01960562048864158,0.03871943836902515,0.0005000000237487257
5,0.038490042,0.0691286,0.0701288,0.060929324,0.00075,0.02737919,0,0.0,0,0.0952609503180405,0.13895902354751596,0.007875,0.05677090822762454,0.06983042080436716,0.007124999993480742
6,-0.003857785,0.06501132,0.06281109,0.05971602,0.00125,0.035337426,0,0.0,0,-0.002305606704623908,0.028255522226806638,0.0,0.0015521781999156773,0.0367558002715149,0.0012499999720603228
7,0.010904038,0.06292441,0.059060156,0.054545037,0.0,0.0,0,0.0,0,0.0016323932523649202,0.029978209726003482,0.0,0.009271645072587206,0.03294619769653909,0.0
8,0.0029529943,0.06252805,0.061671603,0.059095256,0.00075,0.027379157,0,0.0,0,0.008665063506376544,0.04411901201467493,0.0,0.005712069193285504,0.01840903942127249,0.000750000006519258
9,-0.0018513171,0.062758245,0.06022838,0.058570623,0.00075,0.027378913,0,0.0,0,-0.0034166355654301084,0.0336259702160677,0.0,0.001565318441920165,0.02913227435800228,0.000750000006519258
10,0.008103513,0.06130128,0.05813568,0.057980325,0.00075,0.027378468,0,0.0,0,-0.008477491970020942,0.04355010983461001,0.0,0.016581005128878765,0.017751169978441214,0.000750000006519258
11,0.0028379713,0.060701743,0.060205262,0.058143493,0.0,0.0,0,0.0,0,0.0020493476962309544,0.03204824840899512,0.0,0.0007886236222822006,0.028653494359292542,0.0
12,1.2876743,0.1515779,0.60138804,0.062208273,0.947,0.22405894,1,1.2004611,1,1.1770880711011533,0.12118485850298155,1.0,0.11058623672202783,0.030393046317460648,0.05299997329711914
13,-0.014758354,0.06283702,0.05739948,0.054248434,0.00025,0.015811313,0,0.0,0,-0.02114893306981991,0.06578307644765251,0.000375,0.0063905790169186405,0.0029460568849312557,0.00012499998812563718
14,0.049497746,0.08397961,0.08465218,0.075933576,0.002,0.04468106,0,0.0,0,0.008359555610192986,0.0423835962936828,0.0,0.041138190320955545,0.041596010334735166,0.0020000000949949026
15,0.014643393,0.070017114,0.06669218,0.065285385,0.0015,0.038706128,0,0.0,0,0.0025152917299644637,0.027699656500203746,0.0,0.01212810172697142,0.042317457781450615,0.001500000013038516
