method,mode,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,pip_hard,softgate,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,lasso_recovery,simple,428,428,0,1,0.0,0,0.0,0.0,0.025470154,0,-0.005746706,0.016928313,0.0,0.0
last_flow,lasso_recovery,simple,428,428,1,2,0.0,0,0.0,0.0,0.035909448,0,-0.0025032551,0.01992528,0.0,0.0
last_flow,lasso_recovery,simple,428,428,2,3,0.0,0,0.0,0.0,0.017166287,0,-0.005265375,0.013162466,0.0,0.0
last_flow,lasso_recovery,simple,428,428,3,4,-1.2063783,1,1.0,1.0,0.88445604,1,-1.1904039,0.12844557,-1.3463646,0.12257767
last_flow,lasso_recovery,simple,428,428,4,5,0.0,0,0.0,0.0,0.03694456,0,0.026974447,0.024554424,0.0,0.0
last_flow,lasso_recovery,simple,428,428,5,6,0.0,0,0.0,0.0,0.028336227,0,-0.0012267793,0.013314429,0.0,0.0
last_flow,lasso_recovery,simple,428,428,6,7,0.0,0,0.0,0.0,0.030256413,0,0.0024317433,0.018050108,0.0,0.0
last_flow,lasso_recovery,simple,428,428,7,8,0.0,0,0.0,0.0,0.16984807,0,-0.36366227,0.113244645,0.0,0.0
last_flow,lasso_recovery,simple,428,428,8,9,0.0,0,0.0,0.0,0.023005772,0,0.007890329,0.012705661,0.0,0.0
last_flow,lasso_recovery,simple,428,428,9,10,0.0,0,0.0,0.0,0.049557712,0,-0.040034268,0.03136908,0.0,0.0
last_flow,lasso_recovery,simple,428,428,10,11,0.0,0,0.0,0.0,0.10355507,0,0.18469118,0.07672216,0.0,0.0
last_flow,lasso_recovery,simple,428,428,11,12,0.0,0,0.0,0.0,0.03270547,0,-0.010562855,0.020914864,0.0,0.0
last_flow,lasso_recovery,simple,428,428,12,13,1.0316886,1,0.31825,0.31825,0.4692281,0,0.79740334,0.1369214,0.520507,0.7729946
last_flow,lasso_recovery,simple,428,428,13,14,0.0,0,0.0,0.0,0.0638945,0,-0.066504404,0.04267273,0.0,0.0
last_flow,lasso_recovery,simple,428,428,14,15,0.0,0,0.0,0.0,0.026698528,0,-0.013112708,0.019283852,0.0,0.0
last_flow,lasso_recovery,simple,428,428,15,16,0.0,0,0.0,0.0,0.028427325,0,-0.004101941,0.015993608,0.0,0.0
last_flow,lasso_recovery,simple,428,428,16,17,0.0,0,0.0,0.0,0.062423643,0,0.048553232,0.04037039,0.0,0.0
last_flow,lasso_recovery,simple,428,428,17,18,0.0,0,0.0,0.0,0.038438123,0,0.017145354,0.025669347,0.0,0.0
last_flow,lasso_recovery,simple,428,428,18,19,0.0,0,0.00025,0.00025,0.01692528,0,0.0058205547,0.018100714,0.00018938431,0.011977802
last_flow,lasso_recovery,simple,428,428,19,20,0.0,0,0.0,0.0,0.044266164,0,0.03185017,0.04169838,0.0,0.0
last_flow,lasso_recovery,simple,428,428,20,21,0.0,0,0.0,0.0,0.024408102,0,-0.0077152112,0.013704059,0.0,0.0
last_flow,lasso_recovery,simple,428,428,21,22,0.0,0,0.0,0.0,0.04358541,0,-0.027414992,0.028540041,0.0,0.0
last_flow,lasso_recovery,simple,428,428,22,23,0.0,0,0.0,0.0,0.02314288,0,-0.00038033348,0.013611515,0.0,0.0
last_flow,lasso_recovery,simple,428,428,23,24,0.0,0,0.0,0.0,0.0885813,0,0.077542275,0.056275915,0.0,0.0
last_flow,lasso_recovery,simple,428,428,24,25,0.0,0,0.0005,0.0005,0.019940166,0,-0.0032391453,0.017889198,6.785928e-05,0.012632861
last_flow,lasso_recovery,simple,428,428,25,26,0.0,0,0.0,0.0,0.056974594,0,-0.048964385,0.038189188,0.0,0.0
last_flow,lasso_recovery,simple,428,428,26,27,0.0,0,0.0,0.0,0.03249112,0,0.014078064,0.018665154,0.0,0.0
last_flow,lasso_recovery,simple,428,428,27,28,-1.5840493,1,0.9995,0.9995,0.98000026,1,-1.3924345,0.12883307,-1.4202286,0.120758
last_flow,lasso_recovery,simple,428,428,28,29,0.0,0,0.0,0.0,0.03378838,0,0.019022334,0.020163001,0.0,0.0
last_flow,lasso_recovery,simple,428,428,29,30,0.0,0,0.0,0.0,0.02814571,0,0.0038335896,0.014457783,0.0,0.0
last_flow,lasso_recovery,simple,428,428,30,31,0.0,0,0.0,0.0,0.031818982,0,-0.007848048,0.020383505,0.0,0.0
