support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,softgate_mean,softgate_sd,softgate_q05,softgate_q25,softgate_q50,softgate_q75,softgate_q95,softgate_mean_j_q05,softgate_mean_j_q25,softgate_mean_j_q50,softgate_mean_j_q75,softgate_mean_j_q95,softgate_mean_j_sum,softgate_sd_j_median,softgate_sd_j_q90,gate_entropy_mean,gate_entropy_median,gate_entropy_q90,beta_abs_mean,beta_abs_median,beta_abs_q75,beta_abs_q90,beta_abs_q95,beta_mean_abs_j_median,beta_mean_abs_j_q90,beta_mean_abs_j_q95,beta_soft_sd_j_mean,beta_soft_sd_j_median,beta_soft_sd_j_q75,beta_soft_sd_j_q90,beta_soft_sd_j_q95,beta_l2_draw_mean,beta_l2_draw_sd,pip_hard_mean,pip_hard_q50,pip_hard_q75,pip_hard_q90,pip_hard_q95,expected_support_softgate,expected_support_hard,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,lasso_recovery_score,alert,best_so_far
"[10, 21, 70]",3,1316.24194336,1316.24194336,7.88229898,12.05644226,3.4722388,2.82796407,-0.10227398,-5.64128208,5.64128208,0,0.0,0.0,0.0,0.0,49.53420258,0.69034404,0.04085777,0.03257161,0.0,0.49534211,0.03709443,0.43272528,0.47053707,0.49639258,0.52084893,0.55517936,0.49288136,0.49398798,0.49523672,0.49653211,0.49833664,49.53421402,0.0371749,0.03853422,0.69034404,0.69188845,0.69310594,0.03257161,0.0274056,0.04685284,0.0671479,0.08079488,0.00181868,0.00549799,0.00586616,0.04085776,0.04087677,0.04228078,0.04312304,0.04370008,0.40740454,0.03972865,0.45859376,0.45703125,0.4765625,0.48828125,0.49628904,49.53421402,45.859375,0,0,True,1,1,0.8,1e-05,2649.95776367,7.88229898,10.43000988,False,True
"[0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 53, 54, 55, 58, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 74, 76, 77, 78, 82, 84, 85, 86, 88, 89, 91, 92, 93, 94, 95, 96, 98, 99]",78,1200.40356445,1241.00822096,7.86419144,11.33934593,3.36739453,2.79808354,-0.03671263,-4.82918787,4.82918787,75,0.97468354,0.05947827,0.0880069,-0.01810755,51.09214401,0.68995404,0.04424496,0.04209309,0.01603058,0.51092148,0.03837222,0.4471305,0.48478889,0.51136196,0.53719878,0.57328129,0.4920646,0.50202441,0.51372218,0.51947236,0.52333474,51.09214401,0.03714462,0.03893732,0.68995404,0.69162637,0.69309473,0.04209309,0.03624407,0.06097,0.08588961,0.10141579,0.02795044,0.0315021,0.03239406,0.04424495,0.04392974,0.04564411,0.04720659,0.04775449,0.52154481,0.04468918,0.61433595,0.6484375,0.703125,0.72695315,0.74238276,51.09214401,61.43359375,1,0,True,25,25,0.8,1e-05,2605.10107422,7.86522675,10.23904103,False,True
"[0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 82, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99]",90,1071.22216797,1116.84200283,7.88897143,10.55326176,3.24857842,2.72859383,0.03515601,-4.20933962,4.20933962,12,0.13333333,0.06932359,0.10761497,0.02477999,54.75740433,0.68405211,0.04993725,0.06555443,0.0367022,0.54757404,0.04746336,0.46554801,0.51610124,0.55011511,0.58063674,0.6219672,0.49384475,0.52903152,0.56223142,0.5687893,0.57303423,54.75740051,0.03904642,0.04083509,0.68405223,0.68756032,0.69292104,0.06555443,0.05998933,0.09426519,0.12489893,0.14498518,0.06360365,0.06911058,0.07032664,0.04993725,0.05017841,0.0528801,0.05472457,0.05578057,0.78431118,0.06337515,0.83835936,0.93945312,0.9609375,0.96875,0.97265625,54.75740051,83.8359375,2,0,True,50,50,0.8,1e-05,2707.234375,7.90368287,9.73874604,False,True
"[0, 1, 2, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 82, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99]",89,919.86187744,972.70487205,7.90242652,10.00407791,3.16292237,2.70542192,0.08536577,-3.80858183,3.80858183,-1,0.01111111,0.05203925,0.14129682,0.01345509,59.16755295,0.66693479,0.05921419,0.10541623,0.04460284,0.59167552,0.06703214,0.46777076,0.54689521,0.60262579,0.64076352,0.68649197,0.49238032,0.54463488,0.6242671,0.63079274,0.63505852,59.16754913,0.04210925,0.04483307,0.66693491,0.67180836,0.69229537,0.10541623,0.10151622,0.14702083,0.18938328,0.21495865,0.11701316,0.12980169,0.13118905,0.05921419,0.06090458,0.06363365,0.06551273,0.06623312,1.21923399,0.09053597,0.88425779,0.99609375,1.0,1.0,1.0,59.16754913,88.42578125,3,0,True,75,75,0.8,1e-05,2679.59057617,7.89341929,8.89537211,False,True
"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 82, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99]",93,748.52770996,808.51671127,7.76937636,10.06892776,3.17315738,2.74870586,0.0794368,-3.57696915,3.57696915,4,0.04301075,0.0,0.18626075,-0.13305015,64.68639374,0.62982512,0.07156402,0.16550058,0.05535801,0.64686388,0.09491339,0.46816257,0.5739302,0.67591077,0.71983898,0.76311505,0.49451521,0.55832422,0.70214128,0.70878768,0.71334177,64.68638611,0.0429486,0.04971761,0.62982512,0.62990582,0.6916821,0.16550058,0.16226062,0.23436213,0.29397112,0.33030692,0.18411297,0.23651351,0.24169883,0.07156402,0.07628569,0.08085153,0.0836073,0.08561381,1.91042352,0.123772,0.89820313,1.0,1.0,1.0,1.0,64.68638611,89.8203125,4,0,True,100,100,0.8,1e-05,2140.04882812,7.66858392,7.61971748,False,True
"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 82, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99]",91,616.58343506,661.85399438,7.27497726,9.81994057,3.13367844,2.61381292,0.10220074,-3.3341012,3.3341012,-2,0.02150538,0.02472827,0.17627173,-0.49439911,69.5761261,0.58048773,0.086114,0.23300976,0.04967636,0.69576126,0.1211721,0.46760541,0.58811361,0.74608791,0.78743857,0.83028811,0.49529341,0.56726283,0.76162821,0.78092766,0.7956531,69.57613373,0.03907284,0.05350175,0.58048773,0.56659061,0.69137692,0.23300976,0.21472418,0.34677163,0.45004186,0.50729954,0.21799093,0.41021481,0.43040249,0.086114,0.08724643,0.1024749,0.10825617,0.11095393,2.79150915,0.17861989,0.9002344,1.0,1.0,1.0,1.0,69.57613373,90.0234375,5,0,True,125,125,0.8,1e-05,1192.82897949,7.08408306,6.11544488,False,True
"[0, 1, 2, 4, 5, 6, 7, 8, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 58, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 78, 82, 84, 85, 86, 88, 90, 91, 92, 93, 94, 95, 96, 98, 99]",78,531.94165039,561.29133882,6.83281506,8.63674259,2.93883354,2.42128348,0.21037596,-3.07507968,3.07507968,-13,0.14285714,0.12048932,0.13727548,-0.4421622,66.78186035,0.59076601,0.08831626,0.24861559,0.0318527,0.66781861,0.14199828,0.40557548,0.53415596,0.72580278,0.77627695,0.82782561,0.425069,0.51830816,0.73502946,0.76663089,0.80607295,66.78186035,0.04227535,0.05477875,0.59076601,0.58734894,0.69123656,0.24861556,0.20509942,0.35676646,0.53168124,0.64341027,0.21150996,0.53040045,0.60374105,0.08831625,0.08347643,0.09904686,0.11901265,0.12781447,3.15852737,0.19464278,0.80011719,1.0,1.0,1.0,1.0,66.78186035,80.01171875,6,0,True,150,150,0.8,1e-05,786.5881958,6.66770485,4.81192348,False,True
"[0, 1, 2, 4, 5, 6, 7, 8, 12, 13, 14, 15, 16, 18, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 41, 42, 43, 44, 46, 47, 49, 50, 51, 52, 53, 54, 55, 58, 61, 62, 63, 66, 67, 68, 70, 71, 73, 74, 76, 77, 78, 82, 84, 85, 86, 88, 91, 92, 93, 94, 95, 96, 98, 99]",70,471.63757324,493.26681222,6.328622,7.88313293,2.80769174,2.2005899,0.27927558,-2.89167738,2.89167738,-8,0.1025641,0.08725624,0.11336596,-0.50419305,61.63297653,0.60809904,0.08984429,0.25402537,0.05321149,0.61632985,0.16410726,0.32173187,0.4613021,0.67559123,0.73994577,0.81735474,0.34310758,0.43548161,0.68539095,0.72580731,0.79845482,61.63298035,0.05098917,0.0585772,0.6080991,0.621149,0.6851809,0.25402537,0.18629085,0.33444765,0.55687004,0.77264535,0.18119754,0.54069942,0.75467777,0.08984426,0.08575159,0.09750947,0.11992163,0.15241624,3.49860334,0.24919957,0.71511722,1.0,1.0,1.0,1.0,61.63298035,71.51171875,7,0,True,175,175,0.8,1e-05,471.99362183,6.15696547,3.53711885,False,True
"[0, 1, 2, 4, 5, 6, 7, 8, 12, 13, 14, 15, 16, 19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 41, 42, 43, 44, 46, 47, 49, 50, 51, 53, 54, 55, 58, 61, 62, 63, 66, 67, 68, 70, 71, 73, 74, 76, 77, 78, 82, 84, 85, 86, 88, 91, 92, 93, 94, 95, 96, 98, 99]",68,430.1194458,444.62744847,5.93466467,6.62616253,2.57413335,1.94645524,0.39419554,-2.65301752,2.65301752,-2,0.02857143,0.15945062,0.08802973,-0.39395733,54.49690247,0.62525082,0.087833,0.24294934,0.07229243,0.54496896,0.17407154,0.24657394,0.38889354,0.58660138,0.67194998,0.79523736,0.27608624,0.36999565,0.59724164,0.66121972,0.76924604,54.49690247,0.06072007,0.06695465,0.62525088,0.64474094,0.68937939,0.24294934,0.16006196,0.30073076,0.51209784,0.8144123,0.15089898,0.46834922,0.72035527,0.087833,0.08340396,0.09489907,0.10769425,0.13243793,3.64552975,0.26963037,0.65390623,0.92578125,0.99316406,1.0,1.0,54.49690247,65.390625,8,0,True,200,200,0.8,1e-05,325.4352417,5.78516349,2.91269725,False,True
"[0, 1, 2, 6, 7, 8, 12, 13, 14, 15, 16, 19, 22, 23, 24, 27, 28, 29, 31, 34, 37, 38, 41, 42, 43, 44, 46, 50, 53, 54, 55, 58, 63, 66, 67, 68, 70, 71, 73, 74, 76, 77, 82, 84, 85, 88, 91, 93, 95, 96, 98, 99]",52,392.08306885,405.71544042,5.82650495,4.1898489,2.04691204,1.56982315,0.61693829,-2.13340282,2.13340282,-16,0.23529412,0.36768093,0.08843213,-0.10815972,47.64904022,0.62446606,0.08755625,0.22947468,0.06895694,0.47649032,0.17813629,0.19429702,0.32862607,0.49158353,0.6002723,0.77805692,0.23723061,0.30681717,0.50159836,0.57989287,0.73116165,47.64903259,0.0732891,0.07986795,0.624466,0.66015476,0.6921227,0.22947468,0.14197735,0.26879847,0.47282803,0.83049464,0.12811792,0.44126442,0.69384891,0.08755625,0.08089583,0.09339882,0.1045837,0.13075787,3.68535686,0.28973466,0.48160157,0.51953125,0.859375,0.97343749,1.0,47.64903259,48.16015625,9,0,True,225,225,0.8,1e-05,324.73434448,5.78300745,2.45049292,False,True
