"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","low_snr",499,499,0,1,0,0,0.02125,0,0.0192814622221333
"mcmc","low_snr",499,499,1,2,0,0,0.11225,0,-0.122001172900189
"mcmc","low_snr",499,499,2,3,0,0,0.02625,0,0.0315482681203192
"mcmc","low_snr",499,499,3,4,0,0,0.017,0,0.0013467188823597
"mcmc","low_snr",499,499,4,5,0,0,0.057875,0,-0.0677884563490573
"mcmc","low_snr",499,499,5,6,0,0,0.02725,0,0.0232454633012277
"mcmc","low_snr",499,499,6,7,0,0,0.038375,0,0.0449625410428643
"mcmc","low_snr",499,499,7,8,0,0,0.128,0,0.140353492907219
"mcmc","low_snr",499,499,8,9,0,0,0.031125,0,-0.0388156704444912
"mcmc","low_snr",499,499,9,10,0,0,0.11575,0,0.127074229481226
"mcmc","low_snr",499,499,10,11,0,0,0.02575,0,0.0251953641190343
"mcmc","low_snr",499,499,11,12,0,0,0.013625,0,-0.000516204723224135
"mcmc","low_snr",499,499,12,13,0,0,0.014875,0,0.00363137521265278
"mcmc","low_snr",499,499,13,14,0,0,0.018375,0,-0.00416486243822252
"mcmc","low_snr",499,499,14,15,0,0,0.0175,0,0.0103662005221087
"mcmc","low_snr",499,499,15,16,0.7357436,1,0.19425,0,0.202508988731213
"mcmc","low_snr",499,499,16,17,0,0,0.0315,0,0.03880673603704
"mcmc","low_snr",499,499,17,18,0,0,0.020125,0,-0.0135298651755763
"mcmc","low_snr",499,499,18,19,0,0,0.02475,0,-0.0241096073760738
"mcmc","low_snr",499,499,19,20,0,0,0.012125,0,0.00150079226498643
"mcmc","low_snr",499,499,20,21,0,0,0.099,0,0.113129000637485
"mcmc","low_snr",499,499,21,22,0,0,0.016875,0,-0.00453382265739701
"mcmc","low_snr",499,499,22,23,0,0,0.1135,0,0.128556318850039
"mcmc","low_snr",499,499,23,24,0,0,0.014125,0,-0.00211421063400982
"mcmc","low_snr",499,499,24,25,0.8419945,1,0.040625,0,0.0446002076800818
"mcmc","low_snr",499,499,25,26,0,0,0.02075,0,-0.00405262966143134
"mcmc","low_snr",499,499,26,27,0,0,0.02875,0,-0.0320286418398796
"mcmc","low_snr",499,499,27,28,0,0,0.032125,0,0.0395345587552136
"mcmc","low_snr",499,499,28,29,0,0,0.011625,0,-0.0131782702888861
"mcmc","low_snr",499,499,29,30,-0.58955073,1,0.066125,0,-0.071952246143969
"mcmc","low_snr",499,499,30,31,0,0,0.023375,0,0.0224377353599573
"mcmc","low_snr",499,499,31,32,0,0,0.0305,0,0.0348338409851744
"mcmc","low_snr",499,499,32,33,0,0,0.0355,0,0.0422393760780517
"mcmc","low_snr",499,499,33,34,0,0,0.023875,0,0.0239261756704017
"mcmc","low_snr",499,499,34,35,0,0,0.021875,0,-0.023283796545544
"mcmc","low_snr",499,499,35,36,0,0,0.021375,0,0.0187717411012812
"mcmc","low_snr",499,499,36,37,0,0,0.02225,0,0.0211376119783594
"mcmc","low_snr",499,499,37,38,0,0,0.053875,0,0.0655664251323388
"mcmc","low_snr",499,499,38,39,0,0,0.01725,0,-0.0162113833842458
"mcmc","low_snr",499,499,39,40,0,0,0.019125,0,-0.0156524061003309
"mcmc","low_snr",499,499,40,41,0,0,0.053125,0,-0.0622516203670706
"mcmc","low_snr",499,499,41,42,0,0,0.020375,0,0.017678891393409
"mcmc","low_snr",499,499,42,43,0,0,0.0175,0,-0.00392796277444646
"mcmc","low_snr",499,499,43,44,0,0,0.04125,0,-0.0508387510814821
"mcmc","low_snr",499,499,44,45,0,0,0.03825,0,0.0442556138791262
"mcmc","low_snr",499,499,45,46,0,0,0.014625,0,0.00125107358314584
"mcmc","low_snr",499,499,46,47,0,0,0.37275,0,0.381347586879313
"mcmc","low_snr",499,499,47,48,0,0,0.066375,0,-0.0818544326708043
"mcmc","low_snr",499,499,48,49,1.9524146,1,0.967,1,1.28773590514551
"mcmc","low_snr",499,499,49,50,1.6951164,1,0.989875,1,1.49744646675836
"mcmc","low_snr",499,499,50,51,0,0,0.0215,0,0.0249013935680486
"mcmc","low_snr",499,499,51,52,0,0,0.0185,0,-0.0161648430445911
"mcmc","low_snr",499,499,52,53,0,0,0.01575,0,-0.00845874169377239
"mcmc","low_snr",499,499,53,54,0,0,0.092875,0,0.105211384251041
"mcmc","low_snr",499,499,54,55,0,0,0.017375,0,-0.0106890835628368
"mcmc","low_snr",499,499,55,56,0,0,0.02425,0,-0.0207276547930413
"mcmc","low_snr",499,499,56,57,0.61283034,1,0.103375,0,0.115495385572285
"mcmc","low_snr",499,499,57,58,0,0,0.126,0,0.140554038455341
"mcmc","low_snr",499,499,58,59,0,0,0.018875,0,-0.0124815035534926
"mcmc","low_snr",499,499,59,60,0,0,0.04175,0,-0.0395932418184931
"mcmc","low_snr",499,499,60,61,0,0,0.331,0,-0.339974839866997
"mcmc","low_snr",499,499,61,62,1.4141493,1,0.695875,1,0.762002476950445
"mcmc","low_snr",499,499,62,63,0,0,0.043375,0,0.0474552790890786
"mcmc","low_snr",499,499,63,64,0,0,0.01825,0,-0.00376953111010312
"mcmc","low_snr",499,499,64,65,0,0,0.02425,0,-0.0266352776668532
"mcmc","low_snr",499,499,65,66,0,0,0.018625,0,-0.00345475596367939
"mcmc","low_snr",499,499,66,67,0,0,0.023625,0,0.0156432431670257
"mcmc","low_snr",499,499,67,68,0,0,0.068625,0,0.0781326849394764
"mcmc","low_snr",499,499,68,69,0,0,0.057375,0,0.0628785522726642
"mcmc","low_snr",499,499,69,70,0,0,0.026875,0,-0.0274051969414005
"mcmc","low_snr",499,499,70,71,0,0,0.05175,0,0.0529707784738848
"mcmc","low_snr",499,499,71,72,0,0,0.0365,0,0.0390211774295687
"mcmc","low_snr",499,499,72,73,0,0,0.0215,0,0.00303795614830634
"mcmc","low_snr",499,499,73,74,0,0,0.01375,0,-0.00374275556989885
"mcmc","low_snr",499,499,74,75,0,0,0.016,0,-0.00450692445469961
"mcmc","low_snr",499,499,75,76,0,0,0.031625,0,-0.0355421405335988
"mcmc","low_snr",499,499,76,77,0,0,0.331,0,-0.350391423005989
"mcmc","low_snr",499,499,77,78,1.3011557,1,0.64425,1,0.710471549483036
"mcmc","low_snr",499,499,78,79,0,0,0.04075,0,-0.0498302438262462
"mcmc","low_snr",499,499,79,80,0,0,0.649875,1,0.784517440333185
"mcmc","low_snr",499,499,80,81,0,0,0.024375,0,0.0266792101574611
"mcmc","low_snr",499,499,81,82,0,0,0.136,0,-0.145373854574232
"mcmc","low_snr",499,499,82,83,0,0,0.321625,0,0.332968904635201
"mcmc","low_snr",499,499,83,84,0,0,0.009875,0,-0.00454443863876608
"mcmc","low_snr",499,499,84,85,0,0,0.298375,0,-0.31613044702217
"mcmc","low_snr",499,499,85,86,-1.8932025,1,0.727625,1,-0.8004751242018
"mcmc","low_snr",499,499,86,87,0,0,0.518875,1,-0.562846424982354
"mcmc","low_snr",499,499,87,88,0,0,0.040375,0,-0.0415649766256355
"mcmc","low_snr",499,499,88,89,0,0,0.28025,0,0.280364155081087
"mcmc","low_snr",499,499,89,90,0,0,0.021125,0,-0.0267699466960707
"mcmc","low_snr",499,499,90,91,0,0,0.01775,0,-0.000151015496903451
"mcmc","low_snr",499,499,91,92,0,0,0.0295,0,0.0143633813525679
"mcmc","low_snr",499,499,92,93,0,0,0.034875,0,0.0395244250130823
"mcmc","low_snr",499,499,93,94,0,0,0.032875,0,-0.0396072291207569
