"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","weak_signal",426,426,0,1,0,0,0,0,0.00301801297607129
"mcmc","weak_signal",426,426,1,2,0,0,0,0,0.00260504763190675
"mcmc","weak_signal",426,426,2,3,0,0,0.012125,0,-0.105689536619587
"mcmc","weak_signal",426,426,3,4,0,0,0,0,-0.00100658959745556
"mcmc","weak_signal",426,426,4,5,0,0,0,0,-0.00141271988221547
"mcmc","weak_signal",426,426,5,6,0,0,0,0,0.00184970913182131
"mcmc","weak_signal",426,426,6,7,0,0,0,0,-0.00596547066980799
"mcmc","weak_signal",426,426,7,8,0.30527902,1,0.01025,0,0.0886884027345749
"mcmc","weak_signal",426,426,8,9,0,0,0,0,0.000416661918089646
"mcmc","weak_signal",426,426,9,10,0,0,0,0,0.00103331587978605
"mcmc","weak_signal",426,426,10,11,0,0,0.013875,0,0.0926699811087073
"mcmc","weak_signal",426,426,11,12,0,0,0,0,-0.00179750322859682
"mcmc","weak_signal",426,426,12,13,0,0,0,0,0.000665756625370952
"mcmc","weak_signal",426,426,13,14,0,0,0,0,0.00354889061792679
"mcmc","weak_signal",426,426,14,15,0,0,0,0,0.00670421809043171
"mcmc","weak_signal",426,426,15,16,0,0,0,0,0.0066161852624638
"mcmc","weak_signal",426,426,16,17,0,0,0.000125,0,0.00772217099496088
"mcmc","weak_signal",426,426,17,18,-0.29613143,1,0.000125,0,-0.00906644288957045
"mcmc","weak_signal",426,426,18,19,0,0,0,0,-0.000783453769212561
"mcmc","weak_signal",426,426,19,20,0,0,0,0,0.00269485847682495
"mcmc","weak_signal",426,426,20,21,0,0,0,0,0.00108258634038874
"mcmc","weak_signal",426,426,21,22,0,0,0,0,-0.000960496520895725
"mcmc","weak_signal",426,426,22,23,0,0,0,0,0.00966088699842014
"mcmc","weak_signal",426,426,23,24,0,0,0,0,0.000162214853438205
"mcmc","weak_signal",426,426,24,25,0,0,0,0,0.00827921114374882
"mcmc","weak_signal",426,426,25,26,-0.31466207,1,0.000125,0,-0.0105366702073095
"mcmc","weak_signal",426,426,26,27,-0.30652928,1,0.001375,0,-0.0354619670518729
"mcmc","weak_signal",426,426,27,28,0,0,0,0,-0.00185018277808561
"mcmc","weak_signal",426,426,28,29,0,0,0.000125,0,0.00276331237305137
"mcmc","weak_signal",426,426,29,30,0,0,0,0,0.00174942381422043
"mcmc","weak_signal",426,426,30,31,-0.4585863,1,0.35825,0,-0.443293111275506
"mcmc","weak_signal",426,426,31,32,0,0,0,0,-0.0013326317440576
"mcmc","weak_signal",426,426,32,33,0,0,0,0,0.000565349969814382
"mcmc","weak_signal",426,426,33,34,0,0,0.00025,0,0.0134787171052247
"mcmc","weak_signal",426,426,34,35,0,0,0.000875,0,0.0435009759544214
"mcmc","weak_signal",426,426,35,36,0,0,0,0,-0.0029133160999568
"mcmc","weak_signal",426,426,36,37,0,0,0,0,0.0023057268015007
"mcmc","weak_signal",426,426,37,38,0,0,0,0,-0.000289817218219657
"mcmc","weak_signal",426,426,38,39,0,0,0,0,0.000803807486354409
"mcmc","weak_signal",426,426,39,40,0,0,0,0,-0.0034276779817173
"mcmc","weak_signal",426,426,40,41,0,0,0,0,0.00192823082743921
"mcmc","weak_signal",426,426,41,42,0,0,0.000375,0,-0.0255230147471294
"mcmc","weak_signal",426,426,42,43,0,0,0,0,0.00199093657578371
"mcmc","weak_signal",426,426,43,44,0,0,0,0,-0.00747310024521821
"mcmc","weak_signal",426,426,44,45,0,0,0,0,-0.00206142456476339
"mcmc","weak_signal",426,426,45,46,0,0,0,0,0.00591812931451566
"mcmc","weak_signal",426,426,46,47,0,0,0,0,0.00255615610503313
"mcmc","weak_signal",426,426,47,48,0,0,5e-04,0,0.0216345452306253
"mcmc","weak_signal",426,426,48,49,0,0,0,0,0.0163448459466552
"mcmc","weak_signal",426,426,49,50,0,0,0,0,0.0019275042402568
"mcmc","weak_signal",426,426,50,51,0,0,0.00025,0,0.0168464937275748
"mcmc","weak_signal",426,426,51,52,0,0,0,0,-0.00158373456130741
"mcmc","weak_signal",426,426,52,53,0,0,0,0,-0.00340757357263201
"mcmc","weak_signal",426,426,53,54,0,0,0,0,0.00924839924892614
"mcmc","weak_signal",426,426,54,55,0,0,0,0,0.000273416401339069
"mcmc","weak_signal",426,426,55,56,0,0,0.000625,0,0.0328220685052231
"mcmc","weak_signal",426,426,56,57,0,0,0,0,-0.00104840654273168
"mcmc","weak_signal",426,426,57,58,0,0,0,0,-0.00159120921950393
"mcmc","weak_signal",426,426,58,59,0,0,0,0,-0.00405727753367767
"mcmc","weak_signal",426,426,59,60,0,0,0,0,0.00041853769254592
"mcmc","weak_signal",426,426,60,61,0,0,0,0,0.000235681231259204
"mcmc","weak_signal",426,426,61,62,0,0,0.000375,0,-0.0245527562829161
"mcmc","weak_signal",426,426,62,63,0,0,0.000125,0,-0.00485221143379777
"mcmc","weak_signal",426,426,63,64,0,0,0,0,-0.000690950059280716
"mcmc","weak_signal",426,426,64,65,0,0,0,0,-0.000744345291308355
"mcmc","weak_signal",426,426,65,66,0,0,0,0,0.000571529699934699
"mcmc","weak_signal",426,426,66,67,0,0,0,0,-0.000866185776888967
"mcmc","weak_signal",426,426,67,68,0.27228013,1,0.064625,0,0.236002855006334
"mcmc","weak_signal",426,426,68,69,0.49408063,1,0.006,0,0.0989136504652196
"mcmc","weak_signal",426,426,69,70,0,0,0,0,0.00183750990837901
"mcmc","weak_signal",426,426,70,71,0.24651349,1,0,0,0.00228488281923024
"mcmc","weak_signal",426,426,71,72,0,0,0,0,-0.00634224945585416
"mcmc","weak_signal",426,426,72,73,0,0,0,0,-0.00116291224953982
"mcmc","weak_signal",426,426,73,74,0,0,0,0,-0.000171449109774125
"mcmc","weak_signal",426,426,74,75,0,0,0,0,0.0131977196833313
"mcmc","weak_signal",426,426,75,76,0,0,0,0,-0.00273021574656772
"mcmc","weak_signal",426,426,76,77,0,0,0,0,0.00109380147370509
"mcmc","weak_signal",426,426,77,78,0,0,0.00025,0,0.0206123940930356
"mcmc","weak_signal",426,426,78,79,0,0,0,0,-0.00228639555625763
"mcmc","weak_signal",426,426,79,80,0,0,0,0,-0.000148125215021816
"mcmc","weak_signal",426,426,80,81,0,0,0,0,0.00222889016245689
"mcmc","weak_signal",426,426,81,82,0.43964505,1,0.926125,1,0.672236722101931
"mcmc","weak_signal",426,426,82,83,0,0,0,0,0.000134802641798272
"mcmc","weak_signal",426,426,83,84,0,0,0.004375,0,-0.0562066472964589
"mcmc","weak_signal",426,426,84,85,0,0,0,0,-0.00918904637335501
"mcmc","weak_signal",426,426,85,86,0,0,0,0,0.00711560865740219
"mcmc","weak_signal",426,426,86,87,0,0,0,0,0.00250876483017977
"mcmc","weak_signal",426,426,87,88,0,0,0,0,0.00151193968259929
"mcmc","weak_signal",426,426,88,89,-0.3109641,1,0.030625,0,-0.16719718353785
"mcmc","weak_signal",426,426,89,90,0,0,0,0,0.000754049581362737
"mcmc","weak_signal",426,426,90,91,0,0,0,0,-0.00314684846752532
"mcmc","weak_signal",426,426,91,92,0,0,0,0,0.000986880899835785
"mcmc","weak_signal",426,426,92,93,0,0,0.0015,0,0.0276466755166084
"mcmc","weak_signal",426,426,93,94,0,0,0,0,0.000337730686068106
"mcmc","weak_signal",426,426,94,95,0,0,0,0,0.016722957791152
"mcmc","weak_signal",426,426,95,96,0,0,0,0,0.00187697072383464
"mcmc","weak_signal",426,426,96,97,0,0,0.015375,0,0.140481857738732
"mcmc","weak_signal",426,426,97,98,0,0,0,0,-0.00238612568488558
"mcmc","weak_signal",426,426,98,99,0,0,0,0,-0.00163035580774011
"mcmc","weak_signal",426,426,99,100,0,0,0.000125,0,0.0094544138694738
