method,mode,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,pip_hard,softgate,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,lasso_recovery,simple,477,477,0,1,0.0,0,0.0,0.0,0.043130375,0,0.016989963,0.033493236,0.0,0.0
last_flow,lasso_recovery,simple,477,477,1,2,0.0,0,0.0,0.0,0.024462111,0,-0.0022448157,0.024059247,0.0,0.0
last_flow,lasso_recovery,simple,477,477,2,3,0.0,0,0.0,0.0,0.043189038,0,0.00040617614,0.029189877,0.0,0.0
last_flow,lasso_recovery,simple,477,477,3,4,0.9544339,1,0.97825,0.97825,0.64447165,1,0.9648791,0.14206259,1.4648411,0.27663645
last_flow,lasso_recovery,simple,477,477,4,5,0.3995438,1,0.0,0.0,0.1420484,0,0.17566033,0.096590795,0.0,0.0
last_flow,lasso_recovery,simple,477,477,5,6,0.0,0,0.00025,0.00025,0.03343224,0,0.006282003,0.0244862,2.1188021e-05,0.0013400489
last_flow,lasso_recovery,simple,477,477,6,7,0.0,0,0.0,0.0,0.069353774,0,0.040281508,0.048575733,0.0,0.0
last_flow,lasso_recovery,simple,477,477,7,8,0.0,0,0.0,0.0,0.052623365,0,0.024631238,0.03246744,0.0,0.0
last_flow,lasso_recovery,simple,477,477,8,9,0.0,0,0.001,0.001,0.03070651,0,-0.0045860372,0.029361287,-0.00017887398,0.022642827
last_flow,lasso_recovery,simple,477,477,9,10,0.0,0,0.0,0.0,0.055457085,0,-0.0047442857,0.038510457,0.0,0.0
last_flow,lasso_recovery,simple,477,477,10,11,-1.2574542,1,0.9995,0.9995,0.7836064,1,-1.0908399,0.13905372,-1.3918877,0.14577812
last_flow,lasso_recovery,simple,477,477,11,12,0.0,0,0.0,0.0,0.11552107,0,-0.14128947,0.08473578,0.0,0.0
last_flow,lasso_recovery,simple,477,477,12,13,0.0,0,0.0,0.0,0.03967481,0,0.011313889,0.027085593,0.0,0.0
last_flow,lasso_recovery,simple,477,477,13,14,0.0,0,0.0,0.0,0.09967991,0,-0.09638835,0.075043075,0.0,0.0
last_flow,lasso_recovery,simple,477,477,14,15,0.0,0,0.0,0.0,0.062918566,0,-0.035682537,0.049440455,0.0,0.0
last_flow,lasso_recovery,simple,477,477,15,16,0.0,0,0.00025,0.00025,0.12944244,0,-0.11780673,0.08735903,-0.00026121372,0.016521286
