support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,softgate_mean,softgate_sd,softgate_q05,softgate_q25,softgate_q50,softgate_q75,softgate_q95,softgate_mean_j_q05,softgate_mean_j_q25,softgate_mean_j_q50,softgate_mean_j_q75,softgate_mean_j_q95,softgate_mean_j_sum,softgate_sd_j_median,softgate_sd_j_q90,gate_entropy_mean,gate_entropy_median,gate_entropy_q90,beta_abs_mean,beta_abs_median,beta_abs_q75,beta_abs_q90,beta_abs_q95,beta_mean_abs_j_median,beta_mean_abs_j_q90,beta_mean_abs_j_q95,beta_soft_sd_j_mean,beta_soft_sd_j_median,beta_soft_sd_j_q75,beta_soft_sd_j_q90,beta_soft_sd_j_q95,beta_l2_draw_mean,beta_l2_draw_sd,pip_hard_mean,pip_hard_q50,pip_hard_q75,pip_hard_q90,pip_hard_q95,expected_support_softgate,expected_support_hard,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,lasso_recovery_score,alert,best_so_far
"[31, 56]",2,1221.78100586,1221.78100586,7.78165958,21.90626335,4.68041273,3.46114016,-0.00800404,-9.5204792,9.5204792,0,0.0,0.0,0.0,0.0,49.56053925,0.69045669,0.04064744,0.03244591,0.0,0.49560538,0.03636741,0.43690696,0.47046846,0.49478751,0.52006197,0.55693913,0.49277058,0.49453187,0.49554557,0.49660873,0.49838087,49.56054306,0.03659771,0.03784475,0.69045663,0.69186914,0.69310164,0.0324459,0.02739412,0.0466789,0.06716141,0.08027823,0.00228526,0.00472379,0.00605551,0.04064744,0.0405228,0.04206737,0.04287855,0.04360199,0.4055782,0.0365654,0.44472656,0.4453125,0.4609375,0.4765625,0.48066404,49.56054306,44.47265625,0,0,True,1,1,0.8,1e-05,2396.24829102,7.78165958,10.74969738,False,True
"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 22, 23, 25, 26, 28, 29, 30, 31, 33, 34, 36, 38, 39, 41, 43, 44, 45, 46, 47, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 82, 84, 85, 86, 87, 88, 89, 90, 91, 93, 94, 95, 96, 97, 98, 99]",79,1108.61425781,1147.31347128,7.75614036,20.92088699,4.57393561,3.35333848,0.03733748,-7.89054966,7.89054966,77,0.97468354,0.04498149,0.09262441,-0.02551922,50.95275116,0.68990761,0.04445645,0.04204337,0.01442941,0.5095275,0.03903769,0.44521648,0.48307773,0.50940067,0.53625655,0.57424116,0.4928374,0.5027172,0.5125494,0.5165506,0.52097863,50.95275116,0.03789203,0.03999548,0.68990761,0.69167006,0.69309717,0.04204337,0.03583234,0.06077142,0.08612203,0.10181113,0.02776811,0.03172188,0.03325477,0.04445645,0.04460086,0.04590363,0.04766406,0.04819837,0.52229381,0.04498241,0.59574217,0.625,0.66894531,0.6953125,0.71503901,50.95275116,59.57421875,1,0,True,25,25,0.8,1e-05,2339.15942383,7.75754692,10.47406527,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",93,979.36230469,1027.36252435,7.78008811,19.54636192,4.42112677,3.23495364,0.10058546,-6.81885529,6.81885529,14,0.15053763,0.06570109,0.11658875,0.02394774,54.67681503,0.68435615,0.05072881,0.06764733,0.03741429,0.54676813,0.04668082,0.46547863,0.51607603,0.54916453,0.57975423,0.61931509,0.49601474,0.5389058,0.55796975,0.56467152,0.56873649,54.67681503,0.03993167,0.04251292,0.68435615,0.68774748,0.692927,0.06764733,0.06233674,0.0965139,0.12830867,0.14807688,0.06452095,0.07064704,0.07164135,0.05072881,0.05050457,0.05296575,0.05452739,0.05573576,0.8053453,0.06549117,0.83886719,0.9140625,0.94140625,0.953125,0.9609375,54.67681503,83.88671875,2,0,True,50,50,0.8,1e-05,2420.53369141,7.79174333,9.94464629,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",94,837.38500977,889.31704383,7.78742182,19.08152771,4.3682408,3.16596127,0.12197454,-6.45441294,6.45441294,1,0.0106383,0.02378111,0.14496912,0.00733372,59.85148239,0.66599905,0.05969137,0.10999539,0.05177602,0.59851485,0.06050652,0.48424509,0.56194538,0.60686994,0.64234525,0.68399841,0.49997827,0.5862903,0.62299562,0.62895852,0.63434672,59.85147858,0.04088019,0.04378423,0.66599905,0.67005891,0.69169098,0.10999539,0.10724922,0.15041487,0.19020668,0.21474795,0.11448981,0.1299347,0.13110715,0.05969137,0.06019467,0.0639652,0.06617763,0.06717245,1.25139248,0.09044465,0.92374998,0.99804688,1.0,1.0,1.0,59.85147858,92.375,3,0,True,75,75,0.8,1e-05,2379.01342773,7.77444115,9.15083746,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",97,676.24523926,733.49059278,7.606972,18.92284584,4.35003975,3.0801301,0.12927619,-6.32640457,6.32640457,3,0.03092784,0.00831599,0.19243212,-0.18044982,66.25856018,0.62365907,0.07388357,0.18053436,0.06411373,0.66258562,0.08430173,0.49023038,0.62081069,0.68405557,0.72224176,0.76795703,0.51465303,0.64644182,0.70080447,0.70989203,0.71462458,66.25856018,0.04362003,0.05014738,0.62365907,0.62377125,0.68961865,0.18053436,0.17895764,0.24313527,0.3016718,0.33733711,0.19788048,0.24226597,0.24500912,0.07388358,0.07689507,0.08146706,0.08436014,0.08598752,2.021631,0.14071174,0.93933594,1.0,1.0,1.0,1.0,66.25856018,93.93359375,4,0,True,100,100,0.8,1e-05,1721.36193848,7.45087108,7.90338137,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",96,571.41217041,605.23542109,7.02844699,18.55402184,4.30743797,3.09709287,0.14624741,-5.17775536,5.17775536,-1,0.03061224,0.01949094,0.15502227,-0.57852501,70.88559723,0.57728648,0.08783875,0.25015953,0.04878165,0.70885599,0.10535771,0.48537526,0.66524893,0.74440825,0.78307694,0.8237412,0.50877476,0.67634892,0.75698161,0.77258152,0.78919953,70.88559723,0.03942637,0.05133215,0.57728648,0.56839108,0.68878454,0.25015953,0.23558219,0.35307384,0.45609701,0.51298809,0.24370153,0.42582443,0.44257471,0.08783875,0.08611258,0.0990859,0.10698271,0.1144362,2.9060688,0.1801167,0.93410158,1.0,1.0,1.0,1.0,70.88559723,93.41015625,5,0,True,125,125,0.8,1e-05,924.26092529,6.82899442,6.40617832,False,True
"[0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 36, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 82, 84, 85, 86, 87, 88, 89, 90, 91, 93, 94, 95, 96, 97, 98, 99]",84,503.37399292,526.0039452,6.46714559,17.67179108,4.20378295,3.22363043,0.18684275,-4.73553371,4.73553371,-12,0.125,0.0475493,0.11907023,-0.56130141,67.26186371,0.59730822,0.08919991,0.25778532,0.0384634,0.67261863,0.12531018,0.415205,0.6132313,0.71100855,0.76255465,0.81911284,0.43910572,0.62092394,0.71982527,0.74856937,0.79129231,67.26187134,0.04425086,0.05473143,0.59730822,0.60112476,0.68853045,0.25778532,0.21407509,0.36788732,0.54114884,0.63546944,0.19781527,0.52545744,0.56879103,0.08919991,0.08605516,0.09693275,0.11998146,0.12540619,3.20988226,0.18037571,0.85500002,1.0,1.0,1.0,1.0,67.26187134,85.5,6,0,True,150,150,0.8,1e-05,520.54901123,6.25488405,5.21828472,False,True
"[0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 33, 34, 36, 38, 39, 41, 42, 43, 44, 45, 46, 47, 50, 51, 52, 53, 54, 55, 57, 58, 60, 62, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 82, 84, 85, 86, 87, 89, 91, 93, 94, 95, 96, 97, 98, 99]",78,456.33166504,472.81461043,6.02380673,13.72188282,3.70430598,2.99595618,0.3685955,-3.69315696,3.69315696,-6,0.07142857,0.22351488,0.09345403,-0.44333885,61.54139328,0.62176347,0.09004933,0.25713795,0.05899398,0.6154139,0.14410615,0.33104327,0.53238511,0.65021718,0.71647239,0.80828625,0.35264966,0.54469281,0.6625222,0.69520068,0.77127045,61.54138947,0.05313849,0.05799519,0.62176341,0.63799953,0.68838733,0.25713795,0.18868828,0.3597095,0.58197129,0.72411603,0.17638536,0.54771596,0.6852718,0.09004933,0.08692386,0.0978566,0.12018953,0.13462308,3.44617367,0.23385735,0.78511721,0.99609375,1.0,1.0,1.0,61.54138947,78.51171875,7,0,True,175,175,0.8,1e-05,393.72494507,5.97565256,4.17271538,False,True
"[0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 23, 25, 26, 28, 29, 30, 31, 33, 34, 36, 38, 39, 41, 42, 43, 44, 45, 46, 47, 50, 52, 53, 54, 55, 57, 60, 62, 66, 67, 69, 70, 71, 72, 73, 74, 76, 77, 78, 79, 80, 82, 84, 85, 86, 87, 89, 91, 93, 94, 95, 96, 97, 99]",70,420.43450928,433.16486216,5.88448327,8.61891556,2.93579896,2.37722301,0.60340558,-2.79768014,2.79768014,-8,0.1025641,0.37188535,0.07866462,-0.13932346,54.47266769,0.63862681,0.0875706,0.24656257,0.0717965,0.54472661,0.15484317,0.26362994,0.44327182,0.5660575,0.65064979,0.78183281,0.29913592,0.45298862,0.58139908,0.62782335,0.73609179,54.47266388,0.06112805,0.06629233,0.63862675,0.66270185,0.69179219,0.24656254,0.16831118,0.33011195,0.56128597,0.75134718,0.15971075,0.54594332,0.76997185,0.0875706,0.0825342,0.09717055,0.11477447,0.12917042,3.50394988,0.22917432,0.66019529,0.89453125,0.98144531,1.0,1.0,54.47266388,66.01953125,8,0,True,200,200,0.8,1e-05,326.83691406,5.78946131,3.41152934,False,True
"[0, 1, 2, 3, 8, 9, 11, 13, 15, 18, 20, 23, 26, 28, 30, 34, 36, 38, 41, 43, 46, 47, 50, 53, 54, 55, 62, 69, 70, 71, 73, 74, 76, 78, 79, 80, 84, 85, 89, 91, 93, 94, 95, 96, 97, 99]",46,386.65328979,398.42300658,5.84720915,5.41534615,2.32708963,1.93986738,0.75081598,-2.24784756,2.24784756,-24,0.34285714,0.37169054,0.08034835,-0.03727412,47.66112518,0.63355666,0.0884508,0.2395287,0.06897421,0.47661126,0.16582848,0.20585653,0.36070845,0.47900376,0.58195215,0.76677245,0.24580102,0.38124272,0.48826683,0.55652571,0.73381013,47.66112137,0.07536428,0.08135008,0.63355666,0.66942012,0.69241571,0.23952873,0.1538648,0.30622557,0.53778964,0.78658164,0.14844604,0.5311532,0.77789444,0.08845081,0.0835609,0.09622469,0.11198547,0.14158802,3.58498621,0.26154768,0.44539061,0.44140625,0.76464844,0.97265625,1.0,47.66112137,44.5390625,9,0,True,225,225,0.8,1e-05,367.72891235,5.90734602,2.76327745,False,True
