method,mode,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,pip_hard,softgate,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,recovery,simple,434,434,0,1,0.0,0,0.0,0.0,0.14718083,0,0.05677934,0.05021334,0.0,0.0
last_flow,recovery,simple,434,434,1,2,0.0,0,0.0,0.0,0.115636334,0,-0.004177369,0.03428143,0.0,0.0
last_flow,recovery,simple,434,434,2,3,0.0,0,0.0165,0.0165,0.03464745,0,-0.008177603,0.038986955,-0.00441401,0.047581453
last_flow,recovery,simple,434,434,3,4,0.0,0,0.02875,0.02875,0.3099516,0,0.21804877,0.09299028,0.019779067,0.12048316
last_flow,recovery,simple,434,434,4,5,0.0,0,0.0,0.0,0.16214699,0,-0.10728208,0.060245715,0.0,0.0
last_flow,recovery,simple,434,434,5,6,0.0,0,0.0,0.0,0.15491816,0,-0.12777513,0.06181993,0.0,0.0
last_flow,recovery,simple,434,434,6,7,0.0,0,0.0,0.0,0.11889912,0,0.020886993,0.036767162,0.0,0.0
last_flow,recovery,simple,434,434,7,8,0.0,0,0.0,0.0,0.11677854,0,0.012156271,0.035658162,0.0,0.0
last_flow,recovery,simple,434,434,8,9,-1.54465,1,1.0,1.0,0.8374806,1,-1.4948832,0.15839326,-1.784834,0.15878049
last_flow,recovery,simple,434,434,9,10,0.0,0,0.004,0.004,0.07189248,0,-0.02963962,0.057656296,-0.0014306756,0.028429266
last_flow,recovery,simple,434,434,10,11,0.0,0,0.02575,0.02575,0.05220111,0,0.0002931733,0.02171027,0.00018172205,0.02379093
last_flow,recovery,simple,434,434,11,12,0.0,0,0.0,0.0,0.14852832,0,-0.057103276,0.050755326,0.0,0.0
last_flow,recovery,simple,434,434,12,13,0.5352274,1,0.0,0.0,0.26498744,0,0.49270934,0.11473794,0.0,0.0
last_flow,recovery,simple,434,434,13,14,0.0,0,0.0005,0.0005,0.05711816,0,0.025738712,0.047083713,0.00039148785,0.018026436
