method,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,selected,effect_mean,effect_sd,effect_hard_mean,effect_hard_sd
last_flow,simple,446,446,0,1,0.0,0,0.0,0,-0.19097653,0.0041922443,0.0,0.0
last_flow,simple,446,446,1,2,0.0,0,0.0,0,-0.27057257,0.002577636,0.0,0.0
last_flow,simple,446,446,2,3,0.0,0,0.0,0,-0.09908041,0.0022222197,0.0,0.0
last_flow,simple,446,446,3,4,0.0,0,0.0,0,-0.24460371,0.0033788919,0.0,0.0
last_flow,simple,446,446,4,5,0.0,0,0.0,0,1.48636445e-08,3.8532505e-08,0.0,0.0
last_flow,simple,446,446,5,6,0.0,0,0.0,0,-5.628558e-22,3.3709284e-20,0.0,0.0
last_flow,simple,446,446,6,7,0.0,0,0.0,0,-3.913882e-08,1.2716703e-07,0.0,0.0
last_flow,simple,446,446,7,8,0.0,0,0.0,0,-0.11819923,0.0028377739,0.0,0.0
last_flow,simple,446,446,8,9,0.0,0,0.0,0,-0.054707676,0.00095786434,0.0,0.0
last_flow,simple,446,446,9,10,-1.8004934,1,1.0,1,-1.7338187,0.0053187534,-1.7338187,0.0053187534
last_flow,simple,446,446,10,11,0.0,0,0.0,0,-0.29614717,0.004450326,0.0,0.0
last_flow,simple,446,446,11,12,0.0,0,0.0,0,0.58961904,0.0046198154,0.0,0.0
last_flow,simple,446,446,12,13,0.0,0,0.0,0,-0.18678348,0.0016332881,0.0,0.0
last_flow,simple,446,446,13,14,0.0,0,0.0,0,9.3489625e-09,4.4680757e-08,0.0,0.0
last_flow,simple,446,446,14,15,0.0,0,0.0,0,-0.14702868,0.0016491316,0.0,0.0
last_flow,simple,446,446,15,16,0.0,0,0.0,0,0.52091247,0.0039168745,0.0,0.0
last_flow,simple,446,446,16,17,0.0,0,0.0,0,-1.2838449e-07,1.9735528e-07,0.0,0.0
last_flow,simple,446,446,17,18,0.0,0,0.0,0,0.3459829,0.0033521801,0.0,0.0
last_flow,simple,446,446,18,19,0.0,0,0.0,0,5.138736e-16,2.2108055e-14,0.0,0.0
last_flow,simple,446,446,19,20,0.0,0,0.0,0,1.8592706e-17,1.2724065e-14,0.0,0.0
last_flow,simple,446,446,20,21,1.6023346,1,1.0,1,1.7317399,0.00531384,1.7317399,0.00531384
last_flow,simple,446,446,21,22,0.0,0,0.0,0,0.1089576,0.002993415,0.0,0.0
last_flow,simple,446,446,22,23,0.0,0,0.0,0,-0.048867777,0.0026747643,0.0,0.0
last_flow,simple,446,446,23,24,0.0,0,0.0,0,1.3320118e-31,0.0,0.0,0.0
last_flow,simple,446,446,24,25,0.0,0,0.0,0,1.2490545e-22,7.096073e-21,0.0,0.0
last_flow,simple,446,446,25,26,0.0,0,0.0,0,-9.888792e-09,8.116835e-09,0.0,0.0
last_flow,simple,446,446,26,27,0.0,0,0.0,0,9.9179e-09,1.1966285e-08,0.0,0.0
last_flow,simple,446,446,27,28,0.0,0,0.0,0,0.009027428,0.002452496,0.0,0.0
last_flow,simple,446,446,28,29,0.0,0,0.0,0,0.18126406,0.0018983354,0.0,0.0
last_flow,simple,446,446,29,30,-0.78545994,1,1.0,1,-0.89420766,0.0030268037,-0.89420766,0.0030268037
last_flow,simple,446,446,30,31,0.0,0,0.0,0,-0.21617275,0.003198593,0.0,0.0
last_flow,simple,446,446,31,32,1.2678288,1,1.0,1,1.2826325,0.0036690545,1.2826325,0.0036690545
last_flow,simple,446,446,32,33,0.0,0,0.0,0,0.12567504,0.0012318268,0.0,0.0
last_flow,simple,446,446,33,34,0.0,0,0.0,0,-0.08840778,0.0021183342,0.0,0.0
last_flow,simple,446,446,34,35,0.0,0,0.0,0,0.10067197,0.0014563863,0.0,0.0
last_flow,simple,446,446,35,36,0.0,0,0.0,0,0.097695634,0.0032312553,0.0,0.0
last_flow,simple,446,446,36,37,0.0,0,0.0,0,-3.5970847e-14,7.219168e-13,0.0,0.0
last_flow,simple,446,446,37,38,0.0,0,0.0,0,-0.19915882,0.002065275,0.0,0.0
last_flow,simple,446,446,38,39,0.0,0,0.0,0,0.17253634,0.002304123,0.0,0.0
last_flow,simple,446,446,39,40,-1.5303003,1,1.0,1,-1.3042206,0.004603655,-1.3042206,0.004603655
last_flow,simple,446,446,40,41,-0.31446216,1,0.0,0,-0.09407826,0.0018556287,0.0,0.0
last_flow,simple,446,446,41,42,0.0,0,0.0,0,-2.9634503e-10,4.0780315e-10,0.0,0.0
last_flow,simple,446,446,42,43,0.0,0,0.0,0,-0.291939,0.002939348,0.0,0.0
last_flow,simple,446,446,43,44,0.0,0,0.0,0,0.14224093,0.0020961124,0.0,0.0
last_flow,simple,446,446,44,45,0.55695826,1,1.0,1,0.6342858,0.0046000765,0.6342858,0.0046000765
last_flow,simple,446,446,45,46,0.0,0,0.0,0,0.10891012,0.002177201,0.0,0.0
last_flow,simple,446,446,46,47,0.0,0,0.0,0,0.07868579,0.0015997313,0.0,0.0
last_flow,simple,446,446,47,48,0.0,0,0.0,0,0.36259457,0.0030224004,0.0,0.0
