"method","setting","seed","replicate_id","j0","j1","beta_true","truth","pip","selected","effect_mean"
"mcmc","simple",432,432,0,1,-0.49707296,1,0.585375,1,-0.527145991985384
"mcmc","simple",432,432,1,2,0,0,0,0,-0.00572295159021407
"mcmc","simple",432,432,2,3,0,0,0,0,0.00582884433573244
"mcmc","simple",432,432,3,4,0,0,0,0,-0.0111740825394253
"mcmc","simple",432,432,4,5,0,0,0,0,-0.00184307124377778
"mcmc","simple",432,432,5,6,0,0,0,0,0.00171254680752001
"mcmc","simple",432,432,6,7,0,0,0,0,0.000211529773767127
"mcmc","simple",432,432,7,8,0,0,0.013875,0,-0.144762708566351
"mcmc","simple",432,432,8,9,0,0,0,0,0.00187502232033357
"mcmc","simple",432,432,9,10,0,0,0.000125,0,-0.0132969022010225
"mcmc","simple",432,432,10,11,0,0,0,0,-0.00264374401795603
"mcmc","simple",432,432,11,12,0,0,0.001125,0,0.0312509642376646
"mcmc","simple",432,432,12,13,0,0,0.034875,0,-0.167601309787332
"mcmc","simple",432,432,13,14,0,0,0.00025,0,0.0429232748168478
"mcmc","simple",432,432,14,15,0,0,0,0,-0.00760697705860666
"mcmc","simple",432,432,15,16,0,0,0,0,-0.000930812935512462
"mcmc","simple",432,432,16,17,0,0,0,0,-0.00793206502068802
"mcmc","simple",432,432,17,18,0,0,0,0,-0.0111550440262443
"mcmc","simple",432,432,18,19,0,0,0,0,0.00487534002229364
"mcmc","simple",432,432,19,20,0,0,0.000875,0,-0.0354670934123806
"mcmc","simple",432,432,20,21,0,0,0,0,0.00605380184833755
"mcmc","simple",432,432,21,22,0,0,0.000125,0,0.00779899195687971
"mcmc","simple",432,432,22,23,-1.6887474,1,1,1,-1.65430990891215
"mcmc","simple",432,432,23,24,0,0,0,0,0.00335894095972205
"mcmc","simple",432,432,24,25,0,0,0,0,0.00148098604157913
"mcmc","simple",432,432,25,26,0,0,0,0,-9.5875493204813e-07
"mcmc","simple",432,432,26,27,0,0,0,0,0.0112029345059016
"mcmc","simple",432,432,27,28,0,0,0,0,0.00900506036154859
"mcmc","simple",432,432,28,29,0,0,0,0,0.00803548715240988
"mcmc","simple",432,432,29,30,0,0,0,0,0.0102858971195219
"mcmc","simple",432,432,30,31,0,0,0,0,0.002856230293557
"mcmc","simple",432,432,31,32,0,0,0.0055,0,0.0447215545463169
"mcmc","simple",432,432,32,33,0,0,0,0,-0.00825406936291958
"mcmc","simple",432,432,33,34,0.5207071,1,0.3175,0,0.427210014393928
"mcmc","simple",432,432,34,35,-1.821086,1,1,1,-1.66327548960447
"mcmc","simple",432,432,35,36,0,0,0,0,0.00355313886691736
"mcmc","simple",432,432,36,37,-1.624276,1,1,1,-1.80633249674901
"mcmc","simple",432,432,37,38,0,0,0,0,-0.00125548586728671
"mcmc","simple",432,432,38,39,0,0,0.00025,0,0.0246129840370696
"mcmc","simple",432,432,39,40,0,0,0,0,-0.0108902621559156
"mcmc","simple",432,432,40,41,0,0,0,0,0.00099523274665161
"mcmc","simple",432,432,41,42,0,0,0,0,0.0126956209269548
"mcmc","simple",432,432,42,43,0,0,0.000125,0,-0.0185716042432004
"mcmc","simple",432,432,43,44,-1.8718247,1,1,1,-1.73913195278592
"mcmc","simple",432,432,44,45,0,0,0,0,-0.00709721087416299
"mcmc","simple",432,432,45,46,0,0,0,0,-0.00235011450633177
"mcmc","simple",432,432,46,47,0,0,0,0,0.00062650906809974
"mcmc","simple",432,432,47,48,0,0,0,0,0.000603956865344776
"mcmc","simple",432,432,48,49,0,0,0,0,0.00220303646949177
"mcmc","simple",432,432,49,50,0,0,0,0,0.00646527081282612
"mcmc","simple",432,432,50,51,0,0,0.000125,0,-0.0122956536945042
"mcmc","simple",432,432,51,52,0,0,0.00025,0,0.0136435024664257
"mcmc","simple",432,432,52,53,0,0,0,0,-0.00384736580767233
"mcmc","simple",432,432,53,54,0,0,0,0,0.00188897453495615
"mcmc","simple",432,432,54,55,0,0,0,0,0.00605130731962249
"mcmc","simple",432,432,55,56,0,0,0,0,-0.00204491988480757
"mcmc","simple",432,432,56,57,0,0,0,0,0.0130159521672898
"mcmc","simple",432,432,57,58,0,0,0,0,-0.00946449186696896
"mcmc","simple",432,432,58,59,0,0,0,0,0.000595517146076984
