method,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,selected,effect_mean
last_flow,simple,475,475,0,1,0.0,0,0.0,0,0.0
last_flow,simple,475,475,1,2,0.0,0,0.0,0,0.0
last_flow,simple,475,475,2,3,0.0,0,0.0,0,0.0
last_flow,simple,475,475,3,4,0.0,0,0.0,0,0.0
last_flow,simple,475,475,4,5,0.0,0,0.0,0,0.0
last_flow,simple,475,475,5,6,0.0,0,0.0,0,0.0
last_flow,simple,475,475,6,7,0.0,0,0.0,0,0.0
last_flow,simple,475,475,7,8,0.0,0,0.0,0,0.0
last_flow,simple,475,475,8,9,0.0,0,0.0,0,0.0
last_flow,simple,475,475,9,10,0.0,0,0.0,0,0.0
last_flow,simple,475,475,10,11,1.8933034,1,1.0,1,1.8136253
last_flow,simple,475,475,11,12,0.0,0,0.0,0,0.0
last_flow,simple,475,475,12,13,0.0,0,0.0,0,0.0
last_flow,simple,475,475,13,14,0.0,0,0.0,0,0.0
last_flow,simple,475,475,14,15,0.0,0,0.0,0,0.0
last_flow,simple,475,475,15,16,0.0,0,0.0,0,0.0
last_flow,simple,475,475,16,17,0.4994622,1,1.0,1,0.563024
last_flow,simple,475,475,17,18,0.0,0,0.0,0,0.0
last_flow,simple,475,475,18,19,-0.57444865,1,1.0,1,-0.8343042
last_flow,simple,475,475,19,20,0.0,0,0.0,0,0.0
last_flow,simple,475,475,20,21,0.0,0,0.0,0,0.0
last_flow,simple,475,475,21,22,0.0,0,0.0,0,0.0
last_flow,simple,475,475,22,23,0.0,0,0.0,0,0.0
last_flow,simple,475,475,23,24,0.0,0,0.0,0,0.0
last_flow,simple,475,475,24,25,0.0,0,0.0,0,0.0
last_flow,simple,475,475,25,26,0.0,0,0.0,0,0.0
last_flow,simple,475,475,26,27,0.0,0,0.0,0,0.0
last_flow,simple,475,475,27,28,0.0,0,0.0,0,0.0
last_flow,simple,475,475,28,29,0.0,0,0.0,0,0.0
last_flow,simple,475,475,29,30,0.0,0,0.0,0,0.0
last_flow,simple,475,475,30,31,0.0,0,0.0,0,0.0
last_flow,simple,475,475,31,32,0.85268825,1,1.0,1,0.42968434
last_flow,simple,475,475,32,33,0.0,0,0.0,0,0.0
last_flow,simple,475,475,33,34,0.0,0,0.0,0,0.0
last_flow,simple,475,475,34,35,0.0,0,0.0,0,0.0
last_flow,simple,475,475,35,36,0.0,0,0.0,0,0.0
last_flow,simple,475,475,36,37,0.0,0,0.0,0,0.0
last_flow,simple,475,475,37,38,0.0,0,0.0,0,0.0
last_flow,simple,475,475,38,39,0.0,0,0.0,0,0.0
last_flow,simple,475,475,39,40,0.0,0,0.0,0,0.0
last_flow,simple,475,475,40,41,0.0,0,0.0,0,0.0
last_flow,simple,475,475,41,42,0.0,0,0.0,0,0.0
last_flow,simple,475,475,42,43,1.7817353,1,1.0,1,1.6227872
