figure,config_id,seed,j0,k0,j1,k1,score_name,score,joint_skl,corr_absdiff,beta_skl,mean_zerr,sd_logerr,softgate_absdiff,softgate_last,pip_mcmc
fig1_true_active_joint_density,E07,400,49,12,50,13,pair_score,0.33127859689273403,0.0553937910504384,0.10731983039674046,,,,,,
fig2_true_active_marginal_density,E01,400,49,,50,,moment_score,0.009610620510715812,,,0.0025637813171274556,0.00030748196399548805,0.009303138546720324,,,
fig3_true_zero_beta_density,E02,498,35,,36,,zero_beta_score,0.005469018060632923,,,,,,0.002045757551951471,,
fig4_softgate_recovery_true_nonzero,E04,434,66,,67,,softgate_absdiff,0.0003596127150000683,,,,,,,0.9996403872849999,1.0
fig4_softgate_recovery_true_nonzero,E01,434,66,,67,,softgate_absdiff,0.0004358343300000511,,,,,,,0.99956416567,1.0
fig4_softgate_recovery_true_nonzero,E02,434,66,,67,,softgate_absdiff,0.0005239885349999085,,,,,,,0.9994760114650001,1.0
fig4_softgate_recovery_true_nonzero,E03,434,66,,67,,softgate_absdiff,0.0006132091900000747,,,,,,,0.9993867908099999,1.0
fig4_softgate_recovery_true_nonzero,E04,451,19,,20,,softgate_absdiff,0.0011693511324999406,,,,,,,0.9988306488675001,1.0
fig4_softgate_recovery_true_zero,E06,498,35,,36,,softgate_absdiff,0.000428566476086199,,,,,,,0.000428566476086199,0.0
fig4_softgate_recovery_true_zero,E08,498,35,,36,,softgate_absdiff,0.00043036358843804564,,,,,,,0.00043036358843804564,0.0
fig4_softgate_recovery_true_zero,E07,498,35,,36,,softgate_absdiff,0.00046137979765547513,,,,,,,0.00046137979765547513,0.0
fig4_softgate_recovery_true_zero,E05,498,35,,36,,softgate_absdiff,0.0010737879709412526,,,,,,,0.0010737879709412526,0.0
fig4_softgate_recovery_true_zero,E02,498,35,,36,,softgate_absdiff,0.002045757551951471,,,,,,,0.002045757551951471,0.0
