seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_last_j,pip_last_k,pip_mcmc_j,pip_mcmc_k,slab_skl_j,slab_skl_k,joint_skl
437,true_active_true_active,94,22,95,23,0.6793053,1.6355811,1.0,1.0,0.977625,1.0,15.106047693286458,15.596932539535024,2.1706998287416672
488,true_active_true_active,82,45,83,46,1.2903137,1.2158521,1.0,1.0,1.0,1.0,15.785324550631097,16.255601787134992,2.1719509413408624
488,true_active_true_active,21,85,22,86,-1.1755747,1.1853541,1.0,1.0,1.0,1.0,15.160551350226424,15.976952750102575,2.215979258979502
437,true_active_true_active,68,94,69,95,1.0165913,0.6793053,1.0,1.0,0.989,0.977625,14.72603306568025,15.106047693286458,2.2177023550085977
408,true_active_true_active,56,64,57,65,-0.670891,-0.87048876,1.0,1.0,0.88225,0.998125,14.983709061612247,17.58729472154457,2.2829500012854074
416,true_active_true_active,67,72,68,73,-0.6668717,-0.9159119,1.0,1.0,0.75425,1.0,14.790028522089955,15.076755782495738,2.3523932721624674
494,true_active_true_active,65,91,66,92,-1.4440371,0.7603268,1.0,1.0,1.0,0.98175,13.875840564184744,15.011933831778864,2.396349494170138
488,true_active_true_active,82,85,83,86,1.2903137,1.1853541,1.0,1.0,1.0,1.0,15.785324550631097,15.976952750102575,2.400170846716103
488,true_active_true_active,82,81,83,82,1.2903137,-1.7968203,1.0,1.0,1.0,1.0,15.785324550631097,17.092128894410234,2.420946638232322
488,true_active_true_active,82,31,83,32,1.2903137,1.4696031,1.0,1.0,1.0,1.0,15.785324550631097,16.468508207772526,2.462405067873026
471,true_active_true_active,93,24,94,25,-0.85275465,-1.1369838,1.0,1.0,0.997125,1.0,15.225985447054237,15.488770736483824,2.580292805757529
471,true_active_true_active,31,93,32,94,-0.88091964,-0.85275465,1.0,1.0,0.93575,0.997125,14.902909358263788,15.225985447054237,2.6181358172169342
488,true_active_true_active,21,82,22,83,-1.1755747,1.2903137,1.0,1.0,1.0,1.0,15.160551350226424,15.785324550631097,2.6440442003383167
487,true_active_true_active,73,17,74,18,0.7756385,-0.6203088,1.0,1.0,0.997125,0.6045,15.888227327313706,16.19008423551101,2.835280669747049
453,true_active_true_active,82,86,83,87,-0.9723837,-1.4841617,1.0,1.0,1.0,1.0,16.165145397300545,17.83245648087022,2.89546328582794
408,true_active_true_active,98,56,99,57,1.9127322,-0.670891,1.0,1.0,1.0,0.88225,14.335444200051434,14.983709061612247,5.065419431556474
487,true_active_true_active,33,73,34,74,-1.4196332,0.7756385,1.0,1.0,1.0,0.997125,14.699956415202031,15.888227327313706,5.565681443493713
427,true_active_true_active,28,59,29,60,-1.121139,-1.2999698,1.0,1.0,1.0,1.0,14.875784924381538,15.39349900042781,6.044399399133655
482,true_active_true_active,79,6,80,7,0.72187454,-0.5317239,1.0,1.0,0.99025,0.939375,14.235437092063297,14.63188459983604,6.394845895089485
450,true_active_true_active,34,79,35,80,-0.91034126,-1.5883453,1.0,1.0,0.9995,1.0,14.320844110405403,17.534300117855572,6.677042491689456
