seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
461,active_zero,51,23,52,24,0.97236407,0.0,0.0,0.0,0.13129342089003898,0.00305548865896924,0.010815323546545678,0.001065866731379816,0.4252999867640801,0.5597093740797904
461,active_zero,51,14,52,15,0.97236407,0.0,0.0,0.0,0.1330251431560054,0.0030716296035428457,0.0108250204737774,0.025373447350413345,0.4328475448349176,0.571423450804763
461,active_zero,51,67,52,68,0.97236407,0.0,0.0,0.0,0.1654290247282559,0.013468530099509785,0.011125060251656157,0.01290283837232735,0.4018292100881432,0.5726766367264968
461,active_zero,51,13,52,14,0.97236407,0.0,0.0,0.0,0.13937473158930966,0.0049268558229510675,0.010846744324893047,0.004059440753820803,0.43818292730781305,0.5811679746360232
461,active_zero,51,60,52,61,0.97236407,0.0,0.0,0.0,0.15419347572377884,0.008485745130644574,0.011010530198592817,0.01246808599689695,0.4249583121508186,0.5839998035369998
461,active_zero,51,93,52,94,0.97236407,0.0,0.0,0.0,0.1324818419530806,0.0030062226289809717,0.010823503062877165,0.05925443113336904,0.4450264285906296,0.5864402116856645
461,active_zero,51,97,52,98,0.97236407,0.0,0.0,0.0,0.1507161881655638,0.008740804173717798,0.01093504972340908,0.02166113226808778,0.4323395356284889,0.5888296798690856
461,active_zero,51,91,52,92,0.97236407,0.0,0.0,0.000125,0.1810645023076823,0.018848185165526284,0.01148053113825479,0.07146343348031425,0.39884622719211005,0.5918120241489402
461,active_zero,51,68,52,69,0.97236407,0.0,0.0,0.0,0.1520779593838456,0.008601675505033223,0.010950577138936381,0.030656804390051143,0.4434778904961001,0.6022193421541883
461,active_zero,51,76,52,77,0.97236407,0.0,0.0,0.000125,0.13617449554533395,0.0038487071381614517,0.010835271388682902,0.0326988611028175,0.4613683051294404,0.6039063753460429
461,active_zero,51,89,52,90,0.97236407,0.0,0.0,0.0,0.15084481343644235,0.009074629598467658,0.010920745439245165,0.014936816321871724,0.45019108669160646,0.606167231079894
461,active_zero,51,10,52,11,0.97236407,0.0,0.0,0.0,0.13534603815682855,0.003184457386520015,0.010841343151750085,0.04047151031455013,0.4651816148558726,0.6076035855707458
477,active_zero,40,97,41,98,-0.908612,0.0,0.001375000000000015,0.0,0.16483869998428807,0.040634555046623624,0.0011232699640683983,0.025194107651251595,0.43606154139940523,0.6077639251444978
461,active_zero,51,46,52,47,0.97236407,0.0,0.0,0.0,0.13497933145980226,0.003020496399690461,0.010841071748039437,0.021921058596438555,0.4699096048192537,0.6100933597156787
461,active_zero,51,32,52,33,0.97236407,0.0,0.0,0.0,0.1413382490905807,0.005519317326275678,0.010855970448595256,0.008562241366693722,0.4683416397684945,0.613802037340521
461,active_zero,51,78,52,79,0.97236407,0.0,0.0,0.0,0.14309333053671877,0.006608590460583322,0.010858438980494215,0.010522211673205835,0.4703727000771195,0.6178937205723408
477,active_zero,40,87,41,88,-0.908612,0.0,0.001375000000000015,0.0,0.1681355700911101,0.040652914925994224,0.0013331438410853576,0.05277941912096503,0.44099008046181043,0.6188021699178878
469,active_zero,91,86,92,87,-1.8128237,0.0,0.009499999999999953,0.0,0.1971439803716625,0.0487263588830982,0.021081987485394967,0.019944429888732615,0.41171866284090164,0.6210002189610959
461,active_zero,51,63,52,64,0.97236407,0.0,0.0,0.0,0.13327956841204955,0.003527397178643373,0.010822240738740637,0.08832282359163232,0.4773834484067111,0.6225535990804734
498,active_zero,22,77,23,78,-1.7635272,0.0,0.0014999999999999458,0.0,0.1447265787205278,0.006031999096477425,0.00944050059128811,0.012731413265594026,0.47743423608381486,0.6263972811883719
