seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,selected_last,selected_mcmc,mean_last,mean_mcmc,mean_absdiff,sd_last,sd_mcmc,sd_absdiff,q_mae,q_rmse,tp_both,tn_both,var_score
491,21,22,0.0,0,0.0,0.0,0.0,0,0,5.666125821486112e-08,-0.00336692432808199,0.0033669809893402047,1.3712056836840353e-07,0.032150453160202055,0.03215031603963369,0.005296053165149716,0.02299564572415154,False,True,0.024738192174306766
456,14,15,0.0,0,0.0,0.0,0.0,0,0,1.4240561063540638e-19,0.002134532829752452,0.002134532829752452,2.350276617800557e-18,0.028111500873100673,0.02811150087310067,0.0046658921614256355,0.019572813878129047,False,True,0.02085617542772842
455,91,92,0.0,0,0.0,0.0,0.0,0,0,0.156972119745,0.001313457753334783,0.15565866199166523,0.0014150185138450898,0.026702313957056613,0.025287295443211524,0.15577065864566417,0.15663478370514425,False,True,0.3240729683589352
455,92,93,0.0,0,0.0,0.0,0.0,0,0,-0.0439075787545,0.008337808178521236,0.052245386933021234,0.0021612250776073135,0.04219848091009863,0.04003725583249132,0.05149032819267227,0.06116275965755028,False,True,0.12375434304193916
455,94,95,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0058171130371780285,0.0058171130371780285,0.0,0.03329070775952195,0.03329070775952195,0.0061129609546553085,0.026387843946847515,False,True,0.02857542787159431
455,96,97,0.0,0,0.0,0.0,0.0,0,0,0.2406018025,0.004064438378647749,0.23653736412135223,0.0021586718290967327,0.030292273098476662,0.02813360126937993,0.23703843747696232,0.23796281830719782,False,True,0.48764260223300454
455,98,99,0.0,0,0.0,0.0,0.0,0,0,0.1312142447425,0.0010861013228357587,0.13012814341966425,0.002008760740836893,0.023806159413232504,0.02179739867239561,0.1304219973278502,0.1311662630981271,False,True,0.2714488400837123
491,10,11,0.0,0,0.0,0.0,0.0,0,0,0.428568187285,0.0020521923555247286,0.4265159949294753,0.0030986451447498143,0.03242145401976356,0.029322808875013748,0.4268311445583267,0.4273826776012084,False,True,0.8680085439253089
491,13,14,0.0,0,0.0,0.0,0.0,0,0,9.766001091871361e-25,0.0033769502310217847,0.0033769502310217847,4.8409876470469365e-23,0.031075800443253362,0.031075800443253362,0.005246014161986754,0.022162562115679484,False,True,0.024160864614635222
491,14,15,0.0,0,0.0,0.0,0.0,0,0,0.18906342207750002,-0.0006869590634419027,0.18975038114094192,0.001518126707603632,0.028689891699426026,0.027171764991822393,0.18962293862776966,0.1905037311395295,False,True,0.3929592022646228
491,15,16,0.0,0,0.0,0.0,0.0,0,0,0.16655722767,0.0016248166591362908,0.1649324110108637,0.0013387285459212734,0.02929464075407255,0.027955912208151277,0.16516588072337093,0.16614332463930126,False,True,0.3440762478383103
491,17,18,0.0,0,0.0,0.0,0.0,0,0,-0.15373071323499998,-0.016635449806865425,0.13709526342813455,0.0027156591369687,0.05879621356776098,0.056080554430792275,0.1442853220426866,0.14740958856970013,False,True,0.30942086268621727
491,18,19,0.0,0,0.0,0.0,0.0,0,0,0.312533816735,-0.0010943576344385876,0.31362817436943863,0.0027040166399762426,0.027580877415641733,0.02487686077566549,0.31360065245696567,0.3140815137508113,False,True,0.6396672572142371
491,19,20,0.0,0,0.0,0.0,0.0,0,0,-2.3641368222048168e-33,-0.0009856675650865851,0.0009856675650865851,1.254175359536216e-31,0.02870529269727361,0.02870529269727361,0.004347306885845325,0.018660027249361517,False,True,0.019685620799568714
491,20,21,0.0,0,0.0,0.0,0.0,0,0,5.667306497391413e-17,-0.00027773980542091165,0.0002777398054209683,1.9373037613764178e-15,0.026191672186404637,0.0261916721864027,0.003741800960297163,0.016573850395141042,False,True,0.017115376858919482
456,13,14,0.0,0,0.0,0.0,0.0,0,0,0.40972650379250003,0.005635685468812829,0.4040908183236872,0.0027301248129374314,0.03510281022458283,0.0323726854116454,0.40485554092317144,0.4056534706141196,False,True,0.8251327019526813
455,73,74,0.0,0,0.0,0.0,0.0,0,0,0.175945838395,0.008068249693818275,0.16787758870118172,0.001900515785411693,0.040438363770897955,0.03853784798548626,0.1692971934464748,0.17164372499620037,False,True,0.35644370614039966
455,74,75,0.0,0,0.0,0.0,0.0,0,0,-9.43147210914684e-23,-0.018190310996208003,0.018190310996208003,5.964986641603455e-21,0.0626007173307139,0.0626007173307139,0.017491932665059315,0.0581210931684015,False,True,0.06698260232662427
455,75,76,0.0,0,0.0,0.0,0.0,0,0,0.04435939778050001,-0.001964759726422789,0.04632415750692279,0.0016689507915883227,0.028796609555839386,0.027127658764251064,0.04661331747630644,0.0491192497798269,False,True,0.10650130436535477
455,76,77,0.0,0,0.0,0.0,0.0,0,0,-0.15453920995375,0.002047671944871225,0.15658688189862124,0.003183935353111881,0.029254456754696855,0.026070521401584973,0.15634728989954902,0.15735624353998015,False,True,0.32596943249896276
