seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
400,active_active,12,18,13,19,1.2004611,-1.6515998,0.0,0.0,0.5269502134021743,0.12898279165119608,0.019683362913869983,0.6569235198810537,0.6618506180796256,1.2723123033634924
400,active_active,12,49,13,50,1.2004611,1.7504162,0.0,0.0,0.5443539412687738,0.1382966250539572,0.020129270867561038,0.07580331166827149,0.6640443170208364,1.2348405696787235
400,active_active,12,52,13,53,1.2004611,-1.1843685,0.0,0.0,0.6411512837799083,0.1878282116124789,0.018125696114061927,0.6422518758440121,0.8170565886684724,1.5457473052225454
400,active_active,12,38,13,39,1.2004611,-1.8607761,0.0,0.0,0.7723567943104697,0.24794272656635044,0.0195345279320338,0.4062630514581119,0.9378723857464089,1.780533389842333
400,active_active,12,97,13,98,1.2004611,-1.7154912,0.0,0.0,0.8448390305772212,0.2828889312935229,0.019435737900413887,0.7778081873393563,1.0400687202777823,1.9958363971933952
400,active_active,12,31,13,32,1.2004611,1.7440584,0.0,0.0,0.9383340488233022,0.32693392274798644,0.020389201186361318,0.7477182393010275,1.13416886184018,2.185065427164974
400,active_active,12,81,13,82,1.2004611,1.9855189,0.0,0.0,1.0385984642417387,0.3760060640331084,0.020391751186380813,0.5446745591188705,1.2050987534281878,2.34086321778172
400,active_active,12,25,13,26,1.2004611,-1.152345,0.0,0.0,1.0815686423058,0.3993582976394901,0.01912022228094382,0.5379727529896596,1.2864312321086304,2.4665130350475812
400,active_active,18,49,19,50,-1.6515998,1.7504162,0.0,0.0,0.5820079773096796,0.15620281983791512,0.019041545100618174,0.40409867649516057,0.7408315250405937,1.3836300382587357
400,active_active,18,52,19,53,-1.6515998,-1.1843685,0.0,0.0,0.678805319820814,0.201377261629866,0.01687278135793032,0.25052029921575586,0.8978762880305869,1.6260895592754459
400,active_active,18,38,19,39,-1.6515998,-1.8607761,0.0,0.0,0.8100108303513754,0.25835820111070085,0.018289768044844293,0.34334393478945685,0.982195055299683,1.856948541252285
400,active_active,18,97,19,98,-1.6515998,-1.7154912,0.0,0.0,0.882493066618127,0.2920608016704619,0.018313214688793353,0.5540334351403804,1.0461909076402511,2.0178717016116607
400,active_active,18,31,19,32,-1.6515998,1.7440584,0.0,0.0,0.975988084864208,0.3349017083673771,0.019559066675012098,0.6624180424156866,1.1146335429381327,2.1952433695493996
400,active_active,18,81,19,82,-1.6515998,1.9855189,0.0,0.0,1.0762525002826444,0.3829542069408186,0.019404692679667115,0.18922847857683864,1.256216291512247,2.394538233516574
400,active_active,18,25,19,26,-1.6515998,-1.152345,0.0,0.0,1.1192226783467056,0.4059069035105376,0.01800991823413074,0.6473260587964693,1.245802303029801,2.4748507571657403
400,active_active,49,52,50,53,1.7504162,-1.1843685,0.0,0.0,0.6962090476874135,0.20746613569622022,0.017403859246957323,0.6378427870894556,0.8997939471152575,1.6848848518929778
400,active_active,49,38,50,39,1.7504162,-1.8607761,0.0,0.0,0.8274145582179749,0.26313182255351847,0.018791250596440184,0.36841032013300296,0.9727010917679788,1.8679676769037161
400,active_active,49,97,50,98,1.7504162,-1.7154912,0.0,0.0,0.8998967944847265,0.2962919300817554,0.018765618284249722,0.06615166858357113,1.0977422176169085,2.03857477653923
400,active_active,49,31,50,32,1.7504162,1.7440584,0.0,0.0,0.9933918127308075,0.3385979182253882,0.019811495727031708,0.19152756704383442,1.1290355066139097,2.1803927418033973
400,active_active,49,81,50,82,1.7504162,1.9855189,0.0,0.0,1.093656228149244,0.3861907826099042,0.019738617770398956,0.337808256484476,1.2177610652187383,2.3887518517200195
400,active_active,49,25,50,26,1.7504162,-1.152345,0.0,0.0,1.1366264062133051,0.40896186897642656,0.01854294791172958,0.4721476693240758,1.305355483730259,2.534728580751547
400,active_active,52,38,53,39,-1.1843685,-1.8607761,0.0,0.0,0.9242119007291094,0.29221881632872937,0.016616479731807143,0.6156168381023989,1.0965529294915768,2.115702515596751
400,active_active,52,97,53,98,-1.1843685,-1.7154912,0.0,0.0,0.996694136995861,0.3224009745763793,0.016588585775838036,0.643402394351608,1.1646730269734957,2.2620946473061143
400,active_active,52,31,53,32,-1.1843685,1.7440584,0.0,0.0,1.090189155241942,0.361665633980883,0.017779820734363124,0.2597066342916416,1.2576150807367648,2.41438641798955
400,active_active,52,81,53,82,-1.1843685,1.9855189,0.0,0.0,1.1904535706603783,0.40656709304747923,0.017734456991351812,0.6535504303067619,1.3150324739186823,2.615931411162323
400,active_active,52,25,53,26,-1.1843685,-1.152345,0.0,0.0,1.2334237487244395,0.42825610427980965,0.016347037864983288,0.02854677838114343,1.3656147040460591,2.64880550050284
400,active_active,38,97,39,98,-1.8607761,-1.7154912,0.0,0.0,1.1278996475264225,0.36074720648594494,0.018050946375751196,0.624726834025027,1.206805533713023,2.43776532188448
400,active_active,38,31,39,32,-1.8607761,1.7440584,0.0,0.0,1.2213946657725034,0.39622997032330587,0.019042411567347112,0.543986079135458,1.2609513087902497,2.5811281824004664
