seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_absdiff_j,pip_absdiff_k,pre_score,pair_mean_l2,pair_cov_fro,pair_corr_absdiff,pair_mmd2,pair_score
400,active_zero,12,26,13,27,1.2004611,0.0,0.0,0.0,0.2622924417187038,0.07538554760335409,0.014690387756086845,0.005154260577378987,0.6378821238564011,0.9119011433321998
400,active_zero,12,83,13,84,1.2004611,0.0,0.0,0.0,0.26319898803632025,0.07537756882261966,0.01469696101552583,0.11240092746857155,0.6279322606039968,0.9135833385233175
400,active_zero,12,54,13,55,1.2004611,0.0,0.0,0.0,0.2633601174590212,0.07537912708389204,0.01469624553955813,0.1589735206732228,0.6412245981659008,0.9316940417855231
400,active_zero,12,67,13,68,1.2004611,0.0,0.0,0.0,0.2645382203551371,0.07538001168022636,0.014701819978234698,0.0641864520720207,0.6125585750753596,0.89472889680028
400,active_zero,12,2,13,3,1.2004611,0.0,0.0,0.0,0.26484109442012416,0.0753764428702751,0.01470580960470054,0.20073753389154597,0.6278541957485345,0.9239831402460159
400,active_zero,12,15,13,16,1.2004611,0.0,0.0,0.0,0.2653508508040677,0.0754183316677987,0.014696882873315609,0.005984056119531209,0.65970888016289,0.9368741904640197
400,active_zero,12,61,13,62,1.2004611,0.0,0.0,0.0,0.266283471844876,0.07538739921220988,0.014708220552016463,0.11471593886657223,0.6479161705899672,0.9368870313807255
400,active_zero,12,73,13,74,1.2004611,0.0,0.0,0.0,0.26721143298098077,0.07538952217758889,0.014715129649471345,0.03720159105430211,0.6317242818941161,0.9138736086106539
400,active_zero,12,58,13,59,1.2004611,0.0,0.0,0.0,0.26733477272937983,0.07537698047780426,0.014728075932692533,0.18189408058790635,0.5973744046752534,0.8941183024943773
400,active_zero,12,22,13,23,1.2004611,0.0,0.0,0.0,0.26744414094975966,0.07541007255054685,0.014709216242385978,0.00954414830716305,0.6302778292676608,0.9098946963637881
400,active_zero,12,87,13,88,1.2004611,0.0,0.0,0.0,0.2708144295365833,0.07545913039015785,0.014722618920979156,0.029208038295259666,0.6303384374279244,0.9153002385632942
400,active_zero,12,9,13,10,1.2004611,0.0,0.0,0.0,0.2710112665860542,0.07545377033425316,0.014720618148760757,0.01708799484470989,0.606796401578437,0.8907419992195775
400,active_zero,12,4,13,5,1.2004611,0.0,0.0,0.0,0.27107749844483836,0.07546194261412204,0.014720282506960917,0.07361341671467896,0.6090587572847976,0.8987238622892563
400,active_zero,12,28,13,29,1.2004611,0.0,0.0,0.0,0.27129768956248185,0.07553023283702684,0.014714425066575804,0.1050572951749747,0.6723249718808558,0.9653600205111817
400,active_zero,12,76,13,77,1.2004611,0.0,0.0,0.0,0.27185491603591627,0.07550655637175353,0.01471840769519671,0.004484860053745141,0.6264712768329093,0.9100049364351745
400,active_zero,12,68,13,69,1.2004611,0.0,0.0,0.0,0.2728767197188095,0.07549315475620953,0.014729193606181332,0.06707301888012555,0.6585464038172547,0.9493620393012431
400,active_zero,12,92,13,93,1.2004611,0.0,0.0,0.0,0.2737735012174539,0.07557852810045866,0.014730501134944089,0.07916611640828453,0.6232012492517509,0.9161318402038151
400,active_zero,12,17,13,18,1.2004611,0.0,0.0,0.0,0.27404467069449606,0.07560000809787695,0.014725472499130835,0.10176028728056158,0.6373068436632535,0.932768912020376
400,active_zero,12,27,13,28,1.2004611,0.0,0.0,0.000125,0.2743573821150248,0.0753764265285667,0.014746669531109782,0.22157893029303,0.6449923967441629,0.9527319819241249
400,active_zero,12,41,13,42,1.2004611,0.0,0.0,0.0,0.27475658803603925,0.07558724293215359,0.01472918893292359,0.23920943138792863,0.6235637415428288,0.9334822942441071
400,active_zero,12,19,13,20,1.2004611,0.0,0.0,0.0,0.2798420189505301,0.07574270202765473,0.014756967926805682,0.03759808338825148,0.5865477862623807,0.8814131257362029
400,active_zero,12,36,13,37,1.2004611,0.0,0.0,0.0,0.2806662082990313,0.07576528286352505,0.01476021728468725,0.0052598921077572965,0.6194268480059146,0.9118856281232459
400,active_zero,12,23,13,24,1.2004611,0.0,0.0,0.000125,0.2842613381409968,0.07538407580305602,0.014820510878380204,0.19501859401176005,0.615485385836235,0.9304921186783085
400,active_zero,12,33,13,34,1.2004611,0.0,0.0,0.000125,0.28916443521717783,0.07594622557807397,0.014870846121332174,0.08924273707635152,0.5987889381471118,0.9081899811600652
400,active_zero,12,88,13,89,1.2004611,0.0,0.0,0.0,0.2940835599136419,0.07635855639377222,0.014919787294665001,0.023200901003651464,0.6308867570035642,0.9386562094806147
400,active_zero,12,43,13,44,1.2004611,0.0,0.0,0.0,0.2960776403636594,0.07707151082988226,0.014709922933167809,0.28192640618142556,0.6876341402593138,1.023289053057396
400,active_zero,18,26,19,27,-1.6515998,0.0,0.0,0.0,0.2999464777596096,0.10467256188447337,0.013096615880653788,0.05908988797339309,0.7161836127996034,1.0357804895151632
400,active_zero,18,83,19,84,-1.6515998,0.0,0.0,0.0,0.30085302407722603,0.10466681568486787,0.013102623167746925,0.023738146306044167,0.6858579443447095,1.0028271204129635
400,active_zero,18,54,19,55,-1.6515998,0.0,0.0,0.0,0.30101415349992694,0.10466793789853167,0.013100421540820546,0.2298455716160235,0.7214745309202545,1.0592151407568422
400,active_zero,18,67,19,68,-1.6515998,0.0,0.0,0.0,0.3021922563960428,0.10466857496360787,0.013107596900031285,0.13595784303695468,0.6608842373078399,0.9904160347289468
400,active_zero,18,2,19,3,-1.6515998,0.0,0.0,0.0,0.30249513046102994,0.10466600481425278,0.013111787859367285,0.2375202328933221,0.6347947276310197,0.974786428827649
400,active_zero,18,15,19,16,-1.6515998,0.0,0.0,0.0,0.30300488684497345,0.10469617555362482,0.013102338598362557,0.018887749091023275,0.7407478128328303,1.0593866767918592
400,active_zero,18,61,19,62,-1.6515998,0.0,0.0,0.0,0.3039375078857818,0.10467389542757277,0.013116150477298373,0.08729396518204283,0.7061534012237892,1.0325667327898573
400,active_zero,18,73,19,74,-1.6515998,0.0,0.0,0.0,0.30486546902188655,0.10467542442314962,0.013117625993134228,0.09791812641713188,0.7097225365708092,1.0381267671750074
