seed,pair_type,j0,k0,j1,k1,beta_true_j,beta_true_k,pip_last_j,pip_last_k,pip_mcmc_j,pip_mcmc_k,slab_skl_j,slab_skl_k,joint_skl
400,true_active_true_active,49,18,50,19,1.7504162,-1.6515998,1.0,1.0,1.0,1.0,12.778078754512585,13.149852222704848,16.003054704332065
400,true_active_true_active,49,12,50,13,1.7504162,1.2004611,1.0,1.0,1.0,1.0,12.778078754512585,13.904840440135144,16.692770294233043
400,true_active_true_active,49,52,50,53,1.7504162,-1.1843685,1.0,1.0,1.0,1.0,12.778078754512585,16.000961782635834,18.681324102053672
400,true_active_true_active,49,38,50,39,1.7504162,-1.8607761,1.0,1.0,1.0,1.0,12.778078754512585,16.438890713496363,18.722372941429576
400,true_active_true_active,49,97,50,98,1.7504162,-1.7154912,1.0,1.0,1.0,1.0,12.778078754512585,17.015923547476085,19.30293677730915
400,true_active_true_active,49,31,50,32,1.7504162,1.7440584,1.0,1.0,1.0,1.0,12.778078754512585,17.14831385515046,17.832986735746182
400,true_active_true_active,49,81,50,82,1.7504162,1.9855189,1.0,1.0,1.0,1.0,12.778078754512585,18.169589268158997,19.869921296261982
400,true_active_true_active,18,12,19,13,-1.6515998,1.2004611,1.0,1.0,1.0,1.0,13.149852222704848,13.904840440135144,17.071877371255777
400,true_active_true_active,18,52,19,53,-1.6515998,-1.1843685,1.0,1.0,1.0,1.0,13.149852222704848,16.000961782635834,17.719856996181687
400,true_active_true_active,18,38,19,39,-1.6515998,-1.8607761,1.0,1.0,1.0,1.0,13.149852222704848,16.438890713496363,17.949597232002628
400,true_active_true_active,18,97,19,98,-1.6515998,-1.7154912,1.0,1.0,1.0,1.0,13.149852222704848,17.015923547476085,18.09458868574464
400,true_active_true_active,18,31,19,32,-1.6515998,1.7440584,1.0,1.0,1.0,1.0,13.149852222704848,17.14831385515046,18.33947033841352
400,true_active_true_active,18,81,19,82,-1.6515998,1.9855189,1.0,1.0,1.0,1.0,13.149852222704848,18.169589268158997,19.095937911359226
400,true_active_true_active,12,52,13,53,1.2004611,-1.1843685,1.0,1.0,1.0,1.0,13.904840440135144,16.000961782635834,18.04564707644542
400,true_active_true_active,12,38,13,39,1.2004611,-1.8607761,1.0,1.0,1.0,1.0,13.904840440135144,16.438890713496363,18.49582199705563
400,true_active_true_active,12,97,13,98,1.2004611,-1.7154912,1.0,1.0,1.0,1.0,13.904840440135144,17.015923547476085,17.863385048499335
400,true_active_true_active,12,31,13,32,1.2004611,1.7440584,1.0,1.0,1.0,1.0,13.904840440135144,17.14831385515046,18.7732919828361
400,true_active_true_active,12,81,13,82,1.2004611,1.9855189,1.0,1.0,1.0,1.0,13.904840440135144,18.169589268158997,19.643759233432473
400,true_active_true_active,52,38,53,39,-1.1843685,-1.8607761,1.0,1.0,1.0,1.0,16.000961782635834,16.438890713496363,19.96595758746149
400,true_active_true_active,52,97,53,98,-1.1843685,-1.7154912,1.0,1.0,1.0,1.0,16.000961782635834,17.015923547476085,20.176688839633748
400,true_active_true_active,52,31,53,32,-1.1843685,1.7440584,1.0,1.0,1.0,1.0,16.000961782635834,17.14831385515046,18.836727053743658
400,true_active_true_active,52,81,53,82,-1.1843685,1.9855189,1.0,1.0,1.0,1.0,16.000961782635834,18.169589268158997,22.910782318362106
400,true_active_true_active,38,97,39,98,-1.8607761,-1.7154912,1.0,1.0,1.0,1.0,16.438890713496363,17.015923547476085,20.38096041016554
400,true_active_true_active,38,31,39,32,-1.8607761,1.7440584,1.0,1.0,1.0,1.0,16.438890713496363,17.14831385515046,20.253324896056043
400,true_active_true_active,38,81,39,82,-1.8607761,1.9855189,1.0,1.0,1.0,1.0,16.438890713496363,18.169589268158997,20.915322839446606
400,true_active_true_active,97,31,98,32,-1.7154912,1.7440584,1.0,1.0,1.0,1.0,17.015923547476085,17.14831385515046,19.774205485117832
400,true_active_true_active,97,81,98,82,-1.7154912,1.9855189,1.0,1.0,1.0,1.0,17.015923547476085,18.169589268158997,22.86114872774081
400,true_active_true_active,31,81,32,82,1.7440584,1.9855189,1.0,1.0,1.0,1.0,17.14831385515046,18.169589268158997,19.66803836640438
401,true_active_true_active,61,33,62,34,-1.6192368,-1.8541925,1.0,1.0,1.0,1.0,6.134451835043571,7.354400936179605,14.440834592000765
401,true_active_true_active,61,44,62,45,-1.6192368,-1.2233992,1.0,1.0,1.0,1.0,6.134451835043571,10.117653821603948,15.449993337227411
401,true_active_true_active,61,40,62,41,-1.6192368,0.8038732,1.0,1.0,1.0,0.999875,6.134451835043571,11.034475341989335,16.04086004492266
401,true_active_true_active,61,10,62,11,-1.6192368,1.2219847,1.0,1.0,1.0,1.0,6.134451835043571,11.118813334073193,15.40426054098169
401,true_active_true_active,61,4,62,5,-1.6192368,-0.8852809,1.0,1.0,1.0,0.9995,6.134451835043571,12.006965292444768,14.76123033710802
401,true_active_true_active,61,25,62,26,-1.6192368,-0.50801575,1.0,1.0,1.0,0.65375,6.134451835043571,12.45862200485276,15.980355744362907
401,true_active_true_active,61,68,62,69,-1.6192368,0.8727183,1.0,1.0,1.0,0.958375,6.134451835043571,12.478916050687257,15.949420275847327
401,true_active_true_active,33,44,34,45,-1.8541925,-1.2233992,1.0,1.0,1.0,1.0,7.354400936179605,10.117653821603948,16.328281761106314
401,true_active_true_active,33,40,34,41,-1.8541925,0.8038732,1.0,1.0,1.0,0.999875,7.354400936179605,11.034475341989335,16.87930123619774
401,true_active_true_active,33,10,34,11,-1.8541925,1.2219847,1.0,1.0,1.0,1.0,7.354400936179605,11.118813334073193,15.555449866326148
401,true_active_true_active,33,4,34,5,-1.8541925,-0.8852809,1.0,1.0,1.0,0.9995,7.354400936179605,12.006965292444768,14.979648932361272
401,true_active_true_active,33,25,34,26,-1.8541925,-0.50801575,1.0,1.0,1.0,0.65375,7.354400936179605,12.45862200485276,16.362859914159454
401,true_active_true_active,33,68,34,69,-1.8541925,0.8727183,1.0,1.0,1.0,0.958375,7.354400936179605,12.478916050687257,16.592583618568508
401,true_active_true_active,44,40,45,41,-1.2233992,0.8038732,1.0,1.0,1.0,0.999875,10.117653821603948,11.034475341989335,17.116476621492687
401,true_active_true_active,44,10,45,11,-1.2233992,1.2219847,1.0,1.0,1.0,1.0,10.117653821603948,11.118813334073193,15.272540408963414
401,true_active_true_active,44,4,45,5,-1.2233992,-0.8852809,1.0,1.0,1.0,0.9995,10.117653821603948,12.006965292444768,15.442940683906782
401,true_active_true_active,44,25,45,26,-1.2233992,-0.50801575,1.0,1.0,1.0,0.65375,10.117653821603948,12.45862200485276,16.173584466417367
