seed,j0,j1,beta_true,truth,pip_last,pip_mcmc,pip_absdiff,pip_js,spike_js,selected_last,selected_mcmc,tp_both,tn_both,mean_last,mean_mcmc,sd_last,sd_mcmc,slab_skl
400,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.1969048024825,-0.01383055891196311,0.003002460163667682,0.05306410113543232,
400,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.2599811812325,-0.002049348849197296,0.0027009043671558587,0.02711679623086,
400,2,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,1.1387128868007793e-12,-0.00010040273083895784,5.240462564585338e-12,0.03038356487410262,
400,3,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.254368345035,-0.022055782354079383,0.0028709050804095874,0.06441471160174543,
400,4,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-1.70766230095e-38,0.0035925929396173157,8.172048166206585e-37,0.033602796142350275,
400,5,6,0.0,0,0.0,0.007875,0.007875,0.0027369802037385993,0.0027369802037385993,0,0,False,True,0.26331592468000004,0.0952609503180405,0.002818279372790785,0.13895902354751596,
400,6,7,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.057360215774750006,-0.002305606704623908,0.0014977317549742814,0.028255522226806638,
400,7,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.19714704377,0.0016323932523649202,0.0018736139143573592,0.029978209726003482,
400,8,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.048683885209750005,0.008665063506376544,0.0022513576704656993,0.04411901201467493,
400,9,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.0,-0.0034166355654301084,0.0,0.0336259702160677,
400,10,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.12974737637425,-0.008477491970020942,0.005988956229191608,0.04355010983461001,
400,11,12,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.1646083573175,0.0020493476962309544,0.0025930305407123625,0.03204824840899512,
400,12,13,1.2004611,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.1017116950999999,1.1770880711011533,0.002995284498467163,0.12118485850298155,13.904840440135144
400,13,14,0.0,0,0.0,0.000375,0.000375,0.00012992848202715538,0.00012992848202715538,0,0,False,True,-0.10096456389274999,-0.02114893306981991,0.0022139649135358335,0.06578307644765251,
400,14,15,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.4157716049925,0.008359555610192986,0.003729686340528729,0.0423835962936828,
400,15,16,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-5.997242683378843e-34,0.0025152917299644637,3.114985157939124e-32,0.027699656500203746,
400,16,17,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.12845676075300003,-0.009643027979685454,0.0028441421659718266,0.04669397071505115,
400,17,18,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,3.69762259932355e-18,-0.005810608000183958,2.6351500043918528e-17,0.03429286504659375,
400,18,19,-1.6515998,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-1.6540037390500002,-1.7586696957076862,0.004754100222461805,0.11446302028103314,13.149852222704848
400,19,20,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,8.866186437663085e-18,0.007440352907143162,4.9332815034484e-16,0.038863646018359364,
400,20,21,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.19415225625249996,0.01117813642264154,0.005425172661277026,0.047890314202576174,
400,21,22,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.16474941487249997,0.0013471127327955316,0.003600757101186078,0.028807167859494134,
400,22,23,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,1.3405188421452369e-16,0.002254103593777395,5.8053105597870095e-15,0.03101420312825773,
400,23,24,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,0.008711745245675001,0.009789161420436265,0.0014317384823131448,0.04492370979608946,
400,24,25,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.09246423363799999,-0.00312823267459253,0.0024217431861563664,0.03116969513413966,
400,25,26,-1.152345,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,-0.6171044275149999,-1.009284809271207,0.005804511119525274,0.11082806205450083,18.459749920652744
400,26,27,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.0,0.0011758947190572725,0.0,0.025126545556532497,
400,27,28,0.0,0,0.0,0.000125,0.000125,4.3274949835870214e-05,4.3274949835870214e-05,0,0,False,True,-0.0053541232427749995,-0.005441399523369937,0.0012376300820305022,0.03738082130171793,
400,28,29,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-4.5505499875e-38,0.004818507377625151,2.8052901716667345e-36,0.03234477547734094,
400,29,30,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,-0.27708443761,0.00506191489107907,0.0031085936255588805,0.03755788062547181,
400,30,31,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,False,True,0.04474142997200001,-0.0038060314163080983,0.0018490333488794908,0.03490105790094455,
400,31,32,1.7440584,1,1.0,1.0,0.0,0.0,0.0,1,1,True,False,1.441480253125,1.7596063158490702,0.004042232459414503,0.11890030739058008,17.14831385515046
