condition,method,mse,r2,tpr,fpr,auroc,auprc,dparam,network_density,path_density,runtime_sec
relu_interaction,DSS-LVR,0.0499585788101004,0.9796116338743256,1.0,0.0,1.0,1.0,0.0167420814479638,0.0178954750299453,0.0016568248393014,761.2921975471545
relu_interaction,DSS-LVR,0.1145792494715151,0.948874790402799,1.0,0.0,1.0,1.0,0.0126696832579185,0.0133819002658128,0.00067110004602,622.0876716289204
relu_interaction,DSS-LVR,0.1210102016580799,0.9451024899344476,1.0,0.0,1.0,1.0,0.0126696832579185,0.0137841627001762,0.0007228499744087,868.571350706974
relu_interaction,DSS-LVR,0.1531832652649335,0.9317016835748306,1.0,0.0,1.0,1.0,0.0167420814479638,0.0176773760467767,0.0016189250163733,759.5637997109443
relu_interaction,DSS-LVR,0.0811913868087768,0.9631925120117606,1.0,0.0,1.0,1.0,0.0167420814479638,0.0177841633558273,0.0016166500281542,754.2782963868231
relu_interaction,DSS-LVR,0.082452207199797,0.96579846388782,1.0,0.0,1.0,1.0,0.0226244343891402,0.0237660631537437,0.0012683002278208,754.8461256069131
relu_interaction,DSS-LVR,0.1132510773404859,0.9495537384984468,1.0,0.0,1.0,1.0,0.0140271493212669,0.015088235028088,0.0013847250957041,447.4222762649879
relu_interaction,DSS-LVR,0.2403715631382017,0.8906098009202421,1.0,0.0,1.0,1.0,0.0167420814479638,0.0179180987179279,0.0016703498549759,453.21109626907855
relu_interaction,DSS-LVR,0.1697346091495696,0.9253653268779084,1.0,0.0,1.0,1.0,0.0140271493212669,0.0151579184457659,0.0013947751140221,812.6834676669969
relu_interaction,DSS-LVR,0.1313414110063543,0.939327529184214,1.0,0.0,1.0,1.0,0.0113122171945701,0.0122805433347821,0.0011093000648543,813.3324114360003
trig_interaction,DSS-LVR,0.2000491771438927,0.9171878623698884,1.0,0.0,1.0,1.0,0.0221719457013574,0.0229660626500844,0.0021149502135813,683.1750777109992
trig_interaction,DSS-LVR,0.3832423537846521,0.8231443289408721,1.0,0.0,1.0,1.0,0.0167420814479638,0.0173235293477773,0.0015833997167646,707.6565683342051
trig_interaction,DSS-LVR,0.2486704107932866,0.8869051247558607,1.0,0.0,1.0,1.0,0.0276018099547511,0.0286542978137731,0.0027427501045167,630.1904071790632
trig_interaction,DSS-LVR,0.2607806079373509,0.8793462721253416,1.0,0.0,1.0,1.0,0.0194570135746606,0.0201524887233972,0.0018458499107509,654.7578930889722
