method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2500,0,unit,0,0,0,0,group,0.6528000235557556,0.29474377632141113,0.46810582280158997,1.1122996807098389,1.077269434928894,0.9933996796607971
RaT,2500,1,unit,0,0,1,1,group,0.6754000186920166,0.28471919894218445,0.45222949981689453,1.0375597476959229,1.1737457513809204,1.08006751537323
RaT,2500,2,unit,0,0,2,2,group,1.0,0.7818097472190857,2.049527883529663,0.5599254369735718,1.8581328392028809,1.829657793045044
RaT,2500,3,unit,0,0,3,3,group,0.6557999849319458,0.29348158836364746,0.46462276577949524,1.0777881145477295,1.1197922229766846,1.040786862373352
RaT,2500,4,unit,0,0,4,4,group,1.0,0.7266731262207031,1.7652168273925781,0.5162506699562073,1.7818046808242798,1.7588955163955688
MCMC,,0,unit,0,0,0,0,group,0.8948000073432922,0.5752862691879272,1.4931926727294922,1.1826215982437134,1.281029462814331,1.2075252532958984
MCMC,,1,unit,0,0,1,1,group,0.900600016117096,0.5843161940574646,1.5208048820495605,1.1677484512329102,1.3788055181503296,1.3106355667114258
MCMC,,2,unit,0,0,2,2,group,0.978600025177002,0.7341881990432739,2.0103821754455566,0.9305480122566223,1.5103466510772705,1.4732189178466797
MCMC,,3,unit,0,0,3,3,group,0.9629999995231628,0.6752797961235046,1.8171281814575195,1.0043935775756836,1.5179523229599,1.5275750160217285
MCMC,,4,unit,0,0,4,4,group,0.925599992275238,0.627043604850769,1.647773265838623,1.1017804145812988,1.3854007720947266,1.3280328512191772
