method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,1,0,0,1,1,1,1,0.4970000088214874,0.11448439955711365,-0.021806584671139717,0.7083225846290588,0.6273091435432434,0.3900124430656433,0.24267278611660004,0.027770841494202614
RaT,1,0,0,0,0,0,2,0.4860000014305115,0.11535350233316422,-0.019224748015403748,0.7023109793663025,0.619172215461731,0.3842717707157135,0.23473437130451202,0.028715739026665688
RaT,1,0,0,4,4,4,3,0.48399999737739563,0.1144222840666771,-0.03627728298306465,0.7088717222213745,0.5877266526222229,0.3723677396774292,0.21665625274181366,0.02418915182352066
RaT,1,0,0,3,3,3,4,0.4779999852180481,0.11176928132772446,-0.02655941992998123,0.6811612248420715,0.5939780473709106,0.3797096610069275,0.2253112643957138,0.02375447377562523
RaT,1,0,0,2,2,2,5,0.4490000009536743,0.10857097804546356,-0.05322173237800598,0.7045282125473022,0.6133561730384827,0.3768213093280792,0.2304958999156952,0.024446506053209305
RaT,250,0,0,4,4,4,1,0.5109999775886536,0.2275635302066803,0.009334358386695385,1.3937475681304932,1.5948539972305298,1.155733585357666,1.8449692726135254,0.42010262608528137
RaT,250,0,0,1,1,1,2,0.4950000047683716,0.21730588376522064,-0.021674996241927147,1.3644448518753052,0.9580815434455872,0.19266828894615173,0.1863236278295517,0.04003327339887619
RaT,250,0,0,3,3,3,3,0.4860000014305115,0.2100253701210022,-0.03851551190018654,1.374238133430481,0.9958938956260681,0.3008846342563629,0.3010008633136749,0.06301369518041611
RaT,250,0,0,0,0,0,4,0.48399999737739563,0.21297305822372437,-0.0882643610239029,1.4357267618179321,1.043650507926941,0.4193544089794159,0.443785697221756,0.09277994930744171
RaT,250,0,0,2,2,2,5,0.47999998927116394,0.21272513270378113,-0.08491043746471405,1.4284627437591553,1.5566885471343994,1.2293463945388794,1.912509799003601,0.4063894748687744
RaT,500,0,0,4,4,4,1,0.5370000004768372,0.24310685694217682,0.08904048055410385,1.3616634607315063,1.554142951965332,1.127436876296997,1.729956865310669,0.4236205518245697
RaT,500,0,0,1,1,1,2,0.5220000147819519,0.2405308485031128,0.011433163657784462,1.4954330921173096,0.9162354469299316,0.21549668908119202,0.20125290751457214,0.04873553290963173
RaT,500,0,0,2,2,2,3,0.49799999594688416,0.23077045381069183,0.022089920938014984,1.4266400337219238,1.6032607555389404,1.2980884313583374,2.0679879188537598,0.47992298007011414
RaT,500,0,0,3,3,3,4,0.49300000071525574,0.22168512642383575,0.01480784360319376,1.372460961341858,1.029018521308899,0.23972558975219727,0.25049614906311035,0.05453062430024147
RaT,500,0,0,0,0,0,5,0.4909999966621399,0.21777833998203278,-0.0411437526345253,1.4154664278030396,1.061913013458252,0.400676965713501,0.45056578516960144,0.10264832526445389
RaT,750,0,0,4,4,4,1,0.5,0.22101227939128876,-0.021353036165237427,1.387965202331543,1.6018913984298706,1.1508868932724,1.790612816810608,0.3936749994754791
RaT,750,0,0,2,2,2,2,0.49799999594688416,0.223322331905365,-0.0195551086217165,1.4288606643676758,1.6050329208374023,1.2747645378112793,2.010488510131836,0.45020875334739685
RaT,750,0,0,1,1,1,3,0.4860000014305115,0.22971954941749573,0.02222035638988018,1.4207432270050049,0.9832988381385803,0.2888140082359314,0.28295257687568665,0.06531605869531631
RaT,750,0,0,3,3,3,4,0.48500001430511475,0.21879713237285614,-0.03461962938308716,1.3677797317504883,0.993657648563385,0.3251759111881256,0.32288727164268494,0.07369224727153778
