method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2500,0,unit,0,0,0,0,group,0.3012000024318695,0.15948054194450378,-0.4114776849746704,0.8124610185623169,1.161785364151001,1.0832898616790771
RaT,2500,1,unit,0,0,1,1,group,0.2727999985218048,0.11466523259878159,-0.41178905963897705,0.6939995288848877,1.1991974115371704,1.1177700757980347
RaT,2500,2,unit,0,0,2,2,group,1.0,1.3103575706481934,1.3103575706481934,0.3130917549133301,1.5472644567489624,1.5414584875106812
RaT,2500,3,unit,0,0,3,3,group,0.24300000071525574,0.09479312598705292,-0.4424883723258972,0.647952139377594,1.1918665170669556,1.109802007675171
RaT,2500,4,unit,0,0,4,4,group,1.0,1.3723793029785156,1.3723793029785156,0.4412202835083008,1.49274742603302,1.4700486660003662
MCMC,,0,unit,0,0,0,0,group,0.8393999934196472,1.173599362373352,1.0588737726211548,1.1332799196243286,1.2061171531677246,1.127791166305542
MCMC,,1,unit,0,0,1,1,group,0.9467999935150146,1.4778188467025757,1.4498716592788696,0.8456330299377441,1.2507505416870117,1.2425814867019653
MCMC,,2,unit,0,0,2,2,group,0.7940000295639038,1.132904052734375,0.9886094927787781,1.2142795324325562,1.2166672945022583,1.1842288970947266
MCMC,,3,unit,0,0,3,3,group,0.8324000239372253,1.0510976314544678,0.9313109517097473,1.0289584398269653,1.334389090538025,1.2411643266677856
MCMC,,4,unit,0,0,4,4,group,0.8456000089645386,1.282545566558838,1.1789449453353882,1.1449148654937744,1.3170849084854126,1.2391738891601562
