epoch,phase,selection_warmup,eligible_checkpoint,checkpoint_update,loss,expected_log_likelihood,expected_log_prior,expected_log_q,kl_q_prior,elbo,val_mse,val_signal_r2,val_draw_r2_median,val_draw_r2_positive_prob,val_zero_function_prob,val_constant_function_prob,val_corr2,val_function_energy_mean,val_function_energy_median,pip_rmse_truth,pip_rmse_mcmc,true_active_skl,true_active_skl_mean,zero_js,zero_js_mean,n_truth_active,n_truth_zero,n_valid_true_active_skl,selection_mode,reference_compatibility,rmse_with_mcmc,true_skl
1,repr,True,False,False,859.1492919921875,-805.8466186523438,-22.833688735961914,-15.280684471130371,7.553005695343018,-813.399658203125,10.411352157592773,-5.728888034820557,-5.780026435852051,0.0,0.0,0.0,0.5921439528465271,0.6484747529029846,0.3354785442352295,0.3158075363255285,0.39080830083302986,9.14417321268663,9.14417321268663,0.13610063419555238,0.12218529213909834,2,3,2,unit_group,exact,0.39080830083302986,9.14417321268663
250,repr,True,False,False,165.88429260253906,-143.2586669921875,-30.11425018310547,-8.01372241973877,22.100526809692383,-165.35919189453125,0.0337710864841938,0.9781736731529236,0.9431941509246826,0.9990000128746033,0.0,0.0,0.9852744340896606,12.609734535217285,12.55225944519043,0.32321943010902054,0.37781763855066375,1.7456525751263579,1.7456525751263579,0.13246437503504838,0.11468640796047536,2,3,2,unit_group,exact,0.37781763855066375,1.7456525751263579
500,repr,True,False,False,162.84324645996094,-143.50491333007812,-30.089557647705078,-10.737984657287598,19.351572036743164,-162.8564910888672,0.02513567917048931,0.9837547540664673,0.9482214450836182,1.0,0.0,0.0,0.9850379228591919,11.910873413085938,11.803775787353516,0.3221220265675727,0.36148422925488743,1.3766046213809666,1.3766046213809666,0.12290648173450955,0.10909141636858784,2,3,2,unit_group,exact,0.36148422925488743,1.3766046213809666
750,repr,True,False,False,160.55612182617188,-143.82321166992188,-30.388092041015625,-12.983217239379883,17.404878616333008,-161.22808837890625,0.021332520991563797,0.9862127304077148,0.9472756385803223,0.9990000128746033,0.0,0.0,0.9872800707817078,11.751157760620117,11.63713264465332,0.3177983637465744,0.3802979463525934,1.08831743361032,1.08831743361032,0.13610063419555238,0.11751969550781609,2,3,2,unit_group,exact,0.3802979463525934,1.08831743361032
1000,repr,True,False,False,160.53024291992188,-142.9816436767578,-30.421506881713867,-13.528769493103027,16.892738342285156,-159.8743896484375,0.02535446733236313,0.9836133122444153,0.9474733471870422,1.0,0.0,0.0,0.9852171540260315,12.248895645141602,12.176916122436523,0.32483503505625744,0.3658337983292413,0.9316797699624111,0.9316797699624111,0.12737807095005033,0.10979410631199811,2,3,2,unit_group,exact,0.3658337983292413,0.9316797699624111
1250,select,False,False,False,165.38758850097656,-143.9354248046875,-29.691797256469727,-7.677547931671143,22.01424789428711,-165.9496612548828,0.04644108936190605,0.9699850082397461,0.9298507571220398,0.9990000128746033,0.0,0.0,0.9870606064796448,13.045418739318848,13.048253059387207,0.338323809389762,0.33414351407740955,1.664304664343966,1.664304664343966,0.14410513913231648,0.1207021882301858,2,3,2,unit_group,exact,0.33414351407740955,1.664304664343966
1500,select,False,False,False,163.5924072265625,-143.96051025390625,-30.998706817626953,-10.813516616821289,20.185192108154297,-164.1457061767578,0.034934282302856445,0.9774218797683716,0.9432691335678101,0.9980000257492065,0.0,0.0,0.9815382361412048,12.396536827087402,12.359258651733398,0.1886001060445089,0.46440302324597327,1.0651743796757909,1.0651743796757909,0.20975913033725418,0.23822792084748246,2,3,2,unit_group,exact,0.46440302324597327,1.0651743796757909
1750,select,False,False,False,162.34262084960938,-142.353759765625,-30.63503074645996,-11.134614944458008,19.50041389465332,-161.8541717529297,0.02829614467918873,0.9817121028900146,0.9513070583343506,1.0,0.0,0.0,0.9863657355308533,12.409740447998047,12.34438705444336,0.205714851189699,0.45573989072715587,1.1015417869310093,1.1015417869310093,0.20636890864213348,0.23046708566855223,2,3,2,unit_group,exact,0.45573989072715587,1.1015417869310093
2000,select,False,False,False,161.8012237548828,-142.55404663085938,-31.2799015045166,-12.599459648132324,18.680442810058594,-161.2344970703125,0.05030050128698349,0.9674906134605408,0.9354526400566101,0.9980000257492065,0.0,0.0,0.9845064282417297,13.038572311401367,13.04472827911377,0.22525407876440326,0.4286608542892621,0.5770800466035364,0.5770800466035364,0.18393025697011706,0.1990712486020084,2,3,2,unit_group,exact,0.4286608542892621,0.5770800466035364
2250,select,False,False,False,161.35702514648438,-142.4967041015625,-30.98173713684082,-12.144651412963867,18.837085723876953,-161.3337860107422,0.07264120876789093,0.953051745891571,0.9275413155555725,1.0,0.0,0.0,0.985239565372467,13.464062690734863,13.421878814697266,0.23190730906980916,0.4299429357484549,0.5797442696700746,0.5797442696700746,0.18733182381632577,0.20176170003809046,2,3,2,unit_group,exact,0.4299429357484549,0.5797442696700746
2500,select,False,False,False,161.56463623046875,-142.98609924316406,-31.401426315307617,-13.612156867980957,17.789264678955078,-160.77537536621094,0.05779442563652992,0.9626473188400269,0.9328541159629822,0.9980000257492065,0.0,0.0,0.9762470126152039,12.88985824584961,12.79857063293457,0.27660115690285897,0.3829593816581596,0.38384092660877855,0.38384092660877855,0.162425001308229,0.158441482557858,2,3,2,unit_group,exact,0.3829593816581596,0.38384092660877855
