method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,1,0,0,1,1,1,1,0.4970000088214874,0.27026575803756714,-0.021806584671139717,0.7083225846290588,0.6273091435432434,0.3900124430656433,0.24267278611660004,0.06560251861810684
RaT,1,0,0,0,0,0,2,0.4860000014305115,0.26953956484794617,-0.019224748015403748,0.7023109793663025,0.619172215461731,0.3842717707157135,0.23473437130451202,0.06591792404651642
RaT,1,0,0,4,4,4,3,0.48399999737739563,0.26674529910087585,-0.03627728298306465,0.7088717222213745,0.5877266526222229,0.3723677396774292,0.21665625274181366,0.05599492788314819
RaT,1,0,0,3,3,3,4,0.4779999852180481,0.26201269030570984,-0.02655941992998123,0.6811612248420715,0.5939780473709106,0.3797096610069275,0.2253112643957138,0.056422095745801926
RaT,1,0,0,2,2,2,5,0.4490000009536743,0.2527215778827667,-0.05322173237800598,0.7045282125473022,0.6133561730384827,0.3768213093280792,0.2304958999156952,0.05648253858089447
RaT,250,0,0,4,4,4,1,0.5109999775886536,0.5612316727638245,0.009334358386695385,1.3937475681304932,1.5948539972305298,1.155733585357666,1.8449692726135254,1.0365707874298096
RaT,250,0,0,1,1,1,2,0.4950000047683716,0.5339359641075134,-0.021674996241927147,1.3644448518753052,0.9580815434455872,0.19266828894615173,0.1863236278295517,0.09874404966831207
RaT,250,0,0,3,3,3,3,0.4860000014305115,0.5192165970802307,-0.03851551190018654,1.374238133430481,0.9958938956260681,0.3008846342563629,0.3010008633136749,0.15303456783294678
RaT,250,0,0,0,0,0,4,0.48399999737739563,0.5318841338157654,-0.0882643610239029,1.4357267618179321,1.043650507926941,0.4193544089794159,0.443785697221756,0.2321491688489914
RaT,250,0,0,2,2,2,5,0.47999998927116394,0.5283559560775757,-0.08491043746471405,1.4284627437591553,1.5566885471343994,1.2293463945388794,1.912509799003601,1.0094435214996338
RaT,500,0,0,4,4,4,1,0.5370000004768372,0.5900784730911255,0.08904048055410385,1.3616634607315063,1.554142951965332,1.127436876296997,1.729956865310669,1.030701756477356
RaT,500,0,0,1,1,1,2,0.5220000147819519,0.6022698879241943,0.011433163657784462,1.4954330921173096,0.9162354469299316,0.21549668908119202,0.20125290751457214,0.12101267278194427
RaT,500,0,0,2,2,2,3,0.49799999594688416,0.5805866718292236,0.022089920938014984,1.4266400337219238,1.6032607555389404,1.2980884313583374,2.0679879188537598,1.2095534801483154
RaT,500,0,0,3,3,3,4,0.49300000071525574,0.5531050562858582,0.01480784360319376,1.372460961341858,1.029018521308899,0.23972558975219727,0.25049614906311035,0.13464371860027313
RaT,500,0,0,0,0,0,5,0.4909999966621399,0.5452512502670288,-0.0411437526345253,1.4154664278030396,1.061913013458252,0.400676965713501,0.45056578516960144,0.25250449776649475
RaT,750,0,0,4,4,4,1,0.5,0.5444000959396362,-0.021353036165237427,1.387965202331543,1.6018913984298706,1.1508868932724,1.790612816810608,0.9678071141242981
RaT,750,0,0,2,2,2,2,0.49799999594688416,0.5585417747497559,-0.0195551086217165,1.4288606643676758,1.6050329208374023,1.2747645378112793,2.010488510131836,1.1260986328125
RaT,750,0,0,1,1,1,3,0.4860000014305115,0.5767639875411987,0.02222035638988018,1.4207432270050049,0.9832988381385803,0.2888140082359314,0.28295257687568665,0.1624341905117035
RaT,750,0,0,3,3,3,4,0.48500001430511475,0.5326969027519226,-0.03461962938308716,1.3677797317504883,0.993657648563385,0.3251759111881256,0.32288727164268494,0.17734315991401672
RaT,750,0,0,0,0,0,5,0.4779999852180481,0.5268475413322449,-0.077040895819664,1.4076087474822998,1.076454520225525,0.4665471911430359,0.5365121960639954,0.27437353134155273
RaT,1000,0,0,2,2,2,1,0.5239999890327454,0.6041417121887207,0.08748748898506165,1.3926358222961426,1.6695733070373535,1.2681835889816284,2.0766193866729736,1.2584058046340942
RaT,1000,0,0,1,1,1,2,0.5070000290870667,0.5620019435882568,0.021668262779712677,1.3867285251617432,0.9804558753967285,0.3861236274242401,0.40233200788497925,0.2308632880449295
RaT,1000,0,0,3,3,3,3,0.5009999871253967,0.5743657946586609,0.027249544858932495,1.4087374210357666,1.0008876323699951,0.41429832577705383,0.40086159110069275,0.21284359693527222
RaT,1000,0,0,0,0,0,4,0.4950000047683716,0.5331528782844543,-0.002263565082103014,1.3364884853363037,1.0133967399597168,0.4866132438182831,0.5609039068222046,0.30282995104789734
RaT,1000,0,0,4,4,4,5,0.4880000054836273,0.5095593929290771,-0.0697980523109436,1.3561406135559082,1.5786550045013428,1.2537062168121338,1.8902623653411865,0.9686518311500549
RaT,1250,0,0,2,2,2,1,1.0,1.5113345384597778,1.5113345384597778,0.11883489787578583,1.4064528942108154,1.0205329656600952,1.3844133615493774,2.0837550163269043
RaT,1250,0,0,4,4,4,2,1.0,1.3775054216384888,1.3775054216384888,0.18078698217868805,1.4284472465515137,1.0793315172195435,1.4679428339004517,1.9908874034881592
