method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1,0,unit,0,0,0,0,group,0.4860000014305115,0.23809008300304413,-0.019224748015403748,0.7023109793663025,0.619172215461731,0.5861687064170837
RaT,1,1,unit,0,0,1,1,group,0.4970000088214874,0.22796519100666046,-0.021806584671139717,0.7083225846290588,0.6273091435432434,0.5829136371612549
RaT,1,2,unit,0,0,2,2,group,0.4490000009536743,0.2138543576002121,-0.05322173237800598,0.7045282125473022,0.6133561730384827,0.5778596997261047
RaT,1,3,unit,0,0,3,3,group,0.4779999852180481,0.2304868996143341,-0.02655941992998123,0.6811612248420715,0.5939780473709106,0.5535699129104614
RaT,1,4,unit,0,0,4,4,group,0.48399999737739563,0.2371307760477066,-0.03627728298306465,0.7088717222213745,0.5877266526222229,0.5424578189849854
RaT,250,0,unit,0,0,0,0,group,0.48399999737739563,0.34112560749053955,-0.0882643610239029,1.4357267618179321,1.043650507926941,1.015393853187561
RaT,250,1,unit,0,0,1,1,group,0.4950000047683716,0.3488205671310425,-0.021674996241927147,1.3644448518753052,0.9580815434455872,0.9058176875114441
RaT,250,2,unit,0,0,2,2,group,0.47999998927116394,0.3418700695037842,-0.08491043746471405,1.4284627437591553,1.5566885471343994,1.5591195821762085
RaT,250,3,unit,0,0,3,3,group,0.4860000014305115,0.346025288105011,-0.03851551190018654,1.374238133430481,0.9958938956260681,0.9443173408508301
RaT,250,4,unit,0,0,4,4,group,0.5109999775886536,0.37389856576919556,0.009334358386695385,1.3937475681304932,1.5948539972305298,1.5923973321914673
RaT,500,0,unit,0,0,0,0,group,0.4909999966621399,0.3442041873931885,-0.0411437526345253,1.4154664278030396,1.061913013458252,1.0065490007400513
RaT,500,1,unit,0,0,1,1,group,0.5220000147819519,0.38033026456832886,0.011433163657784462,1.4954330921173096,0.9162354469299316,0.8447909355163574
RaT,500,2,unit,0,0,2,2,group,0.49799999594688416,0.3605382740497589,0.022089920938014984,1.4266400337219238,1.6032607555389404,1.601951241493225
