method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2500,0,unit,0,0,0,0,group,0.607200026512146,0.4425143599510193,0.3456796705722809,1.1587915420532227,1.033132791519165,0.9394978284835815
RaT,2500,1,unit,0,0,1,1,group,0.6132000088691711,0.44325321912765503,0.3360879421234131,1.2028125524520874,1.0782219171524048,0.9584081768989563
RaT,2500,2,unit,0,0,2,2,group,1.0,0.998353123664856,1.7177605628967285,0.5208672881126404,1.683793306350708,1.6295102834701538
RaT,2500,3,unit,0,0,3,3,group,0.6425999999046326,0.47612714767456055,0.4368976652622223,1.1228281259536743,1.0156481266021729,0.9443826079368591
RaT,2500,4,unit,0,0,4,4,group,1.0,0.9960752725601196,1.659912347793579,0.5233271718025208,1.604901909828186,1.572338581085205
MCMC,,0,unit,0,0,0,0,group,0.8826000094413757,0.8063279986381531,1.2787580490112305,1.0886404514312744,1.4675981998443604,1.417818307876587
MCMC,,1,unit,0,0,1,1,group,0.8532000184059143,0.7511634230613708,1.1714766025543213,1.120368242263794,1.3170909881591797,1.3052374124526978
MCMC,,2,unit,0,0,2,2,group,0.8393999934196472,0.712273895740509,1.101958155632019,1.1507052183151245,1.3540939092636108,1.282310962677002
MCMC,,3,unit,0,0,3,3,group,0.9047999978065491,0.8229360580444336,1.3337281942367554,1.0355161428451538,1.3739336729049683,1.356513261795044
MCMC,,4,unit,0,0,4,4,group,0.8551999926567078,0.7387598156929016,1.1588833332061768,1.1266487836837769,1.3117921352386475,1.277428150177002
