epoch,phase,selection_warmup,eligible_checkpoint,checkpoint_update,loss,expected_log_likelihood,expected_log_prior,expected_log_q,kl_q_prior,elbo,val_mse,val_signal_r2,val_draw_r2_median,val_draw_r2_positive_prob,val_zero_function_prob,val_constant_function_prob,val_corr2,val_function_energy_mean,val_function_energy_median,pip_rmse_truth,pip_rmse_mcmc,true_active_skl,true_active_skl_mean,zero_js,zero_js_mean,n_truth_active,n_truth_zero,n_valid_true_active_skl,selection_mode,reference_compatibility,rmse_with_mcmc,true_skl
1,repr,True,False,False,859.1492919921875,-805.8466186523438,-22.833688735961914,-15.280684471130371,7.553005695343018,-813.399658203125,10.411352157592773,-5.728888034820557,-5.780026435852051,0.0,0.0,0.0,0.5921439528465271,0.6484747529029846,0.3354785442352295,0.32035542761127056,0.4068122122060743,22.943872292915767,22.943872292915767,0.14678437498621244,0.13627391125954547,2,3,2,unit_group,exact,0.4068122122060743,22.943872292915767
250,repr,True,False,False,165.88429260253906,-143.2586669921875,-30.11425018310547,-8.01372241973877,22.100526809692383,-165.35919189453125,0.0337710864841938,0.9781736731529236,0.9431941509246826,0.9990000128746033,0.0,0.0,0.9852744340896606,12.609734535217285,12.55225944519043,0.32465550973300916,0.3941277153411062,4.0637946510732466,4.0637946510732466,0.14303779632029434,0.1298040726082881,2,3,2,unit_group,exact,0.3941277153411062,4.0637946510732466
500,repr,True,False,False,162.84324645996094,-143.50491333007812,-30.089557647705078,-10.737984657287598,19.351572036743164,-162.8564910888672,0.02513567917048931,0.9837547540664673,0.9482214450836182,1.0,0.0,0.0,0.9850379228591919,11.910873413085938,11.803775787353516,0.3239984567864483,0.3781444909026178,3.8126441257891557,3.8126441257891557,0.1336841494096288,0.12380496436928114,2,3,2,unit_group,exact,0.3781444909026178,3.8126441257891557
750,repr,True,False,False,160.55612182617188,-143.82321166992188,-30.388092041015625,-12.983217239379883,17.404878616333008,-161.22808837890625,0.021332520991563797,0.9862127304077148,0.9472756385803223,0.9990000128746033,0.0,0.0,0.9872800707817078,11.751157760620117,11.63713264465332,0.31871335083425667,0.39695880894621804,3.4601502206339427,3.4601502206339427,0.1473247248849633,0.13312514121508076,2,3,2,unit_group,exact,0.39695880894621804,3.4601502206339427
1000,repr,True,False,False,160.53024291992188,-142.9816436767578,-30.421506881713867,-13.528769493103027,16.892738342285156,-159.8743896484375,0.02535446733236313,0.9836133122444153,0.9474733471870422,1.0,0.0,0.0,0.9852171540260315,12.248895645141602,12.176916122436523,0.32562647312526666,0.38272441259998036,2.956606805229594,2.956606805229594,0.13987565825210263,0.12503408940205998,2,3,2,unit_group,exact,0.38272441259998036,2.956606805229594
1250,select,False,False,False,164.35621643066406,-143.24642944335938,-31.382488250732422,-12.116589546203613,19.265897750854492,-162.51234436035156,0.020833365619182587,0.9865353107452393,0.9488126635551453,0.9980000257492065,0.0,0.0,0.9888557195663452,12.319711685180664,12.295839309692383,0.6648857044635567,0.05687509120871808,0.3248453695361712,0.3248453695361712,0.004783589748975119,0.00493312817338093,2,3,2,unit_group,exact,0.05687509120871808,0.3248453695361712
1500,select,False,False,False,162.91583251953125,-142.82066345214844,-31.063798904418945,-12.031841278076172,19.031963348388672,-161.8526153564453,0.028073463588953018,0.9818560481071472,0.946324348449707,0.9990000128746033,0.0,0.0,0.9872868061065674,12.451949119567871,12.4132661819458,0.6802709754208245,0.07983968937815326,0.36519195009963173,0.36519195009963173,0.010778157954358838,0.009056223850795119,2,3,2,unit_group,exact,0.07983968937815326,0.36519195009963173
1750,select,False,False,False,160.8063201904297,-143.16880798339844,-31.619596481323242,-13.399886131286621,18.219715118408203,-161.38853454589844,0.03784949332475662,0.9755377769470215,0.9395606517791748,0.996999979019165,0.0,0.0,0.9858121871948242,12.802816390991211,12.774145126342773,0.607716545767844,0.022263333083794985,0.321251156992604,0.321251156992604,0.0004926415911782286,0.0005565528164425145,2,3,2,unit_group,exact,0.022263333083794985,0.321251156992604
2000,select,False,False,False,165.07247924804688,-142.57568359375,-31.31476593017578,-13.13883113861084,18.175931930541992,-160.75161743164062,0.05138276144862175,0.9667911529541016,0.9338163137435913,0.9990000128746033,0.0,0.0,0.9811336398124695,12.94408130645752,12.916988372802734,0.6080963739408417,0.01852177097364073,0.3879549018062859,0.3879549018062859,0.0004155860699812247,0.0004137631857836991,2,3,2,unit_group,exact,0.01852177097364073,0.3879549018062859
2250,select,False,False,False,160.57717895507812,-142.68338012695312,-31.10210609436035,-12.718377113342285,18.38372802734375,-161.06710815429688,0.017676014453172684,0.9885759353637695,0.9549880027770996,1.0,0.0,0.0,0.9886878728866577,11.89724349975586,11.85071086883545,0.5826803583440925,0.04970006036213639,0.4927245604446313,0.4927245604446313,0.0032086500066932,0.002796627515595781,2,3,2,unit_group,exact,0.04970006036213639,0.4927245604446313
2500,select,False,False,False,162.60104370117188,-143.94509887695312,-31.655635833740234,-14.054647445678711,17.60099220275879,-161.54611206054688,0.020975403487682343,0.9864435195922852,0.9524906277656555,0.996999979019165,0.0,0.0,0.988935112953186,11.535802841186523,11.539239883422852,0.5202543608659134,0.12871416394476562,0.24239336040509613,0.24239336040509613,0.019522563010147154,0.01855911514717035,2,3,2,unit_group,exact,0.12871416394476562,0.24239336040509613
