method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,2500,0,0,2,2,2,1,1.0,0.998353123664856,1.7177605628967285,0.5208672881126404,1.683793306350708,1.3346039056777954,2.1206018924713135,2.117076873779297
RaT,2500,0,0,4,4,4,2,1.0,0.9960752725601196,1.659912347793579,0.5233271718025208,1.604901909828186,1.2392809391021729,1.8506650924682617,1.8435012102127075
RaT,2500,0,0,3,3,3,3,0.6425999999046326,0.47612714767456055,0.4368976652622223,1.1228281259536743,1.0156481266021729,0.541930615901947,0.5532181859016418,0.24304910004138947
RaT,2500,0,0,1,1,1,4,0.6132000088691711,0.44325321912765503,0.3360879421234131,1.2028125524520874,1.0782219171524048,0.5574955344200134,0.6281054615974426,0.22331753373146057
RaT,2500,0,0,0,0,0,5,0.607200026512146,0.4425143599510193,0.3456796705722809,1.1587915420532227,1.033132791519165,0.541195809841156,0.6037122011184692,0.22130757570266724
MCMC,,0,0,3,3,3,1,0.9047999978065491,0.8229360580444336,1.3337281942367554,1.0355161428451538,1.3739336729049683,1.0655221939086914,1.439467430114746,1.2489591836929321
MCMC,,0,0,0,0,0,2,0.8826000094413757,0.8063279986381531,1.2787580490112305,1.0886404514312744,1.4675981998443604,1.0332844257354736,1.4939284324645996,1.2958420515060425
MCMC,,0,0,4,4,4,3,0.8551999926567078,0.7387598156929016,1.1588833332061768,1.1266487836837769,1.3117921352386475,0.904867947101593,1.1853569746017456,0.9117492437362671
MCMC,,0,0,1,1,1,4,0.8532000184059143,0.7511634230613708,1.1714766025543213,1.120368242263794,1.3170909881591797,0.9199514389038086,1.2355047464370728,0.9681100845336914
MCMC,,0,0,2,2,2,5,0.8393999934196472,0.712273895740509,1.101958155632019,1.1507052183151245,1.3540939092636108,0.8577451109886169,1.1252034902572632,0.8374321460723877
