method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2500,0,unit,0,0,0,0,group,0.19760000705718994,0.03219493478536606,-0.46558916568756104,0.5535484552383423,1.1664496660232544,1.084109902381897
RaT,2500,1,unit,0,0,1,1,group,0.09319999814033508,0.006575866136699915,-0.6054855585098267,0.4580076038837433,1.1950063705444336,1.1243717670440674
RaT,2500,2,unit,0,0,2,2,group,1.0,1.8047293424606323,1.3305909633636475,0.18510445952415466,1.3863030672073364,1.3791992664337158
RaT,2500,3,unit,0,0,3,3,group,0.05640000104904175,0.0037204520776867867,-0.6760538220405579,0.4372597336769104,1.1223300695419312,1.04923415184021
RaT,2500,4,unit,0,0,4,4,group,1.0,1.5742292404174805,1.236310362815857,0.21395152807235718,1.4144535064697266,1.4026024341583252
MCMC,,0,unit,0,0,0,0,group,0.576200008392334,0.8522920608520508,0.2369290590286255,1.119364619255066,1.2551326751708984,1.1870533227920532
MCMC,,1,unit,0,0,1,1,group,0.6603999733924866,2.0153684616088867,0.6653909087181091,1.3861757516860962,1.0923922061920166,1.0054311752319336
MCMC,,2,unit,0,0,2,2,group,0.8560000061988831,2.4693188667297363,1.1961575746536255,1.0757185220718384,1.1805496215820312,1.0538100004196167
MCMC,,3,unit,0,0,3,3,group,0.8190000057220459,2.072280168533325,1.0568196773529053,1.0666048526763916,1.2689552307128906,1.1710628271102905
MCMC,,4,unit,0,0,4,4,group,0.8091999888420105,1.923408031463623,0.9754078388214111,1.0757859945297241,1.1584548950195312,1.04928457736969
