method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,1,0,0,1,1,1,1,0.4970000088214874,0.23437339067459106,-0.021806584671139717,0.7083225846290588,0.6273091435432434,0.3900124430656433,0.24267278611660004,0.05878350883722305
RaT,1,0,0,0,0,0,2,0.4860000014305115,0.23420435190200806,-0.019224748015403748,0.7023109793663025,0.619172215461731,0.3842717707157135,0.23473437130451202,0.05753827840089798
RaT,1,0,0,4,4,4,3,0.48399999737739563,0.2248838245868683,-0.03627728298306465,0.7088717222213745,0.5877266526222229,0.3723677396774292,0.21665625274181366,0.047693122178316116
RaT,1,0,0,3,3,3,4,0.4779999852180481,0.2211039662361145,-0.02655941992998123,0.6811612248420715,0.5939780473709106,0.3797096610069275,0.2253112643957138,0.04799176752567291
RaT,1,0,0,2,2,2,5,0.4490000009536743,0.23441901803016663,-0.05322173237800598,0.7045282125473022,0.6133561730384827,0.3768213093280792,0.2304958999156952,0.052202630788087845
RaT,250,0,0,4,4,4,1,0.5109999775886536,0.9705780744552612,0.009334358386695385,1.3937475681304932,1.5948539972305298,1.155733585357666,1.8449692726135254,1.7972537279129028
RaT,250,0,0,1,1,1,2,0.4950000047683716,0.9075636267662048,-0.021674996241927147,1.3644448518753052,0.9580815434455872,0.19266828894615173,0.1863236278295517,0.16924597322940826
RaT,250,0,0,3,3,3,3,0.4860000014305115,0.8981838226318359,-0.03851551190018654,1.374238133430481,0.9958938956260681,0.3008846342563629,0.3010008633136749,0.24980971217155457
RaT,250,0,0,0,0,0,4,0.48399999737739563,0.9517505168914795,-0.0882643610239029,1.4357267618179321,1.043650507926941,0.4193544089794159,0.443785697221756,0.4081186354160309
RaT,250,0,0,2,2,2,5,0.47999998927116394,0.9237584471702576,-0.08491043746471405,1.4284627437591553,1.5566885471343994,1.2293463945388794,1.912509799003601,1.7637534141540527
RaT,500,0,0,4,4,4,1,0.5370000004768372,0.9824422597885132,0.08904048055410385,1.3616634607315063,1.554142951965332,1.127436876296997,1.729956865310669,1.7302690744400024
RaT,500,0,0,1,1,1,2,0.5220000147819519,1.0871344804763794,0.011433163657784462,1.4954330921173096,0.9162354469299316,0.21549668908119202,0.20125290751457214,0.21610027551651
RaT,500,0,0,2,2,2,3,0.49799999594688416,1.0658657550811768,0.022089920938014984,1.4266400337219238,1.6032607555389404,1.2980884313583374,2.0679879188537598,2.2298429012298584
RaT,500,0,0,3,3,3,4,0.49300000071525574,0.9798371195793152,0.01480784360319376,1.372460961341858,1.029018521308899,0.23972558975219727,0.25049614906311035,0.2294355034828186
RaT,500,0,0,0,0,0,5,0.4909999966621399,0.9677519202232361,-0.0411437526345253,1.4154664278030396,1.061913013458252,0.400676965713501,0.45056578516960144,0.4375123083591461
RaT,750,0,0,4,4,4,1,0.5,0.9335107207298279,-0.021353036165237427,1.387965202331543,1.6018913984298706,1.1508868932724,1.790612816810608,1.6501743793487549
RaT,750,0,0,2,2,2,2,0.49799999594688416,0.9903260469436646,-0.0195551086217165,1.4288606643676758,1.6050329208374023,1.2747645378112793,2.010488510131836,1.9974451065063477
RaT,750,0,0,1,1,1,3,0.4860000014305115,1.0682191848754883,0.02222035638988018,1.4207432270050049,0.9832988381385803,0.2888140082359314,0.28295257687568665,0.29186496138572693
RaT,750,0,0,3,3,3,4,0.48500001430511475,0.8974679708480835,-0.03461962938308716,1.3677797317504883,0.993657648563385,0.3251759111881256,0.32288727164268494,0.2910287380218506
RaT,750,0,0,0,0,0,5,0.4779999852180481,0.9063385128974915,-0.077040895819664,1.4076087474822998,1.076454520225525,0.4665471911430359,0.5365121960639954,0.4641357958316803
RaT,1000,0,0,2,2,2,1,0.5239999890327454,1.0573489665985107,0.08748748898506165,1.3926358222961426,1.6695733070373535,1.2681835889816284,2.0766193866729736,2.1974878311157227
RaT,1000,0,0,1,1,1,2,0.5070000290870667,1.0085200071334839,0.021668262779712677,1.3867285251617432,0.9804558753967285,0.3861236274242401,0.40233200788497925,0.42086154222488403
RaT,1000,0,0,3,3,3,3,0.5009999871253967,1.0269626379013062,0.027249544858932495,1.4087374210357666,1.0008876323699951,0.41429832577705383,0.40086159110069275,0.36361047625541687
RaT,1000,0,0,0,0,0,4,0.4950000047683716,0.8709480166435242,-0.002263565082103014,1.3364884853363037,1.0133967399597168,0.4866132438182831,0.5609039068222046,0.488921582698822
RaT,1000,0,0,4,4,4,5,0.4880000054836273,0.855315625667572,-0.0697980523109436,1.3561406135559082,1.5786550045013428,1.2537062168121338,1.8902623653411865,1.625610113143921
RaT,1250,0,0,2,2,2,1,1.0,1.9461567401885986,1.3934974670410156,0.06577210128307343,1.344005823135376,0.780186653137207,0.9958168268203735,1.9328593015670776
RaT,1250,0,0,4,4,4,2,1.0,1.872239112854004,1.3649638891220093,0.09550999850034714,1.3498927354812622,0.9817284941673279,1.2851594686508179,2.3695077896118164
RaT,1250,0,0,3,3,3,3,0.21400000154972076,0.02930665761232376,-0.37855932116508484,0.4830765426158905,1.1238274574279785,0.6860086917877197,0.740632951259613,0.022227797657251358
RaT,1250,0,0,1,1,1,4,0.14499999582767487,0.011803730390965939,-0.42938265204429626,0.4138685464859009,1.22821044921875,0.714737057685852,0.9046850800514221,0.011414263397455215
RaT,1250,0,0,0,0,0,5,0.13199999928474426,0.009492198936641216,-0.458793580532074,0.41354304552078247,1.0899738073349,0.5971415638923645,0.683733344078064,0.008368759416043758
RaT,1500,0,0,2,2,2,1,1.0,1.8137547969818115,1.3432683944702148,0.09692244231700897,1.336307406425476,0.8515871167182922,1.0971410274505615,1.9534589052200317
RaT,1500,0,0,4,4,4,2,1.0,1.488345742225647,1.212817907333374,0.13204513490200043,1.3921868801116943,1.0124484300613403,1.3683550357818604,1.9526039361953735
RaT,1500,0,0,3,3,3,3,0.1420000046491623,0.012904198840260506,-0.4947356581687927,0.4606235921382904,1.2174293994903564,0.729993999004364,0.8324447274208069,0.009837334044277668
RaT,1500,0,0,0,0,0,4,0.1340000033378601,0.013676149770617485,-0.5465871691703796,0.48757144808769226,1.1486403942108154,0.6980413794517517,0.8474530577659607,0.013747618533670902
RaT,1500,0,0,1,1,1,5,0.11400000005960464,0.008192733861505985,-0.5427287220954895,0.45536676049232483,1.1811071634292603,0.7375554442405701,0.857215166091919,0.0065076276659965515
RaT,1750,0,0,2,2,2,1,1.0,1.537318229675293,1.2347438335418701,0.11286661773920059,1.3530137538909912,0.9317997097969055,1.2271592617034912,1.8316972255706787
RaT,1750,0,0,4,4,4,2,1.0,1.4527357816696167,1.1959460973739624,0.1499052494764328,1.458936333656311,1.0356717109680176,1.447401762008667,1.989286184310913
RaT,1750,0,0,0,0,0,3,0.1420000046491623,0.016611216589808464,-0.5725086331367493,0.5414919257164001,1.1801140308380127,0.7376841306686401,0.8672962188720703,0.013065825216472149
RaT,1750,0,0,3,3,3,4,0.14100000262260437,0.015481377020478249,-0.5344345569610596,0.49777838587760925,1.2609418630599976,0.7055118680000305,0.8316529989242554,0.012725639156997204
RaT,1750,0,0,1,1,1,5,0.13099999725818634,0.009485069662332535,-0.5405486822128296,0.4564501643180847,1.1609864234924316,0.6752513647079468,0.7778381109237671,0.005194493103772402
RaT,2000,0,0,2,2,2,1,1.0,1.783819556236267,1.3275827169418335,0.14616814255714417,1.3625224828720093,0.9191403985023499,1.2118202447891235,2.0630931854248047
RaT,2000,0,0,4,4,4,2,1.0,1.5462909936904907,1.227624773979187,0.19816046953201294,1.3960233926773071,1.0072170495986938,1.3204890489578247,1.8649240732192993
RaT,2000,0,0,0,0,0,3,0.11900000274181366,0.01452145166695118,-0.5630701184272766,0.4842132329940796,1.19770085811615,0.7278215289115906,0.863081157207489,0.008847947232425213
RaT,2000,0,0,3,3,3,4,0.11599999666213989,0.010690984316170216,-0.5857724547386169,0.48270612955093384,1.1707614660263062,0.6711617708206177,0.7549790143966675,0.011432684026658535
RaT,2000,0,0,1,1,1,5,0.07000000029802322,0.006171281915158033,-0.6054240465164185,0.43082600831985474,1.2224124670028687,0.7433895468711853,0.9207630157470703,0.004714130889624357
RaT,2250,0,0,2,2,2,1,1.0,1.7013009786605835,1.295900821685791,0.14820267260074615,1.3528887033462524,0.9903112649917603,1.3019356727600098,2.111548662185669
RaT,2250,0,0,4,4,4,2,1.0,1.6184983253479004,1.2567455768585205,0.19780810177326202,1.3912235498428345,1.0388959646224976,1.3958940505981445,2.073842763900757
RaT,2250,0,0,0,0,0,3,0.1459999978542328,0.013862746767699718,-0.5271621346473694,0.5007491707801819,1.0800644159317017,0.6631096005439758,0.7202076315879822,0.010508880950510502
RaT,2250,0,0,3,3,3,4,0.13500000536441803,0.011783287860453129,-0.51954185962677,0.461025208234787,1.117830753326416,0.6852879524230957,0.738060474395752,0.00880537647753954
RaT,2250,0,0,1,1,1,5,0.09200000017881393,0.008585956878960133,-0.6042015552520752,0.45087140798568726,1.0827655792236328,0.6644952297210693,0.7155433893203735,0.005160063970834017
RaT,2500,0,0,2,2,2,1,1.0,1.7833927869796753,1.3237069845199585,0.1767016053199768,1.4084821939468384,0.9173058271408081,1.2660737037658691,2.113278865814209
RaT,2500,0,0,4,4,4,2,1.0,1.6047569513320923,1.2467366456985474,0.22462207078933716,1.420512080192566,1.04548978805542,1.4431086778640747,2.0797197818756104
RaT,2500,0,0,0,0,0,3,0.22300000488758087,0.03634316846728325,-0.43668150901794434,0.5586220622062683,1.1633696556091309,0.7497091293334961,0.8853901624679565,0.026900215074419975
RaT,2500,0,0,1,1,1,4,0.07199999690055847,0.005125907249748707,-0.6215455532073975,0.42874953150749207,1.1908622980117798,0.6615117192268372,0.7956880927085876,0.003645164892077446
RaT,2500,0,0,3,3,3,5,0.06599999964237213,0.005120459944009781,-0.671185314655304,0.4409216642379761,1.126340389251709,0.6338701248168945,0.6907057166099548,0.0028348760679364204
