epoch,phase,selection_warmup,eligible_checkpoint,checkpoint_update,loss,expected_log_likelihood,expected_log_prior,expected_log_q,kl_q_prior,elbo,val_mse,val_signal_r2,val_draw_r2_median,val_draw_r2_positive_prob,val_zero_function_prob,val_constant_function_prob,val_corr2,val_function_energy_mean,val_function_energy_median,pip_rmse_truth,pip_rmse_mcmc,true_active_skl,true_active_skl_mean,zero_js,zero_js_mean,n_truth_active,n_truth_zero,n_valid_true_active_skl,selection_mode,reference_compatibility,rmse_with_mcmc,true_skl
1,repr,True,False,False,979.6458129882812,-855.2814331054688,-23.009246826171875,-16.04503631591797,6.96420955657959,-862.2456665039062,11.27510929107666,-6.287136554718018,-6.480245590209961,0.0,0.0,0.0,0.9528040885925293,0.7786815166473389,0.4030163884162903,0.29985196347531223,0.32465794923272706,2.6196987307902386,2.6196987307902386,0.06235036970802159,0.0658928331706753,2,3,2,unit_group,exact,0.32465794923272706,2.6196987307902386
250,repr,True,False,False,240.16339111328125,-226.16957092285156,-29.07418441772461,-13.62190055847168,15.45228099822998,-241.62185668945312,0.9720897078514099,0.37173551321029663,-0.027157306671142578,0.4740000069141388,0.0,0.0,0.49819907546043396,9.854290962219238,9.140768051147461,0.3451544581777845,0.506711262949621,1.2544827340483446,1.2544827340483446,0.1550675094383197,0.15363962922880542,2,3,2,unit_group,exact,0.506711262949621,1.2544827340483446
500,repr,True,False,False,176.51400756835938,-148.91644287109375,-28.582406997680664,-3.5329792499542236,25.049428939819336,-173.9658660888672,0.026297366246581078,0.9830039143562317,0.8916937708854675,0.9950000047683716,0.0,0.0,0.990515410900116,12.207329750061035,12.016522407531738,0.3066202863477888,0.5147162169584324,1.4520705044548272,1.4520705044548272,0.21806044373535827,0.1945368790474958,2,3,2,unit_group,exact,0.5147162169584324,1.4520705044548272
750,repr,True,False,False,168.38926696777344,-145.68031311035156,-29.066282272338867,-6.161226272583008,22.905054092407227,-168.5853729248047,0.02174512669444084,0.9859460592269897,0.9271685481071472,0.9990000128746033,0.0,0.0,0.9885812997817993,12.221269607543945,12.148398399353027,0.2840714698803806,0.4705602023120953,0.8081802966846788,0.8081802966846788,0.1680546146431141,0.1607268518931775,2,3,2,unit_group,exact,0.4705602023120953,0.8081802966846788
1000,repr,True,False,False,164.75807189941406,-144.7548065185547,-29.41582489013672,-8.824441909790039,20.591381072998047,-165.34619140625,0.025963444262742996,0.9832197427749634,0.9295531511306763,1.0,0.0,0.0,0.9887866973876953,12.521303176879883,12.438673973083496,0.2697328307789024,0.414522211708854,0.708008080463792,0.708008080463792,0.12740932586935297,0.12209851698325762,2,3,2,unit_group,exact,0.414522211708854,0.708008080463792
1250,select,False,False,False,175.23228454589844,-148.0792236328125,-27.791597366333008,0.3967452347278595,28.188343048095703,-176.26756286621094,0.04493677243590355,0.9709572196006775,0.8934119939804077,0.9950000047683716,0.0,0.0,0.9797176718711853,12.76704216003418,12.673796653747559,0.7186316163376059,0.3043249973301569,1.9447360019610336,1.9447360019610336,0.13642970210358452,0.11210010626019862,2,3,2,unit_group,exact,0.3043249973301569,1.9447360019610336
1500,select,False,False,False,170.8504638671875,-144.34873962402344,-28.642202377319336,-2.328242540359497,26.313961029052734,-170.66270446777344,0.03708994388580322,0.9760286808013916,0.9255840182304382,1.0,0.0,0.0,0.9825024604797363,12.610858917236328,12.635078430175781,0.5800510322376817,0.09650939850605224,2.6691504054037507,2.6691504054037507,0.017699259053468537,0.017861786946097472,2,3,2,unit_group,exact,0.09650939850605224,2.6691504054037507
1750,select,False,False,False,169.5135955810547,-144.39610290527344,-28.987165451049805,-4.993159770965576,23.994009017944336,-168.39010620117188,0.022192422300577164,0.9856569766998291,0.9383121132850647,0.9980000257492065,0.0,0.0,0.9878061413764954,12.16796588897705,12.128026008605957,0.45466229225657145,0.0571421385669105,1.849198006337494,1.849198006337494,0.003447337307127943,0.0038838882559622417,2,3,2,unit_group,exact,0.0571421385669105,1.849198006337494
2000,select,False,False,False,168.14247131347656,-143.0004425048828,-29.611318588256836,-6.3590312004089355,23.252286911010742,-166.25274658203125,0.03325672447681427,0.9785060882568359,0.9384369254112244,1.0,0.0,0.0,0.9862018823623657,12.643251419067383,12.666231155395508,0.3657351500744767,0.15891665740255173,1.5983598860998738,1.5983598860998738,0.03170707923555892,0.02927612667450731,2,3,2,unit_group,exact,0.15891665740255173,1.5983598860998738
2250,select,False,False,False,166.45631408691406,-142.98959350585938,-30.028705596923828,-7.374974727630615,22.653730392456055,-165.643310546875,0.03785740211606026,0.9755326509475708,0.9385020732879639,1.0,0.0,0.0,0.9845975041389465,12.729460716247559,12.80320930480957,0.3181298477037325,0.20363679431772638,1.7817606874185397,1.7817606874185397,0.04608635142249705,0.048555628865327306,2,3,2,unit_group,exact,0.20363679431772638,1.7817606874185397
2500,select,False,False,False,165.58517456054688,-143.00924682617188,-30.000574111938477,-8.050594329833984,21.94997787475586,-164.95924377441406,0.027472510933876038,0.9822444319725037,0.9437694549560547,0.9990000128746033,0.0,0.0,0.9851654767990112,12.35563850402832,12.37769889831543,0.2814089550813904,0.24451246185010697,1.2255536775236862,1.2255536775236862,0.057159281147952275,0.06900995156512857,2,3,2,unit_group,exact,0.24451246185010697,1.2255536775236862
