method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,2500,0,0,0,0,0,1,1.0,1.6434273719787598,1.2737468481063843,0.14491532742977142,1.3445069789886475,0.9313699007034302,1.2108068466186523,1.9206429719924927
RaT,2500,0,0,1,1,1,2,1.0,2.0114243030548096,1.4004992246627808,0.2236877977848053,1.2925920486450195,0.8998082280158997,1.121495246887207,2.089412212371826
RaT,2500,0,0,4,4,4,3,0.3336000144481659,0.07720359414815903,-0.25487789511680603,0.5841323137283325,1.1377754211425781,0.676505446434021,0.7799637913703918,0.06732999533414841
RaT,2500,0,0,3,3,3,4,0.2687999904155731,0.0618501640856266,-0.33485814929008484,0.5718297362327576,1.121886968612671,0.666414201259613,0.7666894793510437,0.06255073100328445
RaT,2500,0,0,2,2,2,5,0.2515999972820282,0.03596719354391098,-0.3199809193611145,0.486623615026474,1.1336166858673096,0.6403441429138184,0.7384169697761536,0.02643006667494774
MCMC,,0,0,2,2,2,1,0.8560000061988831,2.4693188667297363,1.1961575746536255,1.0757185220718384,1.1805496215820312,0.8711298108100891,1.0223103761672974,1.6596498489379883
MCMC,,0,0,3,3,3,2,0.8190000057220459,2.072280168533325,1.0568196773529053,1.0666048526763916,1.2689552307128906,0.8782864212989807,0.9731283187866211,1.5103849172592163
MCMC,,0,0,4,4,4,3,0.8091999888420105,1.923408031463623,0.9754078388214111,1.0757859945297241,1.1584548950195312,0.9251988530158997,1.0449601411819458,1.432704210281372
MCMC,,0,0,1,1,1,4,0.6603999733924866,2.0153684616088867,0.6653909087181091,1.3861757516860962,1.0923922061920166,0.7770003080368042,0.843971848487854,0.8929572105407715
MCMC,,0,0,0,0,0,5,0.576200008392334,0.8522920608520508,0.2369290590286255,1.119364619255066,1.2551326751708984,0.7283631563186646,0.9242187738418579,0.5162994265556335
