method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,1,0,unit,0,0,0,0,group,0.5410000085830688,0.3387196660041809,0.08696021884679794,0.7469501495361328,0.6310519576072693,0.5772990584373474
RaT,1,1,unit,0,0,1,1,group,0.5249999761581421,0.26662492752075195,0.047693535685539246,0.6831282377243042,0.6237990856170654,0.5930456519126892
RaT,1,2,unit,0,0,2,2,group,0.4860000014305115,0.240950345993042,-0.0018662471557036042,0.6957725286483765,0.6192898750305176,0.5863950848579407
RaT,1,3,unit,0,0,3,3,group,0.5419999957084656,0.30473393201828003,0.08737155795097351,0.706494927406311,0.6411767601966858,0.5976641774177551
RaT,1,4,unit,0,0,4,4,group,0.5260000228881836,0.26042699813842773,0.043678101152181625,0.6844207644462585,0.6076317429542542,0.5740439295768738
RaT,250,0,unit,0,0,0,0,group,0.8259999752044678,2.8918004035949707,1.1601749658584595,1.3016595840454102,0.8312953114509583,0.8006353378295898
RaT,250,1,unit,0,0,1,1,group,0.7990000247955322,2.53177547454834,1.0540937185287476,1.2609432935714722,0.7088056802749634,0.6607969403266907
RaT,250,2,unit,0,0,2,2,group,0.7049999833106995,1.4751015901565552,0.6272593140602112,1.1461858749389648,0.9837151169776917,0.9359981417655945
RaT,250,3,unit,0,0,3,3,group,0.8360000252723694,3.8068418502807617,1.4164258241653442,1.3862687349319458,0.8122158050537109,0.7494109272956848
RaT,250,4,unit,0,0,4,4,group,0.8090000152587891,3.0073025226593018,1.1820443868637085,1.3375656604766846,0.9806918501853943,0.9721552133560181
RaT,500,0,unit,0,0,0,0,group,0.6880000233650208,1.4705692529678345,0.6002934575080872,1.1786906719207764,1.2827210426330566,1.2807239294052124
RaT,500,1,unit,0,0,1,1,group,0.7009999752044678,1.3426142930984497,0.5762505531311035,1.116274356842041,0.5213509798049927,0.4774790108203888
RaT,500,2,unit,0,0,2,2,group,0.7080000042915344,1.2071166038513184,0.5621747374534607,1.0588043928146362,1.485680341720581,1.487627625465393
RaT,500,3,unit,0,0,3,3,group,0.6850000023841858,1.2707830667495728,0.5502180457115173,1.1009641885757446,0.8935834765434265,0.8849851489067078
RaT,500,4,unit,0,0,4,4,group,0.699999988079071,1.5427695512771606,0.6290013790130615,1.20608389377594,1.0209205150604248,1.0340560674667358
RaT,750,0,unit,0,0,0,0,group,0.621999979019165,1.258926272392273,0.38552191853523254,1.2564107179641724,1.4310635328292847,1.4178447723388672
RaT,750,1,unit,0,0,1,1,group,0.6359999775886536,1.3153332471847534,0.3925430178642273,1.3000450134277344,0.921631395816803,0.8556677103042603
RaT,750,2,unit,0,0,2,2,group,0.6129999756813049,1.325381875038147,0.3789443075656891,1.286307454109192,1.5061510801315308,1.4993202686309814
RaT,750,3,unit,0,0,3,3,group,0.593999981880188,1.2303736209869385,0.32476404309272766,1.286960482597351,0.8765145540237427,0.8717464208602905
RaT,750,4,unit,0,0,4,4,group,0.6060000061988831,1.2981868982315063,0.3875880241394043,1.2728737592697144,0.9754853248596191,0.9455066919326782
RaT,1000,0,unit,0,0,0,0,group,0.5270000100135803,0.9649432301521301,0.09022302180528641,1.3120193481445312,1.515326976776123,1.5009608268737793
RaT,1000,1,unit,0,0,1,1,group,0.5419999957084656,1.20680570602417,0.16502733528614044,1.406275987625122,1.0149345397949219,0.9499723315238953
RaT,1000,2,unit,0,0,2,2,group,0.5260000228881836,1.1141527891159058,0.11051788181066513,1.4040741920471191,1.5192662477493286,1.5047825574874878
RaT,1000,3,unit,0,0,3,3,group,0.5490000247955322,1.0265140533447266,0.13057036697864532,1.3238898515701294,0.9240412712097168,0.8711523413658142
RaT,1000,4,unit,0,0,4,4,group,0.527999997138977,1.0701388120651245,0.059865884482860565,1.4267345666885376,0.9600816369056702,0.9044826626777649
RaT,1250,0,unit,0,0,0,0,group,0.7829999923706055,0.3680852949619293,0.3880949318408966,0.5016929507255554,1.4977521896362305,1.465566873550415
RaT,1250,1,unit,0,0,1,1,group,0.2709999978542328,0.11868056654930115,-0.5169650316238403,0.8664135336875916,1.0370302200317383,0.9517958760261536
RaT,1250,2,unit,0,0,2,2,group,1.0,2.1947007179260254,1.4684317111968994,0.1960810422897339,1.02135169506073,1.014339804649353
RaT,1250,3,unit,0,0,3,3,group,0.3889999985694885,0.1722341626882553,-0.1878439337015152,0.7154965996742249,0.9928217530250549,0.9132534265518188
RaT,1250,4,unit,0,0,4,4,group,0.44699999690055847,0.2522006630897522,-0.12002723664045334,0.800369918346405,1.1030288934707642,1.080370306968689
RaT,1500,0,unit,0,0,0,0,group,1.0,2.2098641395568848,1.4800808429718018,0.13872449100017548,1.3312934637069702,1.3206756114959717
RaT,1500,1,unit,0,0,1,1,group,0.35600000619888306,0.0778665617108345,-0.26413458585739136,0.6147339344024658,1.0364904403686523,0.9312306642532349
RaT,1500,2,unit,0,0,2,2,group,1.0,2.986691474914551,1.7247650623321533,0.10903728753328323,0.8838874101638794,0.8756186366081238
RaT,1500,3,unit,0,0,3,3,group,0.3799999952316284,0.07666602730751038,-0.14502859115600586,0.48706287145614624,1.060922622680664,0.979963481426239
RaT,1500,4,unit,0,0,4,4,group,0.4580000042915344,0.19818750023841858,-0.03911049664020538,0.6550116539001465,1.0874234437942505,1.0143438577651978
RaT,1750,0,unit,0,0,0,0,group,1.0,2.228396415710449,1.4853345155715942,0.14899732172489166,1.2712498903274536,1.2507010698318481
RaT,1750,1,unit,0,0,1,1,group,0.22300000488758087,0.0299321711063385,-0.42548859119415283,0.5290201306343079,1.1846321821212769,1.1137769222259521
RaT,1750,2,unit,0,0,2,2,group,1.0,2.568848133087158,1.6004778146743774,0.0855921059846878,0.9469837546348572,0.940658450126648
RaT,1750,3,unit,0,0,3,3,group,0.2639999985694885,0.039723534137010574,-0.318121075630188,0.4938030242919922,1.1734404563903809,1.1001824140548706
RaT,1750,4,unit,0,0,4,4,group,0.2150000035762787,0.033408306539058685,-0.3977077007293701,0.5008586645126343,1.123292326927185,1.0387792587280273
RaT,2000,0,unit,0,0,0,0,group,1.0,2.135436534881592,1.4494011402130127,0.18629972636699677,1.3158748149871826,1.2934614419937134
RaT,2000,1,unit,0,0,1,1,group,0.20100000500679016,0.027663640677928925,-0.43660101294517517,0.524630069732666,1.1601133346557617,1.0903135538101196
RaT,2000,2,unit,0,0,2,2,group,1.0,2.331786632537842,1.524867296218872,0.08107321709394455,1.0212234258651733,1.0106196403503418
RaT,2000,3,unit,0,0,3,3,group,0.1899999976158142,0.023712625727057457,-0.4186900556087494,0.48177674412727356,1.1760185956954956,1.1054974794387817
RaT,2000,4,unit,0,0,4,4,group,0.20900000631809235,0.03223973885178566,-0.40983283519744873,0.5097283720970154,1.1472663879394531,1.0696052312850952
RaT,2250,0,unit,0,0,0,0,group,1.0,2.0249035358428955,1.407470941543579,0.20969825983047485,1.3317291736602783,1.3032305240631104
RaT,2250,1,unit,0,0,1,1,group,0.17100000381469727,0.019967105239629745,-0.48618659377098083,0.5086077451705933,1.1376818418502808,1.0549037456512451
RaT,2250,2,unit,0,0,2,2,group,1.0,2.0984654426574707,1.4459315538406372,0.08806227147579193,1.0827140808105469,1.067230463027954
RaT,2250,3,unit,0,0,3,3,group,0.21699999272823334,0.03722534328699112,-0.3884427845478058,0.5176603198051453,1.1629066467285156,1.0742664337158203
RaT,2250,4,unit,0,0,4,4,group,0.13899999856948853,0.014767576940357685,-0.5147480368614197,0.48041531443595886,1.1187124252319336,1.0773584842681885
RaT,2500,0,unit,0,0,0,0,group,1.0,1.9637408256530762,1.3838826417922974,0.22058604657649994,1.357703447341919,1.3246194124221802
RaT,2500,1,unit,0,0,1,1,group,0.21699999272823334,0.029632678255438805,-0.4371887743473053,0.5407427549362183,1.1828662157058716,1.090976357460022
RaT,2500,2,unit,0,0,2,2,group,1.0,2.030576705932617,1.4217497110366821,0.09598671644926071,1.1224737167358398,1.1009063720703125
RaT,2500,3,unit,0,0,3,3,group,0.1770000010728836,0.025470823049545288,-0.47947603464126587,0.5332428216934204,1.1853957176208496,1.0928694009780884
RaT,2500,4,unit,0,0,4,4,group,0.1459999978542328,0.014206432737410069,-0.5099847316741943,0.4783121347427368,1.2027584314346313,1.1335463523864746
