method,epoch,group_id,selection_type,block,layer,unit,global_unit,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
RaT,2500,0,unit,0,0,0,0,group,1.0,1.9669421911239624,1.38484787940979,0.22169536352157593,1.3533570766448975,1.3196920156478882
RaT,2500,1,unit,0,0,1,1,group,0.19480000436306,0.026365146040916443,-0.4654993712902069,0.5442326664924622,1.1970980167388916,1.1192868947982788
RaT,2500,2,unit,0,0,2,2,group,1.0,2.0478694438934326,1.4280446767807007,0.09251594543457031,1.132199764251709,1.1101232767105103
RaT,2500,3,unit,0,0,3,3,group,0.1809999942779541,0.025784887373447418,-0.4594442844390869,0.5060707330703735,1.185881495475769,1.1063578128814697
RaT,2500,4,unit,0,0,4,4,group,0.1518000066280365,0.01939692161977291,-0.48760154843330383,0.4900144934654236,1.1755892038345337,1.0946338176727295
MCMC,,0,unit,0,0,0,0,group,0.576200008392334,0.8522920608520508,0.2369290590286255,1.119364619255066,1.2551326751708984,1.1870533227920532
MCMC,,1,unit,0,0,1,1,group,0.6603999733924866,2.0153684616088867,0.6653909087181091,1.3861757516860962,1.0923922061920166,1.0054311752319336
MCMC,,2,unit,0,0,2,2,group,0.8560000061988831,2.4693188667297363,1.1961575746536255,1.0757185220718384,1.1805496215820312,1.0538100004196167
MCMC,,3,unit,0,0,3,3,group,0.8190000057220459,2.072280168533325,1.0568196773529053,1.0666048526763916,1.2689552307128906,1.1710628271102905
MCMC,,4,unit,0,0,4,4,group,0.8091999888420105,1.923408031463623,0.9754078388214111,1.0757859945297241,1.1584548950195312,1.04928457736969
