method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,1,0,0,3,3,3,1,0.5419999957084656,0.30473393201828003,0.08737155795097351,0.706494927406311,0.6411767601966858,0.3952791690826416,0.25650328397750854,0.0747927725315094
RaT,1,0,0,0,0,0,2,0.5410000085830688,0.3387196660041809,0.08696021884679794,0.7469501495361328,0.6310519576072693,0.41231679916381836,0.2583357095718384,0.07769135385751724
RaT,1,0,0,4,4,4,3,0.5260000228881836,0.26042699813842773,0.043678101152181625,0.6844207644462585,0.6076317429542542,0.3949376940727234,0.23732362687587738,0.06641190499067307
RaT,1,0,0,1,1,1,4,0.5249999761581421,0.26662492752075195,0.047693535685539246,0.6831282377243042,0.6237990856170654,0.39519375562667847,0.2460639327764511,0.05950816348195076
RaT,1,0,0,2,2,2,5,0.4860000014305115,0.240950345993042,-0.0018662471557036042,0.6957725286483765,0.6192898750305176,0.410576730966568,0.2516748607158661,0.07767144590616226
RaT,250,0,0,3,3,3,1,0.8360000252723694,3.8068418502807617,1.4164258241653442,1.3862687349319458,0.8122158050537109,0.5646933317184448,0.46840324997901917,1.6693869829177856
RaT,250,0,0,0,0,0,2,0.8259999752044678,2.8918004035949707,1.1601749658584595,1.3016595840454102,0.8312953114509583,0.5459195971488953,0.464681476354599,1.3462438583374023
RaT,250,0,0,4,4,4,3,0.8090000152587891,3.0073025226593018,1.1820443868637085,1.3375656604766846,0.9806918501853943,0.5422493815422058,0.5423100590705872,1.667309045791626
RaT,250,0,0,1,1,1,4,0.7990000247955322,2.53177547454834,1.0540937185287476,1.2609432935714722,0.7088056802749634,0.5358917713165283,0.38405299186706543,0.9534106254577637
RaT,250,0,0,2,2,2,5,0.7049999833106995,1.4751015901565552,0.6272593140602112,1.1461858749389648,0.9837151169776917,0.6308884024620056,0.6450906991958618,0.9711343050003052
RaT,500,0,0,2,2,2,1,0.7080000042915344,1.2071166038513184,0.5621747374534607,1.0588043928146362,1.485680341720581,0.9876662492752075,1.461029052734375,1.822410225868225
RaT,500,0,0,1,1,1,2,0.7009999752044678,1.3426142930984497,0.5762505531311035,1.116274356842041,0.5213509798049927,0.356635719537735,0.18747228384017944,0.21642754971981049
RaT,500,0,0,4,4,4,3,0.699999988079071,1.5427695512771606,0.6290013790130615,1.20608389377594,1.0209205150604248,0.43750596046447754,0.43995311856269836,0.6690292358398438
RaT,500,0,0,0,0,0,4,0.6880000233650208,1.4705692529678345,0.6002934575080872,1.1786906719207764,1.2827210426330566,0.8763384819030762,1.1252501010894775,1.6598570346832275
RaT,500,0,0,3,3,3,5,0.6850000023841858,1.2707830667495728,0.5502180457115173,1.1009641885757446,0.8935834765434265,0.5112064480781555,0.4563741087913513,0.5742981433868408
RaT,750,0,0,1,1,1,1,0.6359999775886536,1.3153332471847534,0.3925430178642273,1.3000450134277344,0.921631395816803,0.2796999514102936,0.2667417526245117,0.31641480326652527
RaT,750,0,0,0,0,0,2,0.621999979019165,1.258926272392273,0.38552191853523254,1.2564107179641724,1.4310635328292847,1.072888970375061,1.5387622117996216,1.9194103479385376
RaT,750,0,0,2,2,2,3,0.6129999756813049,1.325381875038147,0.3789443075656891,1.286307454109192,1.5061510801315308,1.1420292854309082,1.7088547945022583,2.2385783195495605
RaT,750,0,0,4,4,4,4,0.6060000061988831,1.2981868982315063,0.3875880241394043,1.2728737592697144,0.9754853248596191,0.4298805594444275,0.423991858959198,0.5888243317604065
RaT,750,0,0,3,3,3,5,0.593999981880188,1.2303736209869385,0.32476404309272766,1.286960482597351,0.8765145540237427,0.35545337200164795,0.30328014492988586,0.38018688559532166
RaT,1000,0,0,3,3,3,1,0.5490000247955322,1.0265140533447266,0.13057036697864532,1.3238898515701294,0.9240412712097168,0.28422242403030396,0.2643042802810669,0.2771131694316864
RaT,1000,0,0,1,1,1,2,0.5419999957084656,1.20680570602417,0.16502733528614044,1.406275987625122,1.0149345397949219,0.34623706340789795,0.374713659286499,0.3738531768321991
RaT,1000,0,0,4,4,4,3,0.527999997138977,1.0701388120651245,0.059865884482860565,1.4267345666885376,0.9600816369056702,0.4015903174877167,0.42006397247314453,0.4841580092906952
RaT,1000,0,0,0,0,0,4,0.5270000100135803,0.9649432301521301,0.09022302180528641,1.3120193481445312,1.515326976776123,1.1710115671157837,1.774114727973938,1.7006911039352417
RaT,1000,0,0,2,2,2,5,0.5260000228881836,1.1141527891159058,0.11051788181066513,1.4040741920471191,1.5192662477493286,1.2583646774291992,1.89387845993042,2.098059892654419
RaT,1250,0,0,2,2,2,1,1.0,2.1947007179260254,1.4684317111968994,0.1960810422897339,1.02135169506073,0.8597392439842224,0.869572103023529,1.9084372520446777
RaT,1250,0,0,0,0,0,2,0.7829999923706055,0.3680852949619293,0.3880949318408966,0.5016929507255554,1.4977521896362305,0.9962889552116394,1.4964044094085693,0.5334601402282715
RaT,1250,0,0,4,4,4,3,0.44699999690055847,0.2522006630897522,-0.12002723664045334,0.800369918346405,1.1030288934707642,0.41785502433776855,0.49192845821380615,0.14058908820152283
