method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
RaT,2500,0,0,0,0,0,1,1.0,1.9669421911239624,1.38484787940979,0.22169536352157593,1.3533570766448975,0.8875240087509155,1.1885775327682495,2.169620990753174
RaT,2500,0,0,2,2,2,2,1.0,2.0478694438934326,1.4280446767807007,0.09251594543457031,1.132199764251709,0.8941470980644226,0.9711483120918274,1.9721320867538452
RaT,2500,0,0,1,1,1,3,0.19480000436306,0.026365146040916443,-0.4654993712902069,0.5442326664924622,1.1970980167388916,0.7122494578361511,0.874465823173523,0.018214963376522064
RaT,2500,0,0,3,3,3,4,0.1809999942779541,0.025784887373447418,-0.4594442844390869,0.5060707330703735,1.185881495475769,0.6697300672531128,0.799277126789093,0.02202698588371277
RaT,2500,0,0,4,4,4,5,0.1518000066280365,0.01939692161977291,-0.48760154843330383,0.4900144934654236,1.1755892038345337,0.704237163066864,0.8336990475654602,0.018770424649119377
MCMC,,0,0,2,2,2,1,0.8560000061988831,2.4693188667297363,1.1961575746536255,1.0757185220718384,1.1805496215820312,0.8711298108100891,1.0223103761672974,1.6596498489379883
MCMC,,0,0,3,3,3,2,0.8190000057220459,2.072280168533325,1.0568196773529053,1.0666048526763916,1.2689552307128906,0.8782864212989807,0.9731283187866211,1.5103849172592163
MCMC,,0,0,4,4,4,3,0.8091999888420105,1.923408031463623,0.9754078388214111,1.0757859945297241,1.1584548950195312,0.9251988530158997,1.0449601411819458,1.432704210281372
MCMC,,0,0,1,1,1,4,0.6603999733924866,2.0153684616088867,0.6653909087181091,1.3861757516860962,1.0923922061920166,0.7770003080368042,0.843971848487854,0.8929572105407715
MCMC,,0,0,0,0,0,5,0.576200008392334,0.8522920608520508,0.2369290590286255,1.119364619255066,1.2551326751708984,0.7283631563186646,0.9242187738418579,0.5162994265556335
