Experiment,Configuration,Structure,Gate,Transport,Conditioner,Architecture,Reference,Active SKL,Zero JS,Joint SKL,PIP RMSE truth,PIP RMSE reference,Signal MSE,Signal R2,Expected structure density,Train time (s),MCMC reliable,Archive note
Gate ablation,relu vs matched,unit_group,relu,affine,full_attention,shallow stacked,matched,0.4424333729389925,0.1678996491908746,1.1003355151898122,0.2834936471951356,0.3825699831403399,0.0988824591040611,0.9604509472846984,,270.33908629999496,,Early shallow screening; single-chain reference.
Gate ablation,relu vs hard,unit_group,relu,affine,full_attention,shallow stacked,hard,0.7895487138903481,0.162312348072629,3.1613021157102805,0.2834936471951356,0.3657069974720199,0.0988824591040611,0.9604509472846984,,270.33908629999496,,Early shallow screening; single-chain reference.
Gate ablation,normalized_requ vs matched,unit_group,normalized_requ,affine,full_attention,shallow stacked,matched,0.1942601675132632,0.0482954034468655,0.4730617994766459,0.5455212113199632,0.2028444724413263,0.0503996536135673,0.9798421263694764,,269.17425409995485,,Early shallow screening; single-chain reference.
Gate ablation,normalized_requ vs hard,unit_group,normalized_requ,affine,full_attention,shallow stacked,hard,0.5665120852985929,0.0029380092058847,1.884166156807597,0.5455212113199632,0.0678689325096542,0.0503996536135673,0.9798421263694764,,269.17425409995485,,Early shallow screening; single-chain reference.
Gate ablation,smooth_step vs matched,unit_group,smooth_step,affine,full_attention,shallow stacked,matched,0.3193000347756056,0.0214180352468601,0.7771861748012155,0.5180712306237435,0.1326244924589723,0.0819082558155059,0.9672399163246156,,264.26707969995914,,Early shallow screening; single-chain reference.
Gate ablation,smooth_step vs hard,unit_group,smooth_step,affine,full_attention,shallow stacked,hard,0.6697027619022782,0.009264738934898,1.5053404808515063,0.5180712306237435,0.0978260088115629,0.0819082558155059,0.9672399163246156,,264.26707969995914,,Early shallow screening; single-chain reference.
Conditioner ablation,full_attention,unit_group,ReQU,affine,full_attention,shallow stacked,matched MCMC,1.1647286650004935,0.1900860900262028,2.4166566722561784,0.1390887486463229,0.37601904207101,0.0481241084635257,0.9807522296905518,,270.0315015999949,,Historical conditioner comparison; full attention retained.
Conditioner ablation,separate_attention,unit_group,ReQU,affine,separate_attention,shallow stacked,matched MCMC,1.3208426288782489,0.051474939423043,3.29594896437388,0.2943371943876615,0.2328202396700081,0.0714666470885276,0.971416175365448,,128.79525320004905,,Historical conditioner comparison; full attention retained.
Conditioner ablation,shared_attention,unit_group,ReQU,affine,shared_attention,shallow stacked,matched MCMC,1.6607779616233411,0.1206476044711974,4.132460921630571,0.2002644251982862,0.3228733497828522,0.0555319786071777,0.9777894020080566,,89.20279219996883,,Historical conditioner comparison; full attention retained.
Bounded transport,feature_group | normalized_requ | affine,feature_group,normalized_requ,affine,improved_separate_attention,shallow stacked,matched MCMC,0.3473411516334172,0.0299102611104021,0.8984493315925908,0.0591070779743565,0.1449141311834931,0.0896138921380043,0.9690411686897278,,229.58707500004675,True,Four-chain p=6 benchmark; strongest legacy posterior comparison.
Bounded transport,feature_group | normalized_requ | spline,feature_group,normalized_requ,spline,improved_separate_attention,shallow stacked,matched MCMC,0.2648454929254531,0.0255198259152603,0.569246242785535,0.0698359983580579,0.1334667702089175,0.1577546745538711,0.9455006122589112,,236.1157997000264,True,Four-chain p=6 benchmark; strongest legacy posterior comparison.
Bounded transport,feature_group | smooth_step | affine,feature_group,smooth_step,affine,improved_separate_attention,shallow stacked,matched MCMC,0.32009381909224,0.0342019029799477,0.7241556187787361,0.0299289157839037,0.1314161488047289,0.0556605160236358,0.980771005153656,,164.31223939999472,True,Four-chain p=6 benchmark; strongest legacy posterior comparison.
