target,label,chain,pip
0,edge_E_0_0,1,0.6424
0,edge_E_0_0,2,0.6494
0,edge_E_0_0,3,0.7234
0,edge_E_0_0,4,0.7722
0,edge_E_0_0,pooled,0.69685
1,edge_E_0_1,1,0.5688
1,edge_E_0_1,2,0.6012
1,edge_E_0_1,3,0.5534
1,edge_E_0_1,4,0.6178
1,edge_E_0_1,pooled,0.5853
2,edge_E_0_2,1,0.5474
2,edge_E_0_2,2,0.5942
2,edge_E_0_2,3,0.5434
2,edge_E_0_2,4,0.6252
2,edge_E_0_2,pooled,0.57755
3,edge_E_0_3,1,0.78
3,edge_E_0_3,2,0.7158
3,edge_E_0_3,3,0.6492
3,edge_E_0_3,4,0.7428
3,edge_E_0_3,pooled,0.72195
4,edge_E_0_4,1,0.5922
4,edge_E_0_4,2,0.6198
4,edge_E_0_4,3,0.5774
4,edge_E_0_4,4,0.6526
4,edge_E_0_4,pooled,0.6105
5,edge_E_0_5,1,0.5724
5,edge_E_0_5,2,0.6096
5,edge_E_0_5,3,0.5732
5,edge_E_0_5,4,0.642
5,edge_E_0_5,pooled,0.5993
6,edge_E_1_0,1,0.7032
6,edge_E_1_0,2,0.8302
6,edge_E_1_0,3,0.7044
6,edge_E_1_0,4,0.789
6,edge_E_1_0,pooled,0.7567
7,edge_E_1_1,1,0.592
7,edge_E_1_1,2,0.539
7,edge_E_1_1,3,0.5696
7,edge_E_1_1,4,0.6472
7,edge_E_1_1,pooled,0.58695
8,edge_E_1_2,1,0.5982
8,edge_E_1_2,2,0.5338
8,edge_E_1_2,3,0.5522
8,edge_E_1_2,4,0.6242
8,edge_E_1_2,pooled,0.5771
9,edge_E_1_3,1,0.6542
9,edge_E_1_3,2,0.6756
9,edge_E_1_3,3,0.6062
9,edge_E_1_3,4,0.71
9,edge_E_1_3,pooled,0.6615
10,edge_E_1_4,1,0.6032
10,edge_E_1_4,2,0.5502
10,edge_E_1_4,3,0.5706
10,edge_E_1_4,4,0.6668
10,edge_E_1_4,pooled,0.5977
11,edge_E_1_5,1,0.6176
11,edge_E_1_5,2,0.568
11,edge_E_1_5,3,0.5732
11,edge_E_1_5,4,0.657
