target_type,target,label,truth_active,truth_pip,partition_source,rat_pip,mcmc_pip,pip_error_truth,pip_error,conditional_slab_skl,zero_mass_js,n_rat_active_draws,n_mcmc_active_draws
independent_edge_rank,0,independent_edge_rank_1,True,,matched_mcmc_pip_gt_0.5,0.8872,1.0,,-0.11280000000000001,9.657814142698031,,4436,20000
independent_edge_rank,1,independent_edge_rank_2,True,,matched_mcmc_pip_gt_0.5,0.7752,1.0,,-0.2248,11.683560072669241,,3876,20000
independent_edge_rank,2,independent_edge_rank_3,True,,matched_mcmc_pip_gt_0.5,0.6756,1.0,,-0.3244,6.291018674421663,,3378,20000
independent_edge_rank,3,independent_edge_rank_4,True,,matched_mcmc_pip_gt_0.5,0.5776,1.0,,-0.4224,6.139444386535615,,2888,20000
independent_edge_rank,4,independent_edge_rank_5,True,,matched_mcmc_pip_gt_0.5,0.4966,1.0,,-0.5034000000000001,5.727392737689879,,2483,20000
independent_edge_rank,5,independent_edge_rank_6,True,,matched_mcmc_pip_gt_0.5,0.4192,1.0,,-0.5808,4.933193361973917,,2096,20000
independent_edge_rank,6,independent_edge_rank_7,True,,matched_mcmc_pip_gt_0.5,0.3504,0.9999,,-0.6495,4.932350689548346,,1752,19998
independent_edge_rank,7,independent_edge_rank_8,True,,matched_mcmc_pip_gt_0.5,0.2882,0.99965,,-0.71145,4.363855269060937,,1441,19993
independent_edge_rank,8,independent_edge_rank_9,True,,matched_mcmc_pip_gt_0.5,0.2306,0.99885,,-0.76825,4.037263869692527,,1153,19977
independent_edge_rank,9,independent_edge_rank_10,True,,matched_mcmc_pip_gt_0.5,0.1744,0.99755,,-0.82315,3.8805184712854164,,872,19951
independent_edge_rank,10,independent_edge_rank_11,True,,matched_mcmc_pip_gt_0.5,0.1292,0.9944,,-0.8652,4.967620504790734,,646,19888
independent_edge_rank,11,independent_edge_rank_12,True,,matched_mcmc_pip_gt_0.5,0.0964,0.98965,,-0.89325,5.26331803255893,,482,19793
independent_edge_rank,12,independent_edge_rank_13,True,,matched_mcmc_pip_gt_0.5,0.0654,0.98065,,-0.91525,5.650294048047865,,327,19613
independent_edge_rank,13,independent_edge_rank_14,True,,matched_mcmc_pip_gt_0.5,0.0438,0.9665,,-0.9227000000000001,4.939289215774984,,219,19330
independent_edge_rank,14,independent_edge_rank_15,True,,matched_mcmc_pip_gt_0.5,0.0284,0.9473,,-0.9189,5.952416354946542,,142,18946
independent_edge_rank,15,independent_edge_rank_16,True,,matched_mcmc_pip_gt_0.5,0.0186,0.91855,,-0.89995,5.560337210109996,,93,18371
independent_edge_rank,16,independent_edge_rank_17,True,,matched_mcmc_pip_gt_0.5,0.0138,0.8819,,-0.8681,5.815021719275462,,69,17638
independent_edge_rank,17,independent_edge_rank_18,True,,matched_mcmc_pip_gt_0.5,0.0076,0.83655,,-0.82895,,,38,16731
independent_edge_rank,18,independent_edge_rank_19,True,,matched_mcmc_pip_gt_0.5,0.0034,0.78145,,-0.77805,,,17,15629
independent_edge_rank,19,independent_edge_rank_20,True,,matched_mcmc_pip_gt_0.5,0.001,0.7233,,-0.7223,,,5,14466
independent_edge_rank,20,independent_edge_rank_21,True,,matched_mcmc_pip_gt_0.5,0.0006,0.66125,,-0.66065,,,3,13225
independent_edge_rank,21,independent_edge_rank_22,True,,matched_mcmc_pip_gt_0.5,0.0004,0.5913,,-0.5909000000000001,,,2,11826
independent_edge_rank,22,independent_edge_rank_23,True,,matched_mcmc_pip_gt_0.5,0.0004,0.5142,,-0.5138,,,2,10284
independent_edge_rank,23,independent_edge_rank_24,False,,matched_mcmc_pip_gt_0.5,0.0,0.4404,,-0.4404,,0.1841480079571804,0,8808
independent_edge_rank,24,independent_edge_rank_25,False,,matched_mcmc_pip_gt_0.5,0.0,0.36885,,-0.36885,,0.1488670164912682,0,7377
independent_edge_rank,25,independent_edge_rank_26,False,,matched_mcmc_pip_gt_0.5,0.0,0.3007,,-0.3007,,0.11758759587299147,0,6014
independent_edge_rank,26,independent_edge_rank_27,False,,matched_mcmc_pip_gt_0.5,0.0,0.23775,,-0.23775,,0.09044125258553766,0,4755
independent_edge_rank,27,independent_edge_rank_28,False,,matched_mcmc_pip_gt_0.5,0.0,0.1805,,-0.1805,,0.06704044343044813,0,3610
independent_edge_rank,28,independent_edge_rank_29,False,,matched_mcmc_pip_gt_0.5,0.0,0.1331,,-0.1331,,0.04850328847907028,0,2662
independent_edge_rank,29,independent_edge_rank_30,False,,matched_mcmc_pip_gt_0.5,0.0,0.09285,,-0.09285,,0.03330991016560336,0,1857
independent_edge_rank,30,independent_edge_rank_31,False,,matched_mcmc_pip_gt_0.5,0.0,0.06015,,-0.06015,,0.0213127522549469,0,1203
independent_edge_rank,31,independent_edge_rank_32,False,,matched_mcmc_pip_gt_0.5,0.0,0.03505,,-0.03505,,0.01230371462190431,0,701
independent_edge_rank,32,independent_edge_rank_33,False,,matched_mcmc_pip_gt_0.5,0.0,0.01925,,-0.01925,,0.006718312815518433,0,385
independent_edge_rank,33,independent_edge_rank_34,False,,matched_mcmc_pip_gt_0.5,0.0,0.0082,,-0.0082,,0.0028503430549365128,0,164
independent_edge_rank,34,independent_edge_rank_35,False,,matched_mcmc_pip_gt_0.5,0.0,0.00285,,-0.00285,,0.000988751482988557,0,57
independent_edge_rank,35,independent_edge_rank_36,False,,matched_mcmc_pip_gt_0.5,0.0,0.0008,,-0.0008,,0.00027733889383528706,0,16
