method,pip_threshold,median_probability_structure,n_active_edges,n_candidate_edges,edge_density,signal_mse
VI,0.1,False,91,96,0.9479166666666666,2.941324234008789
VI,0.2,False,0,96,0.0,2.941324234008789
VI,0.30000000000000004,False,0,96,0.0,2.941324234008789
VI,0.4,False,0,96,0.0,2.941324234008789
VI,0.5,True,0,96,0.0,2.941324234008789
VI,0.6,False,0,96,0.0,2.941324234008789
VI,0.7000000000000001,False,0,96,0.0,2.941324234008789
VI,0.8,False,0,96,0.0,2.941324234008789
VI,0.9,False,0,96,0.0,2.941324234008789
MCMC,0.1,False,96,96,1.0,0.05574803426861763
MCMC,0.2,False,96,96,1.0,0.05574803426861763
MCMC,0.30000000000000004,False,96,96,1.0,0.05574803426861763
MCMC,0.4,False,96,96,1.0,0.05574803426861763
MCMC,0.5,True,96,96,1.0,0.05574803426861763
MCMC,0.6,False,78,96,0.8125,0.0456727109849453
MCMC,0.7000000000000001,False,16,96,0.16666666666666666,5.273166179656982
MCMC,0.8,False,0,96,0.0,7.302776336669922
MCMC,0.9,False,0,96,0.0,7.302776336669922
