method,epoch,group_id,selection_type,block,layer,edge_layer,parameter,target,source,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
VI,1,0,edge,embedding,-1,embedding,E,0,0,input,0.5410000085830688,0.13331466913223267,0.06485998630523682,0.698889434337616,0.36413952708244324,0.31073272228240967
VI,1,1,edge,embedding,-1,embedding,E,0,1,input,0.5600000023841858,0.14029808342456818,0.108488529920578,0.678615927696228,0.37288641929626465,0.31096044182777405
VI,1,2,edge,embedding,-1,embedding,E,0,2,input,0.597000002861023,0.1562429815530777,0.154992938041687,0.7026675939559937,0.37325793504714966,0.31509703397750854
VI,1,3,edge,embedding,-1,embedding,E,0,3,input,0.5740000009536743,0.14948154985904694,0.13191284239292145,0.6926518678665161,0.37452995777130127,0.3058156371116638
VI,1,4,edge,embedding,-1,embedding,E,0,4,input,0.5049999952316284,0.11973290890455246,0.01735883392393589,0.6910117268562317,0.3853512704372406,0.3175855875015259
VI,1,5,edge,embedding,-1,embedding,E,0,5,input,0.5870000123977661,0.14672350883483887,0.14310096204280853,0.6718922257423401,0.36037442088127136,0.2959660291671753
VI,1,6,edge,embedding,-1,embedding,E,1,0,input,0.5540000200271606,0.14030872285366058,0.10420342534780502,0.6770073175430298,0.38543781638145447,0.31779250502586365
VI,1,7,edge,embedding,-1,embedding,E,1,1,input,0.4970000088214874,0.11308281868696213,-0.002394383540377021,0.6736199259757996,0.37912723422050476,0.32011258602142334
VI,1,8,edge,embedding,-1,embedding,E,1,2,input,0.5699999928474426,0.14548957347869873,0.11539296805858612,0.688255786895752,0.3745769262313843,0.3129880130290985
VI,1,9,edge,embedding,-1,embedding,E,1,3,input,0.48500001430511475,0.10891387611627579,-0.02738819643855095,0.6823281645774841,0.3564261794090271,0.2904280424118042
VI,1,10,edge,embedding,-1,embedding,E,1,4,input,0.5379999876022339,0.1318589299917221,0.07161001861095428,0.6819170117378235,0.3879261612892151,0.32677751779556274
VI,1,11,edge,embedding,-1,embedding,E,1,5,input,0.5090000033378601,0.11889796704053879,0.01681843027472496,0.6848607063293457,0.3852446377277374,0.32509446144104004
VI,1,12,edge,embedding,-1,embedding,E,2,0,input,0.4950000047683716,0.11088511347770691,-0.012656089849770069,0.6737543344497681,0.3723614513874054,0.31417733430862427
VI,1,13,edge,embedding,-1,embedding,E,2,1,input,0.6029999852180481,0.16724583506584167,0.18166308104991913,0.7093282341957092,0.3782249689102173,0.31086671352386475
VI,1,14,edge,embedding,-1,embedding,E,2,2,input,0.5910000205039978,0.15262797474861145,0.15587429702281952,0.6912899613380432,0.3703080415725708,0.30425068736076355
VI,1,15,edge,embedding,-1,embedding,E,2,3,input,0.578000009059906,0.14912164211273193,0.12792977690696716,0.6838434338569641,0.3817046582698822,0.3176182210445404
VI,1,16,edge,embedding,-1,embedding,E,2,4,input,0.5460000038146973,0.1372043788433075,0.06197521835565567,0.7194041013717651,0.389481782913208,0.3254162669181824
VI,1,17,edge,embedding,-1,embedding,E,2,5,input,0.5180000066757202,0.1282520294189453,0.05044618621468544,0.6882134079933167,0.3865777552127838,0.3258020281791687
VI,1,18,edge,embedding,-1,embedding,E,3,0,input,0.5189999938011169,0.12273172289133072,0.02041369304060936,0.6968052387237549,0.3686597943305969,0.30282557010650635
