method,epoch,group_id,selection_type,block,layer,edge_layer,parameter,target,source,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median
VI,2000,0,edge,embedding,-1,embedding,E,0,0,input,0.15539999306201935,0.03523189574480057,-1.1690393686294556,1.1317434310913086,0.8024967908859253,0.6897786259651184
VI,2000,1,edge,embedding,-1,embedding,E,0,1,input,0.13580000400543213,0.031293317675590515,-1.1994619369506836,1.1133275032043457,0.7749943137168884,0.644666314125061
VI,2000,2,edge,embedding,-1,embedding,E,0,2,input,0.1469999998807907,0.03282950446009636,-1.1920160055160522,1.10764741897583,0.7935794591903687,0.668238639831543
VI,2000,3,edge,embedding,-1,embedding,E,0,3,input,0.1462000012397766,0.03758300468325615,-1.1827723979949951,1.1305917501449585,0.7991740107536316,0.66744464635849
VI,2000,4,edge,embedding,-1,embedding,E,0,4,input,0.16040000319480896,0.03692551702260971,-1.1352566480636597,1.1303486824035645,0.7731362581253052,0.6491962671279907
VI,2000,5,edge,embedding,-1,embedding,E,0,5,input,0.14159999787807465,0.033584389835596085,-1.200128436088562,1.1237729787826538,0.8069902062416077,0.6796881556510925
VI,2000,6,edge,embedding,-1,embedding,E,1,0,input,0.1542000025510788,0.03560822084546089,-1.1622053384780884,1.1212128400802612,0.7838786840438843,0.6648257970809937
VI,2000,7,edge,embedding,-1,embedding,E,1,1,input,0.15520000457763672,0.03822743147611618,-1.143127202987671,1.1244302988052368,0.7875608801841736,0.6805195212364197
VI,2000,8,edge,embedding,-1,embedding,E,1,2,input,0.14820000529289246,0.03315127268433571,-1.201114296913147,1.1303291320800781,0.7782486081123352,0.6482638120651245
VI,2000,9,edge,embedding,-1,embedding,E,1,3,input,0.1467999964952469,0.033133793622255325,-1.1705586910247803,1.115472435951233,0.7859447002410889,0.6630738973617554
VI,2000,10,edge,embedding,-1,embedding,E,1,4,input,0.1469999998807907,0.032828617841005325,-1.2151837348937988,1.1306142807006836,0.788701593875885,0.6823391318321228
VI,2000,11,edge,embedding,-1,embedding,E,1,5,input,0.13940000534057617,0.032795172184705734,-1.1802829504013062,1.1116620302200317,0.7997531890869141,0.6948127746582031
VI,2000,12,edge,embedding,-1,embedding,E,2,0,input,0.15080000460147858,0.03641268238425255,-1.1572867631912231,1.1206793785095215,0.7891266345977783,0.6681738495826721
VI,2000,13,edge,embedding,-1,embedding,E,2,1,input,0.13920000195503235,0.031666409224271774,-1.1962261199951172,1.105722427368164,0.788767397403717,0.6784653663635254
VI,2000,14,edge,embedding,-1,embedding,E,2,2,input,0.15479999780654907,0.034668903797864914,-1.1762325763702393,1.1218751668930054,0.7920044660568237,0.662550687789917
VI,2000,15,edge,embedding,-1,embedding,E,2,3,input,0.1467999964952469,0.03255515918135643,-1.1765706539154053,1.1137570142745972,0.7877036333084106,0.6659729480743408
VI,2000,16,edge,embedding,-1,embedding,E,2,4,input,0.1446000039577484,0.03444933518767357,-1.1738035678863525,1.1119619607925415,0.7779309749603271,0.651731014251709
VI,2000,17,edge,embedding,-1,embedding,E,2,5,input,0.1404000073671341,0.03166044503450394,-1.1961874961853027,1.1181179285049438,0.768187940120697,0.6458815932273865
VI,2000,18,edge,embedding,-1,embedding,E,3,0,input,0.1518000066280365,0.036504991352558136,-1.2013800144195557,1.1561684608459473,0.7721102833747864,0.6466692090034485
VI,2000,19,edge,embedding,-1,embedding,E,3,1,input,0.15800000727176666,0.03726084157824516,-1.1195671558380127,1.1118916273117065,0.774609386920929,0.6589651703834534
VI,2000,20,edge,embedding,-1,embedding,E,3,2,input,0.14740000665187836,0.033348847180604935,-1.1498172283172607,1.104617953300476,0.7839662432670593,0.6756623387336731
VI,2000,21,edge,embedding,-1,embedding,E,3,3,input,0.14640000462532043,0.03373962640762329,-1.1501978635787964,1.0994853973388672,0.7952542901039124,0.6842524409294128
VI,2000,22,edge,embedding,-1,embedding,E,3,4,input,0.14720000326633453,0.03236928582191467,-1.149255633354187,1.0970338582992554,0.7829247713088989,0.6748586297035217
VI,2000,23,edge,embedding,-1,embedding,E,3,5,input,0.13979999721050262,0.03239059075713158,-1.1998120546340942,1.1221237182617188,0.7934297323226929,0.6720079779624939
VI,2000,24,edge,embedding,-1,embedding,E,4,0,input,0.14059999585151672,0.03192588686943054,-1.2131797075271606,1.1305500268936157,0.7669928669929504,0.6447444558143616
VI,2000,25,edge,embedding,-1,embedding,E,4,1,input,0.14059999585151672,0.03264492005109787,-1.2017449140548706,1.1249401569366455,0.7911631464958191,0.6643674373626709
VI,2000,26,edge,embedding,-1,embedding,E,4,2,input,0.13699999451637268,0.030743414536118507,-1.2315558195114136,1.1306538581848145,0.7880514860153198,0.6585184335708618
VI,2000,27,edge,embedding,-1,embedding,E,4,3,input,0.1469999998807907,0.03484975919127464,-1.1821163892745972,1.1298755407333374,0.7955928444862366,0.6744752526283264
VI,2000,28,edge,embedding,-1,embedding,E,4,4,input,0.14579999446868896,0.03433886542916298,-1.1831873655319214,1.1318029165267944,0.7865256667137146,0.6623621582984924
VI,2000,29,edge,embedding,-1,embedding,E,4,5,input,0.1462000012397766,0.03462672606110573,-1.184929609298706,1.1236512660980225,0.8092918992042542,0.6815043091773987
VI,2000,30,edge,embedding,-1,embedding,E,5,0,input,0.16200000047683716,0.038113515824079514,-1.134252667427063,1.1265864372253418,0.789233386516571,0.6781764030456543
VI,2000,31,edge,embedding,-1,embedding,E,5,1,input,0.14579999446868896,0.033358968794345856,-1.17195463180542,1.119687557220459,0.8128995299339294,0.6840147376060486
VI,2000,32,edge,embedding,-1,embedding,E,5,2,input,0.14499999582767487,0.031464140862226486,-1.1759800910949707,1.1079846620559692,0.774232804775238,0.6589236855506897
VI,2000,33,edge,embedding,-1,embedding,E,5,3,input,0.14499999582767487,0.03452606871724129,-1.1728037595748901,1.1212068796157837,0.7887458205223083,0.6644361019134521
VI,2000,34,edge,embedding,-1,embedding,E,5,4,input,0.14159999787807465,0.0328509658575058,-1.1954407691955566,1.121919870376587,0.7818740010261536,0.6566768884658813
VI,2000,35,edge,embedding,-1,embedding,E,5,5,input,0.14300000667572021,0.033668313175439835,-1.1801652908325195,1.1179003715515137,0.7846119403839111,0.6667670607566833
VI,2000,36,edge,hidden_layer_1,0,hidden_layer_1,W1,0,0,input,0.16019999980926514,0.035661909729242325,-1.1482717990875244,1.1433461904525757,0.7918591499328613,0.6618239283561707
VI,2000,37,edge,hidden_layer_1,0,hidden_layer_1,W1,0,1,input,0.1477999985218048,0.031649939715862274,-1.1690481901168823,1.1122440099716187,0.7723610401153564,0.6433755159378052
VI,2000,38,edge,hidden_layer_1,0,hidden_layer_1,W1,0,2,input,0.1462000012397766,0.035172585397958755,-1.1731840372085571,1.126613736152649,0.7743698954582214,0.6516475677490234
VI,2000,39,edge,hidden_layer_1,0,hidden_layer_1,W1,0,3,input,0.1526000052690506,0.032903917133808136,-1.1629520654678345,1.1248270273208618,0.7617322206497192,0.6328311562538147
VI,2000,40,edge,hidden_layer_1,0,hidden_layer_1,W1,0,4,input,0.1379999965429306,0.033801231533288956,-1.2344194650650024,1.1463149785995483,0.7870030999183655,0.6726722717285156
VI,2000,41,edge,hidden_layer_1,0,hidden_layer_1,W1,0,5,input,0.15620000660419464,0.03332369029521942,-1.1474825143814087,1.100954294204712,0.8122189044952393,0.7036397457122803
VI,2000,42,edge,hidden_layer_1,0,hidden_layer_1,W1,1,0,input,0.155799999833107,0.035173915326595306,-1.2017810344696045,1.1455262899398804,0.7752090096473694,0.658056378364563
VI,2000,43,edge,hidden_layer_1,0,hidden_layer_1,W1,1,1,input,0.14659999310970306,0.03551419451832771,-1.1570805311203003,1.117285132408142,0.7652907967567444,0.6494921445846558
VI,2000,44,edge,hidden_layer_1,0,hidden_layer_1,W1,1,2,input,0.13580000400543213,0.031509120017290115,-1.2196719646453857,1.1308687925338745,0.7603309750556946,0.638217568397522
VI,2000,45,edge,hidden_layer_1,0,hidden_layer_1,W1,1,3,input,0.149399995803833,0.031592268496751785,-1.1810624599456787,1.1062771081924438,0.7652096748352051,0.6598072052001953
VI,2000,46,edge,hidden_layer_1,0,hidden_layer_1,W1,1,4,input,0.14300000667572021,0.033959805965423584,-1.2162023782730103,1.1446419954299927,0.7793903350830078,0.6586771011352539
VI,2000,47,edge,hidden_layer_1,0,hidden_layer_1,W1,1,5,input,0.14579999446868896,0.03461531922221184,-1.193482756614685,1.1255944967269897,0.7989594340324402,0.6877323985099792
VI,2000,48,edge,hidden_layer_1,0,hidden_layer_1,W1,2,0,input,0.1467999964952469,0.03425874561071396,-1.1864535808563232,1.1119524240493774,0.7900475859642029,0.682145893573761
VI,2000,49,edge,hidden_layer_1,0,hidden_layer_1,W1,2,1,input,0.14159999787807465,0.032745540142059326,-1.2105616331100464,1.1223382949829102,0.78216153383255,0.667328417301178
VI,2000,50,edge,hidden_layer_1,0,hidden_layer_1,W1,2,2,input,0.15199999511241913,0.03546023368835449,-1.1340810060501099,1.1027666330337524,0.7631880044937134,0.6448580622673035
VI,2000,51,edge,hidden_layer_1,0,hidden_layer_1,W1,2,3,input,0.15860000252723694,0.03667604550719261,-1.1587073802947998,1.131790041923523,0.760391891002655,0.6536787152290344
VI,2000,52,edge,hidden_layer_1,0,hidden_layer_1,W1,2,4,input,0.15240000188350677,0.03587339445948601,-1.181636095046997,1.1362518072128296,0.8004856705665588,0.6946266889572144
VI,2000,53,edge,hidden_layer_1,0,hidden_layer_1,W1,2,5,input,0.1599999964237213,0.036609601229429245,-1.1213099956512451,1.116133451461792,0.794425368309021,0.6790254712104797
VI,2000,54,edge,hidden_layer_1,0,hidden_layer_1,W1,3,0,input,0.13979999721050262,0.031867220997810364,-1.2047617435455322,1.1249005794525146,0.7892020344734192,0.6577320694923401
VI,2000,55,edge,hidden_layer_1,0,hidden_layer_1,W1,3,1,input,0.13539999723434448,0.03239945322275162,-1.2102735042572021,1.1269155740737915,0.7937334179878235,0.6901607513427734
VI,2000,56,edge,hidden_layer_1,0,hidden_layer_1,W1,3,2,input,0.14720000326633453,0.03363000601530075,-1.1662155389785767,1.0917004346847534,0.782691240310669,0.6681857705116272
VI,2000,57,edge,hidden_layer_1,0,hidden_layer_1,W1,3,3,input,0.1477999985218048,0.03489317372441292,-1.17513906955719,1.1206223964691162,0.7677975296974182,0.6526588797569275
