target,label,chain,pip
0,feature_x0,1,1.0
0,feature_x0,2,1.0
0,feature_x0,3,1.0
0,feature_x0,4,1.0
0,feature_x0,pooled,1.0
1,feature_x1,1,0.1892
1,feature_x1,2,0.228
1,feature_x1,3,0.2276
1,feature_x1,4,0.2492
1,feature_x1,pooled,0.2235
2,feature_x2,1,0.1996
2,feature_x2,2,0.2308
2,feature_x2,3,0.2202
2,feature_x2,4,0.2272
2,feature_x2,pooled,0.21945
3,feature_x3,1,1.0
3,feature_x3,2,1.0
3,feature_x3,3,1.0
3,feature_x3,4,1.0
3,feature_x3,pooled,1.0
4,feature_x4,1,0.2506
4,feature_x4,2,0.3032
4,feature_x4,3,0.28
4,feature_x4,4,0.297
4,feature_x4,pooled,0.2827
5,feature_x5,1,0.2308
5,feature_x5,2,0.2834
5,feature_x5,3,0.2726
5,feature_x5,4,0.2654
5,feature_x5,pooled,0.26305
6,unit_L1_0,1,0.8394
6,unit_L1_0,2,0.8022
6,unit_L1_0,3,0.795
6,unit_L1_0,4,0.8996
6,unit_L1_0,pooled,0.83405
7,unit_L1_1,1,0.896
7,unit_L1_1,2,0.7804
7,unit_L1_1,3,0.8874
7,unit_L1_1,4,0.8566
7,unit_L1_1,pooled,0.8551
8,unit_L1_2,1,0.8572
8,unit_L1_2,2,0.8336
8,unit_L1_2,3,0.9234
8,unit_L1_2,4,0.8674
8,unit_L1_2,pooled,0.8704
9,unit_L1_3,1,0.853
9,unit_L1_3,2,0.7968
9,unit_L1_3,3,0.8132
9,unit_L1_3,4,0.8778
9,unit_L1_3,pooled,0.8352
10,unit_L1_4,1,0.9208
10,unit_L1_4,2,0.7728
10,unit_L1_4,3,0.8472
10,unit_L1_4,4,0.889
10,unit_L1_4,pooled,0.85745
11,unit_L2_0,1,0.8206
11,unit_L2_0,2,0.9046
11,unit_L2_0,3,0.82
11,unit_L2_0,4,0.8608
11,unit_L2_0,pooled,0.8515
12,unit_L2_1,1,0.853
12,unit_L2_1,2,0.708
12,unit_L2_1,3,0.8136
12,unit_L2_1,4,0.815
12,unit_L2_1,pooled,0.7974
13,unit_L2_2,1,0.8556
13,unit_L2_2,2,0.7142
13,unit_L2_2,3,0.867
13,unit_L2_2,4,0.8844
13,unit_L2_2,pooled,0.8303
14,unit_L2_3,1,0.8782
14,unit_L2_3,2,0.705
14,unit_L2_3,3,0.7826
14,unit_L2_3,4,0.86
14,unit_L2_3,pooled,0.80645
15,unit_L2_4,1,0.8876
15,unit_L2_4,2,0.7016
15,unit_L2_4,3,0.8362
15,unit_L2_4,4,0.8428
15,unit_L2_4,pooled,0.81705
