method,pip_threshold,median_probability_structure,n_active_edges,n_candidate_edges,edge_density,signal_mse
VI,0.1,False,48,96,0.5,0.7771584391593933
VI,0.2,False,26,96,0.2708333333333333,0.7764708995819092
VI,0.30000000000000004,False,20,96,0.20833333333333334,0.7760339379310608
VI,0.4,False,20,96,0.20833333333333334,0.7760339379310608
VI,0.5,True,20,96,0.20833333333333334,0.7760339379310608
VI,0.6,False,20,96,0.20833333333333334,0.7760339379310608
VI,0.7000000000000001,False,20,96,0.20833333333333334,0.7760339379310608
VI,0.8,False,20,96,0.20833333333333334,0.7760339379310608
VI,0.9,False,20,96,0.20833333333333334,0.7760339379310608
MCMC,0.1,False,96,96,1.0,0.042856886982917786
MCMC,0.2,False,96,96,1.0,0.042856886982917786
MCMC,0.30000000000000004,False,72,96,0.75,0.040879055857658386
MCMC,0.4,False,72,96,0.75,0.040879055857658386
MCMC,0.5,True,72,96,0.75,0.040879055857658386
MCMC,0.6,False,72,96,0.75,0.040879055857658386
MCMC,0.7000000000000001,False,72,96,0.75,0.040879055857658386
MCMC,0.8,False,66,96,0.6875,0.13156454265117645
MCMC,0.9,False,12,96,0.125,6.685859680175781
