method,layer,unit,global_unit,pip,gate_mean,slab_strength_mean
MCMC,1,0,0,0.8340499997138977,0.46572422981262207,5.531552791595459
MCMC,1,1,1,0.8550999760627747,0.482982873916626,5.493429660797119
MCMC,1,2,2,0.8704000115394592,0.5046345591545105,5.396517276763916
MCMC,1,3,3,0.8352000117301941,0.47399237751960754,5.408260345458984
MCMC,1,4,4,0.857450008392334,0.5073727369308472,5.406717300415039
MCMC,2,0,5,0.8514999747276306,0.4875759780406952,2.1725573539733887
MCMC,2,1,6,0.7973999977111816,0.4364146590232849,1.7672743797302246
MCMC,2,2,7,0.830299973487854,0.4554390609264374,2.076371431350708
MCMC,2,3,8,0.8064500093460083,0.44390684366226196,1.8414382934570312
MCMC,2,4,9,0.8170499801635742,0.45325326919555664,1.9495207071304321
