method,layer,unit,global_unit,pip,gate_mean,slab_strength_mean
VI,1,0,0,0.07360000163316727,0.0008603370515629649,5.232213973999023
VI,1,1,1,0.08420000225305557,0.0017757362220436335,5.106882095336914
VI,1,2,2,0.07440000027418137,0.0011828936403617263,5.119965076446533
VI,1,3,3,0.06400000303983688,0.0006660198559984565,5.272969722747803
VI,1,4,4,1.0,0.5174815654754639,4.653484344482422
VI,2,0,5,0.07540000230073929,0.0012167325476184487,1.6731581687927246
VI,2,1,6,0.1273999959230423,0.0026779992040246725,1.7477644681930542
VI,2,2,7,0.14740000665187836,0.004700446967035532,1.6879974603652954
VI,2,3,8,1.0,0.7549696564674377,6.823173999786377
VI,2,4,9,0.06599999964237213,0.0011488070013001561,1.6637816429138184
