method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median,unit,global_unit
VI,1,0,feature,input,-1,0.0,input,0.4399999976158142,0.09064774960279465,-0.12369141727685928,0.6959231495857239,1.1164746284484863,1.0972784757614136,,
VI,1,1,feature,input,-1,1.0,input,0.5410000085830688,0.13631671667099,0.07665197551250458,0.6921004056930542,1.1419248580932617,1.1144131422042847,,
VI,1,2,feature,input,-1,2.0,input,0.46700000762939453,0.10326198488473892,-0.06676257401704788,0.6859077215194702,1.126633644104004,1.087848424911499,,
VI,1,3,feature,input,-1,3.0,input,0.45500001311302185,0.10282959789037704,-0.06696177273988724,0.6948032975196838,1.119630217552185,1.1081089973449707,,
VI,1,4,feature,input,-1,4.0,input,0.5180000066757202,0.11786341667175293,0.024865098297595978,0.6665013432502747,1.1373546123504639,1.121760606765747,,
VI,1,5,feature,input,-1,5.0,input,0.5130000114440918,0.12018965184688568,0.013130253180861473,0.6931576728820801,1.1423383951187134,1.102970004081726,,
VI,1,6,unit,0,0,,group,0.5199999809265137,0.1263599991798401,0.021596843376755714,0.6983416080474854,1.2033601999282837,1.1948046684265137,0.0,0.0
VI,1,7,unit,0,0,,group,0.5320000052452087,0.1286742240190506,0.05759629234671593,0.6701884865760803,1.196081519126892,1.1688179969787598,1.0,1.0
VI,1,8,unit,0,0,,group,0.5659999847412109,0.1510569155216217,0.12275344878435135,0.7012388706207275,1.2098520994186401,1.1876020431518555,2.0,2.0
VI,1,9,unit,0,0,,group,0.5460000038146973,0.14744381606578827,0.0969991683959961,0.7111290097236633,1.2344399690628052,1.214285135269165,3.0,3.0
VI,1,10,unit,0,0,,group,0.5440000295639038,0.1321776956319809,0.07025472819805145,0.6807093024253845,1.2070070505142212,1.1751199960708618,4.0,4.0
VI,1,11,unit,1,1,,group,0.5270000100135803,0.13158878684043884,0.047655265778303146,0.70280522108078,1.1293195486068726,1.110042929649353,0.0,5.0
VI,1,12,unit,1,1,,group,0.531000018119812,0.1328197568655014,0.06580158323049545,0.6838429570198059,1.136818528175354,1.1003705263137817,1.0,6.0
VI,1,13,unit,1,1,,group,0.5130000114440918,0.11812631040811539,-0.003109749872237444,0.699351966381073,1.1325962543487549,1.1174830198287964,2.0,7.0
VI,1,14,unit,1,1,,group,0.5139999985694885,0.12489963322877884,0.042056381702423096,0.6748824715614319,1.1480172872543335,1.1259557008743286,3.0,8.0
VI,1,15,unit,1,1,,group,0.5099999904632568,0.1208076998591423,0.0007878875476308167,0.702289342880249,1.1304224729537964,1.0965059995651245,4.0,9.0
VI,250,0,feature,input,-1,0.0,input,0.4779999852180481,0.21775808930397034,-0.0012561731273308396,1.3310737609863281,2.1235227584838867,2.119041681289673,,
VI,250,1,feature,input,-1,1.0,input,0.5019999742507935,0.21350984275341034,-0.012414081953465939,1.301605224609375,1.4905421733856201,1.479759931564331,,
VI,250,2,feature,input,-1,2.0,input,0.5009999871253967,0.2129354178905487,-0.02703075110912323,1.3263168334960938,1.4414721727371216,1.4142370223999023,,
VI,250,3,feature,input,-1,3.0,input,0.5,0.21778512001037598,0.008615205995738506,1.3476284742355347,3.8342602252960205,3.8412513732910156,,
VI,250,4,feature,input,-1,4.0,input,0.5099999904632568,0.21468938887119293,0.008769894950091839,1.2754508256912231,1.429834246635437,1.3897004127502441,,
VI,250,5,feature,input,-1,5.0,input,0.5099999904632568,0.2195064127445221,0.007680898532271385,1.3012657165527344,1.4581615924835205,1.4504412412643433,,
VI,250,6,unit,0,0,,group,0.5370000004768372,0.2569064199924469,0.12023577839136124,1.3196489810943604,2.149170398712158,2.124152183532715,0.0,0.0
VI,250,7,unit,0,0,,group,0.5170000195503235,0.23830603063106537,0.08964565396308899,1.3477399349212646,2.257606029510498,2.2533814907073975,1.0,1.0
VI,250,8,unit,0,0,,group,0.5019999742507935,0.22036100924015045,0.016560671851038933,1.2917150259017944,2.213799238204956,2.1846179962158203,2.0,2.0
VI,250,9,unit,0,0,,group,0.5339999794960022,0.22925148904323578,0.06899727880954742,1.3181824684143066,2.3104970455169678,2.297567129135132,3.0,3.0
VI,250,10,unit,0,0,,group,0.5450000166893005,0.22912099957466125,0.11846053600311279,1.2515465021133423,2.3945987224578857,2.376474618911743,4.0,4.0
VI,250,11,unit,1,1,,group,0.5170000195503235,0.20730234682559967,0.028083276003599167,1.2202014923095703,2.2696971893310547,2.2756459712982178,0.0,5.0
VI,250,12,unit,1,1,,group,0.5260000228881836,0.23130112886428833,0.037975527346134186,1.3336573839187622,2.237541437149048,2.2273192405700684,1.0,6.0
VI,250,13,unit,1,1,,group,0.5049999952316284,0.21998359262943268,0.015208289958536625,1.2854175567626953,2.29860258102417,2.30552077293396,2.0,7.0
VI,250,14,unit,1,1,,group,0.5059999823570251,0.21519555151462555,-0.02869199775159359,1.3055416345596313,2.4812402725219727,2.427614212036133,3.0,8.0
VI,250,15,unit,1,1,,group,0.5099999904632568,0.2244342863559723,0.027204077690839767,1.3053534030914307,2.142000198364258,2.144270420074463,4.0,9.0
VI,500,0,feature,input,-1,0.0,input,0.5080000162124634,0.23128148913383484,0.021852992475032806,1.3598301410675049,2.0431411266326904,2.020531415939331,,
VI,500,1,feature,input,-1,1.0,input,0.5,0.21969841420650482,0.0032847682014107704,1.3270560503005981,1.6116095781326294,1.5940295457839966,,
VI,500,2,feature,input,-1,2.0,input,0.5199999809265137,0.22070391476154327,0.05938725546002388,1.295352816581726,1.4434568881988525,1.4226773977279663,,
VI,500,3,feature,input,-1,3.0,input,0.48899999260902405,0.20867088437080383,0.005123775452375412,1.301355004310608,4.1374359130859375,4.131296634674072,,
VI,500,4,feature,input,-1,4.0,input,0.48500001430511475,0.2244192212820053,0.02269970253109932,1.36490797996521,1.4443929195404053,1.4239486455917358,,
VI,500,5,feature,input,-1,5.0,input,0.48899999260902405,0.22566580772399902,-0.009845422580838203,1.3916945457458496,1.5262502431869507,1.498410940170288,,
VI,500,6,unit,0,0,,group,0.46299999952316284,0.21598486602306366,-0.06737461686134338,1.3886793851852417,2.262589693069458,2.2771120071411133,0.0,0.0
VI,500,7,unit,0,0,,group,0.5299999713897705,0.23847824335098267,0.04380716010928154,1.3865711688995361,2.2836170196533203,2.275283098220825,1.0,1.0
VI,500,8,unit,0,0,,group,0.5099999904632568,0.22987933456897736,0.046464767307043076,1.3983653783798218,2.352595806121826,2.3188371658325195,2.0,2.0
VI,500,9,unit,0,0,,group,0.5099999904632568,0.24302177131175995,0.050125088542699814,1.4402276277542114,2.375459909439087,2.3579487800598145,3.0,3.0
VI,500,10,unit,0,0,,group,0.527999997138977,0.2360701709985733,0.07066859304904938,1.3734105825424194,2.331949472427368,2.3254997730255127,4.0,4.0
VI,500,11,unit,1,1,,group,0.5170000195503235,0.2430802285671234,0.08222676813602448,1.3867062330245972,2.162726640701294,2.121990442276001,0.0,5.0
VI,500,12,unit,1,1,,group,0.5149999856948853,0.23583149909973145,0.02692272886633873,1.4122304916381836,2.2711360454559326,2.2657408714294434,1.0,6.0
VI,500,13,unit,1,1,,group,0.5180000066757202,0.2348906397819519,0.047766655683517456,1.3739122152328491,2.205143928527832,2.2015981674194336,2.0,7.0
VI,500,14,unit,1,1,,group,0.5329999923706055,0.2435467392206192,0.06990208476781845,1.3863105773925781,2.525204658508301,2.4602551460266113,3.0,8.0
VI,500,15,unit,1,1,,group,0.4909999966621399,0.2132754772901535,-0.020528996363282204,1.3250032663345337,2.033205270767212,2.0159459114074707,4.0,9.0
VI,750,0,feature,input,-1,0.0,input,0.9950000047683716,0.3749622702598572,0.7947651147842407,0.2932465970516205,2.124772071838379,2.1161255836486816,,
VI,750,1,feature,input,-1,1.0,input,0.23800000548362732,0.022398585453629494,-0.5071050524711609,0.670475423336029,2.1828513145446777,2.1891050338745117,,
VI,750,2,feature,input,-1,2.0,input,0.27900001406669617,0.02471667155623436,-0.44959184527397156,0.6543293595314026,2.1668670177459717,2.155561923980713,,
VI,750,3,feature,input,-1,3.0,input,1.0,0.7449232339859009,1.778372049331665,0.36327511072158813,2.6624419689178467,2.6464715003967285,,
VI,750,4,feature,input,-1,4.0,input,0.18000000715255737,0.010303699411451817,-0.5746477246284485,0.6398200988769531,2.1986474990844727,2.1935219764709473,,
VI,750,5,feature,input,-1,5.0,input,0.18799999356269836,0.012958187609910965,-0.5372177958488464,0.6284459233283997,2.1884872913360596,2.1720964908599854,,
VI,750,6,unit,0,0,,group,0.859000027179718,0.2764046788215637,0.5863605737686157,0.618253231048584,2.2172207832336426,2.2077934741973877,0.0,0.0
VI,750,7,unit,0,0,,group,0.984000027179718,0.4323407709598541,0.9517130255699158,0.5178593993186951,2.294238567352295,2.2505948543548584,1.0,1.0
VI,750,8,unit,0,0,,group,0.703000009059906,0.23262260854244232,0.35806363821029663,0.800996720790863,2.1972930431365967,2.1622679233551025,2.0,2.0
VI,750,9,unit,0,0,,group,0.5139999985694885,0.11923081427812576,0.011458524502813816,0.738858163356781,2.202986717224121,2.156071901321411,3.0,3.0
VI,750,10,unit,0,0,,group,0.9990000128746033,0.6570024490356445,1.5055183172225952,0.4974781572818756,2.4666178226470947,2.4565179347991943,4.0,4.0
VI,750,11,unit,1,1,,group,0.5659999847412109,0.17127948999404907,0.12087839096784592,0.8649705648422241,2.002768039703369,1.9605648517608643,0.0,5.0
VI,750,12,unit,1,1,,group,0.5789999961853027,0.15308718383312225,0.11451169848442078,0.7973980903625488,2.130727529525757,2.089463233947754,1.0,6.0
VI,750,13,unit,1,1,,group,0.4320000112056732,0.10195890814065933,-0.1565723717212677,0.7802843451499939,2.082399845123291,2.058631658554077,2.0,7.0
VI,750,14,unit,1,1,,group,1.0,0.7986075282096863,2.0572290420532227,0.3630252480506897,2.484642744064331,2.462557077407837,3.0,8.0
VI,750,15,unit,1,1,,group,0.4569999873638153,0.12133894115686417,-0.08010092377662659,0.8343931436538696,2.022599697113037,1.9838563203811646,4.0,9.0
VI,1000,0,feature,input,-1,0.0,input,1.0,0.39774227142333984,0.8263009190559387,0.1987980157136917,2.131437301635742,2.1149744987487793,,
VI,1000,1,feature,input,-1,1.0,input,0.20499999821186066,0.012164745479822159,-0.645194947719574,0.7017226219177246,2.260089874267578,2.2284750938415527,,
VI,1000,2,feature,input,-1,2.0,input,0.1899999976158142,0.011919992044568062,-0.5948666334152222,0.6624115109443665,2.2799930572509766,2.2834744453430176,,
VI,1000,3,feature,input,-1,3.0,input,1.0,0.6897363066673279,1.5514845848083496,0.3409630060195923,2.380197525024414,2.350853204727173,,
VI,1000,4,feature,input,-1,4.0,input,0.1889999955892563,0.009509984403848648,-0.6076263785362244,0.6583773493766785,2.2821450233459473,2.2761614322662354,,
VI,1000,5,feature,input,-1,5.0,input,0.22300000488758087,0.013096397742629051,-0.5652705430984497,0.673418402671814,2.2913856506347656,2.2621171474456787,,
VI,1000,6,unit,0,0,,group,0.1379999965429306,0.004803953226655722,-0.7936034798622131,0.7228786945343018,2.444605827331543,2.4086036682128906,0.0,0.0
VI,1000,7,unit,0,0,,group,0.10400000214576721,0.002444668672978878,-0.8227230310440063,0.6724815368652344,2.4392619132995605,2.4151668548583984,1.0,1.0
VI,1000,8,unit,0,0,,group,0.13699999451637268,0.004489934537559748,-0.7118980884552002,0.6646290421485901,2.49326753616333,2.4943466186523438,2.0,2.0
VI,1000,9,unit,0,0,,group,0.09700000286102295,0.0023914307821542025,-0.7920230031013489,0.6686319708824158,2.4355478286743164,2.421541213989258,3.0,3.0
VI,1000,10,unit,0,0,,group,1.0,0.5430712699890137,1.127952218055725,0.27935704588890076,2.372889518737793,2.353458881378174,4.0,4.0
VI,1000,11,unit,1,1,,group,0.11900000274181366,0.004530109465122223,-0.8296838402748108,0.7254427671432495,2.328575611114502,2.3046340942382812,0.0,5.0
VI,1000,12,unit,1,1,,group,0.06800000369548798,0.0015128954546526074,-0.8042210340499878,0.6648063063621521,2.3217837810516357,2.3256795406341553,1.0,6.0
VI,1000,13,unit,1,1,,group,0.06300000101327896,0.0014466997236013412,-0.9213560223579407,0.6698483824729919,2.283555269241333,2.2717554569244385,2.0,7.0
VI,1000,14,unit,1,1,,group,1.0,0.7367311716079712,1.7115130424499512,0.26375317573547363,2.780123472213745,2.755760669708252,3.0,8.0
VI,1000,15,unit,1,1,,group,0.0560000017285347,0.0014155814424157143,-0.9692083597183228,0.6922643780708313,2.258549213409424,2.2230570316314697,4.0,9.0
VI,1250,0,feature,input,-1,0.0,input,1.0,0.4765481650829315,0.9664661288261414,0.1654234379529953,2.1574130058288574,2.11130952835083,,
VI,1250,1,feature,input,-1,1.0,input,0.16899999976158142,0.007035748567432165,-0.6349486708641052,0.6457481384277344,2.319197177886963,2.3063642978668213,,
VI,1250,2,feature,input,-1,2.0,input,0.19300000369548798,0.008530449122190475,-0.6192423105239868,0.6685963273048401,2.2961342334747314,2.262523651123047,,
VI,1250,3,feature,input,-1,3.0,input,1.0,0.5399351716041565,1.1005383729934692,0.183677539229393,2.199805974960327,2.162450075149536,,
VI,1250,4,feature,input,-1,4.0,input,0.1860000044107437,0.008411926217377186,-0.5853742957115173,0.6271109580993652,2.2413055896759033,2.232874631881714,,
VI,1250,5,feature,input,-1,5.0,input,0.19099999964237213,0.009007293730974197,-0.5887202024459839,0.6765545606613159,2.250932216644287,2.233708143234253,,
VI,1250,6,unit,0,0,,group,0.03799999877810478,0.0004941676161251962,-0.9248027205467224,0.6796542406082153,2.5012857913970947,2.49288010597229,0.0,0.0
VI,1250,7,unit,0,0,,group,0.05299999937415123,0.0007930565043352544,-0.8864330649375916,0.6793272495269775,2.476316213607788,2.4241816997528076,1.0,1.0
VI,1250,8,unit,0,0,,group,0.09200000017881393,0.0018344612326472998,-0.8455530405044556,0.6999013423919678,2.4566166400909424,2.4464170932769775,2.0,2.0
VI,1250,9,unit,0,0,,group,0.03999999910593033,0.00028446674696169794,-0.9736246466636658,0.6980292201042175,2.4159932136535645,2.4048008918762207,3.0,3.0
VI,1250,10,unit,0,0,,group,1.0,0.5140647292137146,1.0499439239501953,0.20927785336971283,2.4180657863616943,2.4128854274749756,4.0,4.0
VI,1250,11,unit,1,1,,group,0.09700000286102295,0.002239980734884739,-0.8621188402175903,0.7058253884315491,2.249344825744629,2.2439513206481934,0.0,5.0
VI,1250,12,unit,1,1,,group,0.03999999910593033,0.00034039755701087415,-0.9267137050628662,0.6559443473815918,2.280540704727173,2.265369176864624,1.0,6.0
VI,1250,13,unit,1,1,,group,0.06700000166893005,0.002067147521302104,-0.9040581583976746,0.7074497938156128,2.2641565799713135,2.233992338180542,2.0,7.0
VI,1250,14,unit,1,1,,group,1.0,0.7455872893333435,1.7422242164611816,0.23370306193828583,2.9568445682525635,2.921419620513916,3.0,8.0
VI,1250,15,unit,1,1,,group,0.10000000149011612,0.0022738431580364704,-0.7920533418655396,0.6955855488777161,2.23945951461792,2.245215654373169,4.0,9.0
VI,1500,0,feature,input,-1,0.0,input,1.0,0.4876338839530945,0.9851635098457336,0.14577160775661469,2.2123098373413086,2.1811015605926514,,
VI,1500,1,feature,input,-1,1.0,input,0.18000000715255737,0.006205836310982704,-0.6264527440071106,0.6330292820930481,2.3228254318237305,2.3152685165405273,,
VI,1500,2,feature,input,-1,2.0,input,0.18299999833106995,0.00584484962746501,-0.6130539774894714,0.6346575021743774,2.2749340534210205,2.2427427768707275,,
VI,1500,3,feature,input,-1,3.0,input,1.0,0.586398720741272,1.2163175344467163,0.21961186826229095,2.1458442211151123,2.1014444828033447,,
VI,1500,4,feature,input,-1,4.0,input,0.17100000381469727,0.00705287279561162,-0.6139588356018066,0.6250048875808716,2.297028064727783,2.2636680603027344,,
VI,1500,5,feature,input,-1,5.0,input,0.12399999797344208,0.0038671535439789295,-0.6726970076560974,0.6381926536560059,2.305788516998291,2.2830848693847656,,
