method,epoch,group_id,selection_type,block,layer,feature,side,pip,gate_mean,margin_mean,margin_sd,slab_norm_mean,slab_norm_median,unit,global_unit
VI,2000,0,feature,input,-1,0.0,input,1.0,0.5010347366333008,1.0131466388702393,0.1514546275138855,2.275510549545288,2.2349441051483154,,
VI,2000,1,feature,input,-1,1.0,input,0.19580000638961792,0.008110386319458485,-0.6337332725524902,0.6716406345367432,2.27713942527771,2.2507612705230713,,
VI,2000,2,feature,input,-1,2.0,input,0.17960000038146973,0.006668562535196543,-0.6255603432655334,0.6491838097572327,2.3130533695220947,2.30657696723938,,
VI,2000,3,feature,input,-1,3.0,input,1.0,0.5740287899971008,1.1977328062057495,0.26704901456832886,2.226869583129883,2.181023359298706,,
VI,2000,4,feature,input,-1,4.0,input,0.17900000512599945,0.008147330954670906,-0.6521405577659607,0.667680561542511,2.291766881942749,2.279459238052368,,
VI,2000,5,feature,input,-1,5.0,input,0.22419999539852142,0.011794781312346458,-0.5703050494194031,0.7001789212226868,2.2957489490509033,2.274582624435425,,
VI,2000,6,unit,0,0,,group,0.07360000163316727,0.0008603370515629649,-0.8475020527839661,0.6803381443023682,2.5106234550476074,2.4991838932037354,0.0,0.0
VI,2000,7,unit,0,0,,group,0.08420000225305557,0.0017757362220436335,-0.8629909157752991,0.7081469893455505,2.4728827476501465,2.461740493774414,1.0,1.0
VI,2000,8,unit,0,0,,group,0.07440000027418137,0.0011828936403617263,-0.8507683873176575,0.6726760268211365,2.494358777999878,2.480715751647949,2.0,2.0
VI,2000,9,unit,0,0,,group,0.06400000303983688,0.0006660198559984565,-0.8313643336296082,0.6618954539299011,2.5223968029022217,2.4927926063537598,3.0,3.0
VI,2000,10,unit,0,0,,group,1.0,0.5174815654754639,1.0668267011642456,0.2548922896385193,2.479631185531616,2.4617886543273926,4.0,4.0
VI,2000,11,unit,1,1,,group,0.07540000230073929,0.0012167325476184487,-0.8840279579162598,0.6991596221923828,2.281705856323242,2.26344895362854,0.0,5.0
VI,2000,12,unit,1,1,,group,0.1273999959230423,0.0026779992040246725,-0.7657941579818726,0.6741204857826233,2.306157350540161,2.2997045516967773,1.0,6.0
VI,2000,13,unit,1,1,,group,0.14740000665187836,0.004700446967035532,-0.7212091088294983,0.6855173110961914,2.283747911453247,2.253237247467041,2.0,7.0
VI,2000,14,unit,1,1,,group,1.0,0.7549696564674377,1.7882351875305176,0.243850439786911,3.0303661823272705,2.995682716369629,3.0,8.0
VI,2000,15,unit,1,1,,group,0.06599999964237213,0.0011488070013001561,-0.9235595464706421,0.7026154398918152,2.3035695552825928,2.2856523990631104,4.0,9.0
MCMC,,0,feature,input,-1,0.0,input,1.0,0.5923501253128052,1.3606297969818115,0.589452862739563,2.555006980895996,2.5379433631896973,,
MCMC,,1,feature,input,-1,1.0,input,0.22349999845027924,0.018367990851402283,-0.5620539784431458,0.7217007279396057,2.314110517501831,2.28056001663208,,
MCMC,,2,feature,input,-1,2.0,input,0.2194499969482422,0.01793406717479229,-0.5650965571403503,0.724193811416626,2.319230794906616,2.2891523838043213,,
MCMC,,3,feature,input,-1,3.0,input,1.0,0.6288013458251953,1.4678267240524292,0.6006622314453125,2.6287834644317627,2.584364891052246,,
MCMC,,4,feature,input,-1,4.0,input,0.2827000021934509,0.03632379323244095,-0.4841824769973755,0.7875949144363403,2.2972419261932373,2.2586288452148438,,
MCMC,,5,feature,input,-1,5.0,input,0.26304998993873596,0.02769177220761776,-0.5130855441093445,0.7519527673721313,2.3066093921661377,2.270004987716675,,
MCMC,,6,unit,0,0,,group,0.8340499997138977,0.46572422981262207,1.0633265972137451,1.1062164306640625,2.5575203895568848,2.539418935775757,0.0,0.0
MCMC,,7,unit,0,0,,group,0.8550999760627747,0.482982873916626,1.120668888092041,1.0814212560653687,2.5453968048095703,2.4981415271759033,1.0,1.0
MCMC,,8,unit,0,0,,group,0.8704000115394592,0.5046345591545105,1.1896241903305054,1.0629353523254395,2.54995059967041,2.534024238586426,2.0,2.0
MCMC,,9,unit,0,0,,group,0.8352000117301941,0.47399237751960754,1.0921046733856201,1.1077302694320679,2.5602779388427734,2.5273611545562744,3.0,3.0
MCMC,,10,unit,0,0,,group,0.857450008392334,0.5073727369308472,1.18594491481781,1.113403558731079,2.5089402198791504,2.46262526512146,4.0,4.0
MCMC,,11,unit,1,1,,group,0.8514999747276306,0.4875759780406952,1.1357243061065674,1.1105031967163086,2.3570339679718018,2.328023910522461,0.0,5.0
MCMC,,12,unit,1,1,,group,0.7973999977111816,0.4364146590232849,0.9716421961784363,1.1556209325790405,2.3337926864624023,2.2926185131073,1.0,6.0
MCMC,,13,unit,1,1,,group,0.830299973487854,0.4554390609264374,1.0337272882461548,1.1186431646347046,2.3740172386169434,2.335568428039551,2.0,7.0
MCMC,,14,unit,1,1,,group,0.8064500093460083,0.44390684366226196,1.0049889087677002,1.1542257070541382,2.3264546394348145,2.2988338470458984,3.0,8.0
MCMC,,15,unit,1,1,,group,0.8170499801635742,0.45325326919555664,1.0188186168670654,1.1381173133850098,2.365107774734497,2.3183391094207764,4.0,9.0
