method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
VI,1,0,0,2,2,8,1,0.5659999847412109,0.1510569155216217,0.12275344878435135,0.7012388706207275,1.2098520994186401,1.0239360332489014,1.2338426113128662,0.18337620794773102
VI,1,0,0,3,3,9,2,0.5460000038146973,0.14744381606578827,0.0969991683959961,0.7111290097236633,1.2344399690628052,1.0188595056533813,1.2580066919326782,0.18010318279266357
VI,1,0,0,4,4,10,3,0.5440000295639038,0.1321776956319809,0.07025472819805145,0.6807093024253845,1.2070070505142212,1.0310472249984741,1.243191123008728,0.16664135456085205
VI,1,0,0,1,1,7,4,0.5320000052452087,0.1286742240190506,0.05759629234671593,0.6701884865760803,1.196081519126892,1.020411491394043,1.2195135354995728,0.15823644399642944
VI,1,0,0,0,0,6,7,0.5199999809265137,0.1263599991798401,0.021596843376755714,0.6983416080474854,1.2033601999282837,1.0314457416534424,1.2334307432174683,0.15447333455085754
VI,1,1,1,1,6,12,5,0.531000018119812,0.1328197568655014,0.06580158323049545,0.6838429570198059,1.136818528175354,0.38041746616363525,0.4278051257133484,0.05669381469488144
VI,1,1,1,0,5,11,6,0.5270000100135803,0.13158878684043884,0.047655265778303146,0.70280522108078,1.1293195486068726,0.3933791220188141,0.44951456785202026,0.05418829247355461
VI,1,1,1,3,8,14,8,0.5139999985694885,0.12489963322877884,0.042056381702423096,0.6748824715614319,1.1480172872543335,0.38966619968414307,0.4504837393760681,0.057332899421453476
VI,1,1,1,2,7,13,9,0.5130000114440918,0.11812631040811539,-0.003109749872237444,0.699351966381073,1.1325962543487549,0.38302117586135864,0.4313453435897827,0.04874454066157341
VI,1,1,1,4,9,15,10,0.5099999904632568,0.1208076998591423,0.0007878875476308167,0.702289342880249,1.1304224729537964,0.3931937515735626,0.4474639296531677,0.05524991825222969
VI,250,0,0,4,4,10,1,0.5450000166893005,0.22912099957466125,0.11846053600311279,1.2515465021133423,2.3945987224578857,2.0836734771728516,4.978947639465332,1.1390810012817383
VI,250,0,0,0,0,6,2,0.5370000004768372,0.2569064199924469,0.12023577839136124,1.3196489810943604,2.149170398712158,2.0174057483673096,4.326725482940674,1.1212122440338135
VI,250,0,0,3,3,9,3,0.5339999794960022,0.22925148904323578,0.06899727880954742,1.3181824684143066,2.3104970455169678,2.0664925575256348,4.7637128829956055,1.0704021453857422
VI,250,0,0,1,1,7,5,0.5170000195503235,0.23830603063106537,0.08964565396308899,1.3477399349212646,2.257606029510498,2.016954183578491,4.545697212219238,1.058000922203064
VI,250,0,0,2,2,8,10,0.5019999742507935,0.22036100924015045,0.016560671851038933,1.2917150259017944,2.213799238204956,1.9341152906417847,4.281639099121094,0.928610622882843
VI,250,1,1,1,6,12,4,0.5260000228881836,0.23130112886428833,0.037975527346134186,1.3336573839187622,2.237541437149048,0.3958567976951599,0.9034282565116882,0.2180955708026886
VI,250,1,1,0,5,11,6,0.5170000195503235,0.20730234682559967,0.028083276003599167,1.2202014923095703,2.269697427749634,0.28430575132369995,0.6426181793212891,0.12896262109279633
