method,epoch,block,layer,unit,global_unit,group_id,posterior_rank,unit_pip,gate_mean,margin_mean,margin_sd,input_slab_norm_mean,output_slab_norm_mean,slab_strength_mean,effective_strength_mean
VI,2000,0,0,4,4,10,1,1.0,0.5174815654754639,1.0668267011642456,0.2548922896385193,2.479631185531616,1.8765515089035034,4.653484344482422,2.3910109996795654
VI,2000,0,0,1,1,7,5,0.08420000225305557,0.0017757362220436335,-0.8629909157752991,0.7081469893455505,2.4728827476501465,2.0655837059020996,5.106882095336914,0.008534935303032398
VI,2000,0,0,2,2,8,7,0.07440000027418137,0.0011828936403617263,-0.8507683873176575,0.6726760268211365,2.494358777999878,2.0535786151885986,5.119965076446533,0.0060518160462379456
VI,2000,0,0,0,0,6,8,0.07360000163316727,0.0008603370515629649,-0.8475020527839661,0.6803381443023682,2.5106234550476074,2.0882408618927,5.232213973999023,0.00420032674446702
VI,2000,0,0,3,3,9,10,0.06400000303983688,0.0006660198559984565,-0.8313643336296082,0.6618954539299011,2.522397041320801,2.0954980850219727,5.272969722747803,0.00324449990876019
VI,2000,1,1,3,8,14,2,1.0,0.7549696564674377,1.7882351875305176,0.243850439786911,3.0303661823272705,2.261326551437378,6.823173999786377,5.141940593719482
VI,2000,1,1,2,7,13,3,0.14740000665187836,0.004700446967035532,-0.7212091088294983,0.6855173110961914,2.283747911453247,0.7364359498023987,1.6879974603652954,0.0074240523390471935
VI,2000,1,1,1,6,12,4,0.1273999959230423,0.0026779992040246725,-0.7657941579818726,0.6741204857826233,2.306157350540161,0.756068229675293,1.7477644681930542,0.0045942338183522224
VI,2000,1,1,0,5,11,6,0.07540000230073929,0.0012167325476184487,-0.8840279579162598,0.6991596221923828,2.281705617904663,0.7345053553581238,1.6731581687927246,0.00204833154566586
VI,2000,1,1,4,9,15,9,0.06599999964237213,0.0011488070013001561,-0.9235595464706421,0.7026154398918152,2.3035695552825928,0.7213011980056763,1.6637816429138184,0.0015586774097755551
MCMC,,0,0,2,2,8,1,0.8704000115394592,0.5046345591545105,1.1896241903305054,1.0629353523254395,2.54995059967041,2.1259260177612305,5.396517276763916,2.691563367843628
MCMC,,0,0,4,4,10,2,0.857450008392334,0.5073727369308472,1.18594491481781,1.113403558731079,2.5089402198791504,2.162177562713623,5.406717300415039,2.715798854827881
MCMC,,0,0,1,1,7,3,0.8550999760627747,0.482982873916626,1.120668888092041,1.0814212560653687,2.5453968048095703,2.1639068126678467,5.493429660797119,2.640806198120117
MCMC,,0,0,3,3,9,5,0.8352000117301941,0.47399237751960754,1.0921046733856201,1.1077302694320679,2.5602779388427734,2.1158699989318848,5.408260345458984,2.564201593399048
MCMC,,0,0,0,0,6,6,0.8340499997138977,0.46572422981262207,1.0633265972137451,1.1062164306640625,2.5575203895568848,2.1682441234588623,5.531552791595459,2.5762972831726074
MCMC,,1,1,0,5,11,4,0.8514999747276306,0.4875759780406952,1.1357243061065674,1.1105031967163086,2.3570339679718018,0.9179666042327881,2.1725573539733887,1.0628384351730347
MCMC,,1,1,2,7,13,7,0.830299973487854,0.4554390609264374,1.0337272882461548,1.1186431646347046,2.3740170001983643,0.8692193627357483,2.076371431350708,0.9352384805679321
MCMC,,1,1,4,9,15,8,0.8170499801635742,0.45325326919555664,1.0188186168670654,1.1381173133850098,2.365107774734497,0.8296931385993958,1.9495207071304321,0.8610894680023193
MCMC,,1,1,3,8,14,9,0.8064500093460083,0.44390684366226196,1.0049889087677002,1.1542257070541382,2.3264546394348145,0.798445999622345,1.8414382934570312,0.779255747795105
MCMC,,1,1,1,6,12,10,0.7973999977111816,0.4364146590232849,0.9716421961784363,1.1556209325790405,2.3337929248809814,0.7650723457336426,1.7672743797302246,0.7250649333000183
