target,label,chain,pip
0,edge_W1_0_0,1,0.745
0,edge_W1_0_0,2,0.704
0,edge_W1_0_0,3,0.7084
0,edge_W1_0_0,4,0.8454
0,edge_W1_0_0,pooled,0.7507
1,edge_W1_0_1,1,0.5534
1,edge_W1_0_1,2,0.4962
1,edge_W1_0_1,3,0.6674
1,edge_W1_0_1,4,0.6458
1,edge_W1_0_1,pooled,0.5907
2,edge_W1_0_2,1,0.521
2,edge_W1_0_2,2,0.504
2,edge_W1_0_2,3,0.6378
2,edge_W1_0_2,4,0.6414
2,edge_W1_0_2,pooled,0.57605
3,edge_W1_0_3,1,0.5684
3,edge_W1_0_3,2,0.6716
3,edge_W1_0_3,3,0.6866
3,edge_W1_0_3,4,0.6924
3,edge_W1_0_3,pooled,0.65475
4,edge_W1_0_4,1,0.5334
4,edge_W1_0_4,2,0.5372
4,edge_W1_0_4,3,0.6556
4,edge_W1_0_4,4,0.6562
4,edge_W1_0_4,pooled,0.5956
5,edge_W1_0_5,1,0.5748
5,edge_W1_0_5,2,0.5474
5,edge_W1_0_5,3,0.6594
5,edge_W1_0_5,4,0.6886
5,edge_W1_0_5,pooled,0.61755
6,edge_W1_1_0,1,0.7264
6,edge_W1_1_0,2,0.777
6,edge_W1_1_0,3,0.7076
6,edge_W1_1_0,4,0.7244
6,edge_W1_1_0,pooled,0.73385
7,edge_W1_1_1,1,0.4748
7,edge_W1_1_1,2,0.5254
7,edge_W1_1_1,3,0.624
7,edge_W1_1_1,4,0.6546
7,edge_W1_1_1,pooled,0.5697
8,edge_W1_1_2,1,0.4878
8,edge_W1_1_2,2,0.5298
8,edge_W1_1_2,3,0.6408
8,edge_W1_1_2,4,0.642
8,edge_W1_1_2,pooled,0.5751
9,edge_W1_1_3,1,0.6748
9,edge_W1_1_3,2,0.5528
9,edge_W1_1_3,3,0.7068
9,edge_W1_1_3,4,0.8168
9,edge_W1_1_3,pooled,0.6878
10,edge_W1_1_4,1,0.524
10,edge_W1_1_4,2,0.508
10,edge_W1_1_4,3,0.6494
10,edge_W1_1_4,4,0.6744
10,edge_W1_1_4,pooled,0.58895
11,edge_W1_1_5,1,0.5252
11,edge_W1_1_5,2,0.5654
11,edge_W1_1_5,3,0.653
11,edge_W1_1_5,4,0.6472
11,edge_W1_1_5,pooled,0.5977
12,edge_W1_2_0,1,0.5318
12,edge_W1_2_0,2,0.5092
12,edge_W1_2_0,3,0.594
12,edge_W1_2_0,4,0.779
12,edge_W1_2_0,pooled,0.6035
13,edge_W1_2_1,1,0.4896
13,edge_W1_2_1,2,0.4616
