target_type,target,label,truth_active,truth_pip,partition_source,rat_pip,mcmc_pip,pip_error_truth,pip_error,conditional_slab_skl,zero_mass_js,n_rat_active_draws,n_mcmc_active_draws
independent_edge_rank,0,independent_edge_rank_1,True,,matched_mcmc_pip_gt_0.5,1.0,1.0,,0.0,1.5226421544085726,,5000,20000
independent_edge_rank,1,independent_edge_rank_2,True,,matched_mcmc_pip_gt_0.5,1.0,1.0,,0.0,0.4245278679635948,,5000,20000
independent_edge_rank,2,independent_edge_rank_3,True,,matched_mcmc_pip_gt_0.5,1.0,1.0,,0.0,0.16836754081721617,,5000,20000
independent_edge_rank,3,independent_edge_rank_4,True,,matched_mcmc_pip_gt_0.5,1.0,0.99995,,4.999999999999449e-05,0.3203667324340674,,5000,19999
independent_edge_rank,4,independent_edge_rank_5,True,,matched_mcmc_pip_gt_0.5,0.9994,0.99985,,-0.00045000000000006146,0.4771855311374647,,4997,19997
independent_edge_rank,5,independent_edge_rank_6,True,,matched_mcmc_pip_gt_0.5,0.9962,0.99915,,-0.002950000000000008,0.651189536969268,,4981,19983
independent_edge_rank,6,independent_edge_rank_7,True,,matched_mcmc_pip_gt_0.5,0.984,0.9981,,-0.014100000000000001,0.8596858399651071,,4920,19962
independent_edge_rank,7,independent_edge_rank_8,True,,matched_mcmc_pip_gt_0.5,0.9568,0.99585,,-0.03905000000000003,1.1347791646935748,,4784,19917
independent_edge_rank,8,independent_edge_rank_9,True,,matched_mcmc_pip_gt_0.5,0.9046,0.99015,,-0.08555000000000001,1.3885143930394852,,4523,19803
independent_edge_rank,9,independent_edge_rank_10,True,,matched_mcmc_pip_gt_0.5,0.8068,0.98025,,-0.17345,1.8737092266015916,,4034,19605
independent_edge_rank,10,independent_edge_rank_11,True,,matched_mcmc_pip_gt_0.5,0.68,0.9658,,-0.28579999999999994,1.9510377069357578,,3400,19316
independent_edge_rank,11,independent_edge_rank_12,True,,matched_mcmc_pip_gt_0.5,0.5266,0.9437,,-0.4171,2.27425640105335,,2633,18874
independent_edge_rank,12,independent_edge_rank_13,True,,matched_mcmc_pip_gt_0.5,0.3752,0.91185,,-0.5366500000000001,2.7833832130196927,,1876,18237
independent_edge_rank,13,independent_edge_rank_14,True,,matched_mcmc_pip_gt_0.5,0.2428,0.86975,,-0.62695,3.3836125626666522,,1214,17395
independent_edge_rank,14,independent_edge_rank_15,True,,matched_mcmc_pip_gt_0.5,0.143,0.81825,,-0.67525,4.357992818424213,,715,16365
independent_edge_rank,15,independent_edge_rank_16,True,,matched_mcmc_pip_gt_0.5,0.0802,0.75755,,-0.6773499999999999,4.804804520949925,,401,15151
independent_edge_rank,16,independent_edge_rank_17,True,,matched_mcmc_pip_gt_0.5,0.0408,0.6892,,-0.6484000000000001,5.8613695629849065,,204,13784
independent_edge_rank,17,independent_edge_rank_18,True,,matched_mcmc_pip_gt_0.5,0.0158,0.6146,,-0.5988,5.427347921719362,,79,12292
independent_edge_rank,18,independent_edge_rank_19,True,,matched_mcmc_pip_gt_0.5,0.006,0.53445,,-0.52845,,,30,10689
independent_edge_rank,19,independent_edge_rank_20,False,,matched_mcmc_pip_gt_0.5,0.0016,0.4522,,-0.4506,,0.18526854091188255,8,9044
independent_edge_rank,20,independent_edge_rank_21,False,,matched_mcmc_pip_gt_0.5,0.0006,0.36825,,-0.36765000000000003,,0.14650306498620244,3,7365
independent_edge_rank,21,independent_edge_rank_22,False,,matched_mcmc_pip_gt_0.5,0.0004,0.29105,,-0.29064999999999996,,0.1119120805991812,2,5821
independent_edge_rank,22,independent_edge_rank_23,False,,matched_mcmc_pip_gt_0.5,0.0002,0.21595,,-0.21575,,0.08065292427444795,1,4319
independent_edge_rank,23,independent_edge_rank_24,False,,matched_mcmc_pip_gt_0.5,0.0002,0.1504,,-0.1502,,0.05448464716321259,1,3008
independent_edge_rank,24,independent_edge_rank_25,False,,matched_mcmc_pip_gt_0.5,0.0,0.1003,,-0.1003,,0.03608585195762765,0,2006
independent_edge_rank,25,independent_edge_rank_26,False,,matched_mcmc_pip_gt_0.5,0.0,0.06085,,-0.06085,,0.021566445444946347,0,1217
independent_edge_rank,26,independent_edge_rank_27,False,,matched_mcmc_pip_gt_0.5,0.0,0.03435,,-0.03435,,0.012054878178402877,0,687
independent_edge_rank,27,independent_edge_rank_28,False,,matched_mcmc_pip_gt_0.5,0.0,0.01485,,-0.01485,,0.005174389578810849,0,297
independent_edge_rank,28,independent_edge_rank_29,False,,matched_mcmc_pip_gt_0.5,0.0,0.0048,,-0.0048,,0.0016664401534568728,0,96
independent_edge_rank,29,independent_edge_rank_30,False,,matched_mcmc_pip_gt_0.5,0.0,0.0005,,-0.0005,,0.00017331804278615496,0,10
