method,pip_threshold,median_probability_structure,n_active_edges,n_candidate_edges,edge_density,signal_mse
VI,0.1,False,60,60,1.0,0.17288394272327423
VI,0.2,False,52,60,0.8666666666666667,0.17263706028461456
VI,0.30000000000000004,False,43,60,0.7166666666666667,0.1712576299905777
VI,0.4,False,43,60,0.7166666666666667,0.1712576299905777
VI,0.5,True,5,60,0.08333333333333333,0.1712576299905777
VI,0.6,False,5,60,0.08333333333333333,0.1712576299905777
VI,0.7000000000000001,False,5,60,0.08333333333333333,0.1712576299905777
VI,0.8,False,5,60,0.08333333333333333,0.1712576299905777
VI,0.9,False,5,60,0.08333333333333333,0.1712576299905777
MCMC,0.1,False,60,60,1.0,0.045133158564567566
MCMC,0.2,False,60,60,1.0,0.045133158564567566
MCMC,0.30000000000000004,False,60,60,1.0,0.045133158564567566
MCMC,0.4,False,60,60,1.0,0.045133158564567566
MCMC,0.5,True,60,60,1.0,0.045133158564567566
MCMC,0.6,False,44,60,0.7333333333333333,0.03842933475971222
MCMC,0.7000000000000001,False,13,60,0.21666666666666667,3.242774248123169
MCMC,0.8,False,2,60,0.03333333333333333,6.368347644805908
MCMC,0.9,False,0,60,0.0,7.068281173706055
